


      Monthly air temperatures for VANUATU
      ------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 1993   336      408     21.500     29.600     25.650     1.881
        2 1993     0      672     21.000     31.600     26.128     2.064
        3 1993     0      744     23.200     32.300     26.980     1.661
        4 1993   338      382     23.100     29.900     25.888     1.355
        5 1993   744        0
        6 1993   720        0
        7 1993   744        0
        8 1993   744        0
        9 1993   720        0
       10 1993   744        0
       11 1993   720        0
       12 1993   744        0
        1 1994   600      144     21.300     29.200     25.728     2.040
        2 1994     0      672     22.900     30.100     26.575     1.617
        3 1994     0      744     23.400     31.000     26.792     1.592
        4 1994     0      720     21.300     30.000     25.353     1.521
        5 1994     0      744     19.900     27.500     24.135     1.554
        6 1994     0      720     18.900     27.300     22.874     1.632
        7 1994     0      744     16.600     25.800     21.443     1.653
        8 1994     0      744     18.900     26.600     22.418     1.513
        9 1994     0      720     17.000     27.100     21.883     1.902
       10 1994     0      744     18.500     27.500     23.123     2.042
       11 1994     5      715     19.300     28.700     24.799     1.737
       12 1994     6      738     19.800     28.800     24.783     1.872
        1 1995     1      743     21.700     30.100     26.284     1.720
        2 1995     8      664     22.300     30.700     26.410     2.029
        3 1995     7      737     23.700     32.000     27.268     1.599
        4 1995    14      706     22.900     31.400     26.894     1.747
        5 1995     7      737     19.400     28.200     24.197     1.781
        6 1995     6      714     18.600     28.400     23.532     1.561
        7 1995     2      742     18.800     28.700     23.261     1.788
        8 1995     8      736     19.400     28.100     23.158     1.328
        9 1995     9      711     19.100     29.900     24.117     1.782
       10 1995     8      736     20.900     29.000     25.029     1.454
       11 1995    10      710     21.100     29.900     25.267     1.784
       12 1995     8      736     21.700     31.600     26.517     2.238
        1 1996     9      735     22.800     31.200     26.792     1.903
        2 1996     0      696     23.500     31.600     27.303     1.876
        3 1996     0      744     23.800     31.900     27.263     1.579
        4 1996     1      719     23.000     30.600     26.674     1.714
        5 1996     0      744     18.800     28.500     24.666     1.968
        6 1996     0      720     18.100     27.400     23.132     2.012
        7 1996     1      743     18.300     30.000     23.528     1.936
        8 1996     1      743     17.400     27.500     22.738     2.134
        9 1996     0      720     18.500     28.800     24.143     1.799
       10 1996     0      744     20.100     28.400     24.371     1.815
       11 1996     1      719     20.300     30.200     25.387     2.011
       12 1996     0      744     21.900     30.600     26.725     1.836
        1 1997     0      744     24.300     30.000     27.115     1.374
        2 1997     2      670     22.000     31.600     27.074     1.971
        3 1997    25      719     23.100     31.500     27.309     1.817
        4 1997     4      716     20.700     30.500     25.319     1.685
        5 1997     8      736     21.400     30.500     24.718     1.421
        6 1997     1      719     18.200     28.800     23.545     1.621
        7 1997    10      734     18.700     29.300     22.833     1.757
        8 1997     1      743     17.000     26.500     21.941     1.815
