


      Monthly barometric pressures for VANUATU
      ----------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 1993   336      408     1006.9     1014.1     1010.4       1.5
        2 1993     0      672     1003.0     1012.5     1007.6       1.7
        3 1993     0      744      983.2     1012.5     1007.8       2.8
        4 1993   192      528     1003.1     1015.5     1011.1       2.5
        5 1993   744        0
        6 1993   720        0
        7 1993   531      213     1005.5     1018.8     1013.1       3.1
        8 1993     0      744     1009.3     1020.1     1015.0       2.2
        9 1993     0      720     1010.6     1020.1     1015.7       2.2
       10 1993     0      744     1008.5     1017.8     1013.9       2.0
       11 1993     0      720     1004.3     1015.3     1011.2       1.8
       12 1993   744        0
        1 1994   600      144      991.0     1014.3     1006.6       6.2
        2 1994     0      672     1001.9     1012.9     1008.1       2.4
        3 1994     0      744      994.2     1013.7     1007.9       3.7
        4 1994     0      720     1001.6     1017.5     1011.2       2.9
        5 1994     0      744     1007.7     1017.9     1013.3       2.0
        6 1994     0      720     1005.2     1018.7     1013.1       2.7
        7 1994     0      744     1008.3     1019.3     1014.3       2.0
        8 1994     0      744     1011.7     1019.5     1015.4       1.5
        9 1994     0      720     1009.6     1020.1     1014.7       2.2
       10 1994     0      744     1010.8     1018.2     1014.3       1.3
       11 1994     5      715      995.2     1016.7     1010.4       3.5
       12 1994     6      738     1004.6     1014.3     1009.4       2.1
        1 1995     1      743     1003.3     1014.0     1008.8       2.2
        2 1995     8      664     1001.9     1014.0     1009.1       2.1
        3 1995     7      737     1001.2     1013.9     1008.0       2.8
        4 1995    14      706     1002.9     1013.9     1008.6       2.6
        5 1995     7      737     1007.9     1017.0     1013.0       1.9
        6 1995     6      714     1009.1     1019.3     1014.2       1.8
        7 1995     2      742     1007.7     1017.6     1013.4       2.0
        8 1995     8      736     1010.6     1020.1     1015.9       1.8
        9 1995     9      711     1010.0     1019.8     1014.1       2.2
       10 1995     8      736     1008.8     1017.3     1012.5       1.8
       11 1995    10      710     1005.4     1016.2     1011.4       2.1
       12 1995     8      736     1002.7     1014.2     1008.5       2.5
        1 1996     9      735     1000.4     1012.7     1005.9       1.9
