


      Monthly sea levels for VANUATU
      ------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 1993  3360     4080      0.209      1.374      0.863     0.258
        2 1993     0     6720      0.076      1.448      0.792     0.297
        3 1993   720     6720      0.018      1.472      0.828     0.311
        4 1993  7200        0
        5 1993  7440        0
        6 1993  7200        0
        7 1993  7440        0
        8 1993  7440        0
        9 1993  7200        0
       10 1993  7440        0
       11 1993  7200        0
       12 1993  7440        0
        1 1994  6000     1440      0.142      1.623      0.936     0.384
        2 1994     0     6720      0.215      1.554      0.890     0.292
        3 1994     0     7440      0.099      1.573      0.882     0.310
        4 1994   240     6960     -0.207      1.406      0.715     0.319
        5 1994     0     7440      0.021      1.534      0.797     0.321
        6 1994     0     7200     -0.023      1.440      0.824     0.301
        7 1994     0     7440      0.048      1.481      0.823     0.315
        8 1994     0     7440      0.108      1.428      0.826     0.306
        9 1994     0     7200      0.074      1.355      0.756     0.301
       10 1994     0     7440      0.163      1.580      0.845     0.303
       11 1994     0     7200      0.025      1.510      0.835     0.313
       12 1994     0     7440     -0.003      1.578      0.870     0.321
        1 1995     0     7440      0.073      1.626      0.942     0.321
        2 1995     0     6720      0.209      1.547      0.901     0.293
        3 1995     0     7440      0.230      1.478      0.856     0.296
        4 1995     0     7200      0.148      1.457      0.834     0.285
        5 1995     0     7440     -0.134      1.445      0.762     0.311
        6 1995     0     7200     -0.113      1.454      0.755     0.313
        7 1995     0     7440     -0.148      1.421      0.715     0.310
        8 1995     0     7440     -0.108      1.396      0.700     0.314
        9 1995     0     7200      0.119      1.484      0.846     0.304
       10 1995     0     7440      0.164      1.509      0.887     0.301
       11 1995     0     7200      0.060      1.645      0.908     0.331
       12 1995     0     7440      0.024      1.626      0.879     0.329
        1 1996     0     7440      0.151      1.747      0.992     0.336
        2 1996     0     6960      0.172      1.547      0.930     0.298
        3 1996     0     7440      0.230      1.561      0.928     0.307
        4 1996     0     7200      0.245      1.468      0.863     0.290
        5 1996     0     7440      0.080      1.463      0.834     0.309
        6 1996     0     7200      0.044      1.496      0.832     0.320
        7 1996     0     7440     -0.019      1.610      0.806     0.339
        8 1996     0     7440      0.014      1.486      0.822     0.323
        9 1996     0     7200      0.282      1.564      0.916     0.309
       10 1996     0     7440      0.289      1.658      0.964     0.316
       11 1996     0     7200      0.137      1.608      0.978     0.322
       12 1996     0     7440      0.130      1.644      1.008     0.326
        1 1997     0     7440      0.031      1.716      0.944     0.323
        2 1997     0     6720      0.078      1.568      0.955     0.319
        3 1997     0     7440      0.300      1.732      1.012     0.294
        4 1997     0     7200      0.221      1.614      0.926     0.306
        5 1997     0     7440      0.041      1.553      0.795     0.308
        6 1997     0     7200      0.001      1.432      0.799     0.313
        7 1997     0     7440      0.066      1.427      0.853     0.300
        8 1997     0     7440      0.098      1.527      0.862     0.306
        9 1997     0     7200      0.095      1.496      0.851     0.313
       10 1997     0     7440      0.117      1.545      0.871     0.318
       11 1997     0     7200      0.032      1.475      0.806     0.311
       12 1997     0     7440      0.030      1.556      0.845     0.330
        1 1998     0     7440      0.029      1.554      0.834     0.332
        2 1998     0     6720      0.125      1.462      0.775     0.294
        3 1998     0     7440      0.176      1.478      0.909     0.293
        4 1998     0     7200      0.124      1.485      0.850     0.295
        5 1998     0     7440      0.105      1.496      0.844     0.288
        6 1998     0     7200     -0.019      1.433      0.818     0.304
        7 1998     0     7440      0.027      1.371      0.773     0.299
        8 1998     0     7440      0.083      1.397      0.801     0.294
        9 1998     0     7200      0.097      1.403      0.820     0.299
       10 1998     0     7440      0.199      1.518      0.843     0.300
       11 1998     0     7200      0.054      1.614      0.855     0.323
       12 1998     0     7440      0.037      1.584      0.819     0.323
        1 1999     0     7440      0.002      1.527      0.870     0.319
        2 1999  3892     2828      0.109      1.447      0.879     0.301
        3 1999     0     7440      0.207      1.461      0.880     0.297
        4 1999     0     7200      0.041      1.454      0.780     0.307
        5 1999     0     7440     -0.076      1.503      0.753     0.317
