


      Monthly water temperatures for VANUATU
      --------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 1993   336      408     26.900     28.200     27.528     0.214
        2 1993     0      672     27.100     29.600     28.107     0.477
        3 1993     0      744     27.200     29.900     28.704     0.620
        4 1993   664       56     27.300     27.800     27.491     0.164
        5 1993   744        0
        6 1993   720        0
        7 1993   744        0
        8 1993   744        0
        9 1993   720        0
       10 1993   744        0
       11 1993   720        0
       12 1993   744        0
        1 1994   600      144     26.800     27.800     27.438     0.170
        2 1994     0      672     26.700     28.700     27.785     0.495
        3 1994     0      744     26.300     29.900     28.257     0.758
        4 1994     0      720     26.000     28.600     27.035     0.471
        5 1994     0      744     25.600     27.400     26.498     0.250
        6 1994     0      720     24.900     27.900     25.520     0.309
        7 1994     0      744     23.500     25.600     24.524     0.347
        8 1994     0      744     24.000     25.700     24.679     0.333
        9 1994     1      719     23.300     25.400     24.125     0.492
       10 1994     0      744     24.700     25.900     25.100     0.210
       11 1994     5      715     24.900     27.100     25.678     0.471
       12 1994     6      738     25.900     27.800     26.557     0.395
        1 1995     1      743     27.100     29.100     27.955     0.445
        2 1995     8      664     27.800     30.100     28.624     0.496
        3 1995     7      737     27.600     30.700     29.077     0.681
        4 1995    14      706     27.800     30.000     28.880     0.392
        5 1995     7      737     26.200     27.900     26.958     0.405
        6 1995     6      714     24.500     26.500     25.742     0.284
        7 1995     2      742     24.400     26.400     25.250     0.405
        8 1995     8      736     23.300     26.000     24.201     0.648
        9 1995     9      711     24.100     26.800     25.339     0.597
       10 1995     8      736     25.700     27.400     26.290     0.300
       11 1995    10      710     25.600     28.300     26.743     0.529
       12 1995     8      736     26.600     29.800     27.901     0.727
        1 1996     9      735     27.600     30.100     28.903     0.417
        2 1996     0      696     27.700     30.100     29.256     0.362
        3 1996     0      744     27.200     30.700     28.678     0.848
        4 1996     1      719     27.400     29.300     28.184     0.353
        5 1996     2      742     25.800     28.500     27.252     0.374
        6 1996     0      720     25.100     27.000     26.004     0.261
        7 1996     1      743     24.500     26.900     25.805     0.573
        8 1996     1      743     24.100     25.600     24.871     0.186
        9 1996     0      720     25.200     26.600     25.805     0.311
       10 1996     0      744     26.100     27.500     26.462     0.268
       11 1996     1      719     25.900     28.800     26.770     0.746
       12 1996     0      744     27.300     29.100     27.935     0.351
        1 1997     0      744     27.600     29.400     28.193     0.336
        2 1997     2      670     27.800     30.600     28.857     0.527
        3 1997    25      719     28.600     30.700     29.554     0.367
        4 1997     3      717     26.900     29.900     28.354     0.789
        5 1997     8      736     25.600     27.800     26.803     0.347
        6 1997     1      719     25.200     26.700     25.810     0.264
        7 1997    10      734     24.500     26.600     25.405     0.393
        8 1997     1      743     23.800     25.500     24.837     0.276
        9 1997     1      719     23.900     25.000     24.533     0.210
       10 1997     4      740     24.400     25.800     25.026     0.288
       11 1997     0      720     24.800     27.000     25.830     0.416
       12 1997     0      744     26.200     29.200     27.403     0.762
        1 1998     0      744     26.600     28.700     27.469     0.452
        2 1998     0      672     27.200     29.700     28.407     0.622
        3 1998     1      743     27.200     30.600     28.786     0.647
        4 1998     2      718     27.700     29.000     28.348     0.219
        5 1998     0      744     26.900     28.500     27.705     0.369
        6 1998     0      720     25.100     27.400     26.562     0.392
        7 1998     1      743     25.500     26.900     25.967     0.274
        8 1998     2      742     25.500     26.600     25.939     0.212
        9 1998     3      717     25.300     27.000     25.957     0.381
       10 1998     0      744     26.100     28.200     27.135     0.368
       11 1998     0      720     26.700     29.300     27.818     0.524
       12 1998     0      744     27.900     30.400     29.106     0.469
