


      Monthly air temperatures for TUVALU
      -----------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        3 1993   553      191     24.900     29.600     27.622     1.001
        4 1993   700       20     25.900     27.800     27.185     0.366
        5 1993   264      480     24.100     30.300     27.873     1.137
        6 1993     2      718     24.000     29.800     28.188     0.872
        7 1993     0      744     23.700     29.600     27.513     1.111
        8 1993     0      744     22.900     29.800     27.908     0.882
        9 1993   432      288     24.600     29.900     27.955     0.919
       10 1993   744        0
       11 1993    84      636     24.500     30.500     28.520     1.035
       12 1993   697       47     24.100     30.800     28.572     1.391
        1 1994   618      126     23.400     30.400     28.561     1.198
        2 1994    97      575     25.300     30.400     28.628     1.013
        3 1994     0      744     24.400     31.100     28.757     1.109
        4 1994     0      720     25.100     31.600     28.700     0.891
        5 1994    19      725     24.900     30.400     28.626     1.016
        6 1994   179      541     24.800     30.300     28.350     0.980
        7 1994   148      596     24.100     29.900     28.250     0.799
        8 1994   408      336     24.000     30.200     27.812     1.044
        9 1994    64      656     24.100     30.200     28.334     0.914
       10 1994     0      744     23.800     30.900     28.426     1.140
       11 1994    12      708     23.900     30.600     28.533     1.083
       12 1994     0      744     24.000     30.900     29.022     0.975
        1 1995     0      744     24.400     30.700     28.390     1.118
        2 1995     3      669     24.800     30.800     28.367     1.001
        3 1995   101      643     25.200     31.200     28.651     1.186
        4 1995    72      648     24.800     30.600     28.860     1.065
        5 1995     8      736     25.300     31.500     28.724     0.951
        6 1995    20      700     25.100     30.600     28.863     1.019
        7 1995    24      720     24.200     31.600     28.882     1.078
        8 1995     6      738     25.000     30.700     28.869     0.851
        9 1995    12      708     24.300     30.000     28.444     0.897
       10 1995     9      735     24.100     30.100     28.115     1.066
       11 1995    13      707     24.400     31.000     28.522     0.948
       12 1995    47      697     24.500     30.700     28.247     0.970
        1 1996    18      726     23.800     30.400     28.609     0.868
        2 1996    56      640     24.800     30.100     28.366     0.989
        3 1996     8      736     24.300     30.400     28.395     1.162
        4 1996     2      718     24.300     30.300     28.339     1.085
        5 1996     0      744     23.400     30.400     28.425     1.080
        6 1996     0      720     24.900     30.400     28.712     0.732
        7 1996   744        0
        8 1996     1      743     25.200     31.300     28.331     0.835
        9 1996     4      716     24.500     30.000     28.151     0.855
       10 1996    14      730     25.000     30.000     28.219     0.881
       11 1996     0      720     24.900     30.600     28.478     0.936
       12 1996     1      743     24.800     30.600     28.440     1.034
        1 1997    23      721     24.500     30.800     28.432     1.030
        2 1997     1      671     24.400     30.300     28.182     1.152
        3 1997    21      723     24.400     29.600     27.596     1.060
        4 1997     3      717     24.400     30.100     28.680     0.872
        5 1997    10      734     23.200     30.100     28.461     1.072
        6 1997     1      719     23.800     29.300     27.829     0.893
