


      Monthly barometric pressures for TUVALU
      ---------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        3 1993   553      191     1006.2     1011.6     1009.0       1.2
        4 1993   700       20     1006.4     1009.4     1007.7       1.0
        5 1993   264      480     1005.7     1013.3     1009.4       1.7
        6 1993     2      718     1004.5     1013.0     1009.2       1.6
        7 1993     0      744     1005.5     1012.1     1008.8       1.2
        8 1993     0      744     1005.5     1014.0     1010.1       1.6
        9 1993   432      288     1008.0     1014.1     1011.0       1.4
       10 1993   744        0
       11 1993    84      636     1004.8     1010.6     1007.8       1.2
       12 1993   697       47     1003.6     1008.7     1006.2       1.6
        1 1994   619      125     1004.1     1010.6     1007.7       1.4
        2 1994    97      575     1003.6     1013.1     1007.4       1.7
        3 1994     0      744     1000.1     1013.9     1008.2       2.8
        4 1994     0      720     1003.5     1012.7     1008.2       1.7
        5 1994    19      725     1005.2     1013.4     1009.0       1.5
        6 1994   179      541     1005.7     1012.8     1008.9       1.3
        7 1994   148      596     1005.5     1012.4     1008.8       1.4
        8 1994   408      336     1005.7     1011.6     1009.0       1.2
        9 1994    64      656     1006.4     1014.3     1010.1       1.6
       10 1994     0      744     1006.5     1012.9     1009.7       1.3
       11 1994    12      708     1003.6     1012.1     1008.0       1.6
       12 1994     5      739     1000.1     1012.3     1005.9       2.2
        1 1995     0      744     1001.7     1012.6     1007.0       2.1
        2 1995     3      669     1003.6     1012.6     1008.2       1.8
        3 1995   101      643     1002.5     1013.0     1008.1       2.0
        4 1995    72      648     1004.4     1011.3     1007.9       1.4
        5 1995     8      736     1004.9     1012.6     1009.3       1.3
        6 1995    20      700     1006.3     1013.7     1009.9       1.3
        7 1995    24      720     1005.6     1013.2     1009.4       1.4
        8 1995     6      738     1005.0     1014.1     1009.6       1.5
        9 1995    12      708     1006.9     1013.9     1010.2       1.4
       10 1995     9      735     1005.2     1014.0     1009.1       1.5
       11 1995    13      707     1004.1     1012.1     1008.4       1.5
       12 1995    47      697     1003.6     1011.9     1007.9       1.7
        1 1996    18      726     1003.2     1011.7     1006.9       1.5
        2 1996    56      640     1002.1     1011.1     1007.0       1.6
        3 1996     8      736     1002.6     1014.8     1007.5       2.4
        4 1996     2      718     1003.7     1011.7     1008.3       1.4
        5 1996     0      744     1004.7     1013.2     1009.5       1.6
        6 1996     0      720     1005.6     1015.7     1009.6       2.1
        7 1996     7      737     1005.7     1013.5     1009.0       1.4
        8 1996     1      743     1006.4     1014.7     1010.3       1.4
        9 1996     4      716     1004.6     1014.0     1008.9       1.9
       10 1996    14      730     1004.4     1013.3     1009.1       1.7
       11 1996     0      720     1002.9     1013.0     1008.1       2.1
       12 1996     1      743     1001.4     1010.7     1006.3       1.9
        1 1997    23      721     1004.2     1011.0     1007.8       1.3
        2 1997     1      671     1002.3     1010.7     1006.6       1.6
        3 1997    21      723      995.4     1013.8     1005.8       4.7
        4 1997     3      717     1004.9     1014.1     1009.1       1.9
        5 1997    10      734     1003.1     1013.2     1008.7       2.0
        6 1997     1      719     1002.9     1014.2     1009.3       2.3
        7 1997    15      729     1005.1     1011.7     1009.0       1.3
        8 1997     5      739     1005.9     1013.7     1009.9       1.6
        9 1997     2      718     1004.0     1014.7     1010.4       2.2
       10 1997    13      731     1003.8     1013.5     1008.9       1.9
       11 1997     3      717     1006.5     1015.7     1010.4       2.0
       12 1997     0      744     1000.7     1011.9     1007.3       2.1
        1 1998     0      744     1002.3     1011.5     1007.6       1.6
        2 1998     3      669     1005.1     1013.9     1009.7       1.6
        3 1998     2      742     1004.0     1013.2     1009.0       1.8
        4 1998     2      718     1006.3     1013.9     1010.4       1.4
        5 1998     1      743     1005.8     1015.1     1010.2       1.7
        6 1998     4      716     1005.9     1013.4     1009.8       1.3
        7 1998     9      735     1007.3     1016.4     1010.7       1.6
        8 1998   132      612     1007.2     1013.8     1010.4       1.3
        9 1998   276      444     1007.1     1015.0     1010.2       1.3
       10 1998     1      743     1005.8     1014.9     1009.7       1.7
       11 1998     1      719     1003.9     1011.8     1008.5       1.4
       12 1998     1      743     1003.9     1011.3     1007.5       1.4
        1 1999     0      744     1003.8     1011.2     1007.8       1.4
        2 1999     0      672     1004.0     1012.9     1008.5       1.7
        3 1999     2      742     1004.8     1011.5     1008.2       1.3
        4 1999     6      714     1005.3     1012.5     1009.0       1.3
        5 1999     4      740     1005.6     1012.7     1009.3       1.4
        6 1999     5      715     1006.7     1013.2     1010.1       1.2
        7 1999     9      735     1005.8     1013.8     1009.5       1.4
        8 1999     5      739     1007.2     1014.9     1010.8       1.4
        9 1999     2      718     1007.4     1014.7     1010.6       1.4
       10 1999     0      744     1005.9     1014.0     1009.7       1.4
       11 1999     0      720     1004.4     1012.2     1008.6       1.6
       12 1999     0      744     1004.8     1010.9     1008.0       1.2
        1 2000     0      744     1002.7     1011.6     1007.5       1.8
        2 2000    22      674     1005.9     1012.9     1008.9       1.4
        3 2000     6      738     1005.9     1012.6     1009.2       1.3
        4 2000     2      718     1004.8     1012.1     1008.9       1.3
        5 2000     1      743     1005.5     1012.8     1009.6       1.5
        6 2000     0      720     1005.2     1013.7     1009.5       1.6
        7 2000     3      741     1005.3     1013.5     1009.5       1.8
        8 2000     0      744     1004.8     1012.8     1009.0       1.5
        9 2000     0      720     1006.5     1014.9     1010.5       1.5
       10 2000     0      744     1004.5     1012.0     1008.4       1.4
       11 2000     0      720     1003.3     1012.2     1007.5       1.8
       12 2000     0      744     1003.3     1010.3     1007.0       1.2
        1 2001     0      744     1004.6     1011.5     1008.0       1.3
        2 2001     0      672     1000.3     1011.6     1006.4       2.1
        3 2001     0      744     1004.8     1011.9     1008.3       1.4
        4 2001     0      720     1005.1     1012.1     1008.1       1.3
        5 2001     0      744     1004.3     1012.8     1008.9       1.5
        6 2001     0      720     1005.2     1011.3     1008.0       1.2
        7 2001     0      744     1005.3     1012.8     1009.2       1.3
        8 2001     6      738     1002.5     1013.1     1008.8       1.9
        9 2001     0      720     1005.4     1013.2     1009.8       1.3
       10 2001     0      744     1005.0     1014.1     1008.8       1.6
       11 2001     0      720     1003.4     1011.6     1008.0       1.4
       12 2001     2      742     1001.0     1009.7     1005.4       1.7
        1 2002     0      744     1003.0     1012.6     1007.5       1.9
        2 2002     1      671     1000.2     1011.5     1007.5       2.4
        3 2002     0      744     1003.5     1012.0     1007.9       1.7
        4 2002     0      720     1004.1     1012.1     1008.4       1.6
        5 2002     0      744     1002.2     1013.5     1008.5       2.4
        6 2002     0      720     1003.9     1012.9     1008.7       1.7
        7 2002     1      743     1006.5     1013.0     1009.7       1.3
        8 2002     0      744     1004.4     1013.1     1008.7       1.7
        9 2002     0      720     1005.8     1013.9     1009.6       1.6
       10 2002     0      744     1003.0     1012.2     1008.2       2.0
       11 2002     0      720      999.8     1012.4     1007.0       2.4
       12 2002     0      744     1002.5     1010.9     1007.1       1.6
        1 2003     0      744     1000.3     1011.7     1006.5       2.0
        2 2003     0      672     1002.4     1010.4     1006.4       1.5
        3 2003     0      744     1001.2     1014.3     1008.0       2.6
        4 2003     0      720     1003.5     1012.0     1008.3       1.7
        5 2003     0      744     1003.2     1011.8     1008.2       1.6
        6 2003     0      720     1006.2     1012.8     1009.5       1.3
        7 2003     0      744     1005.4     1012.2     1008.9       1.3
        8 2003     0      744     1005.8     1013.2     1009.7       1.4
        9 2003     0      720     1005.9     1013.5     1009.5       1.4
       10 2003     0      744     1005.3     1012.3     1008.9       1.4
       11 2003     0      720     1004.2     1012.5     1007.8       1.5
       12 2003     0      744      999.6     1010.4     1006.4       1.9
        1 2004     0      744      998.3     1010.7     1006.3       2.7
        2 2004     0      696     1002.7     1011.3     1007.5       1.7
        3 2004     2      742     1002.7     1011.3     1006.8       1.6
        4 2004     0      720     1003.7     1012.4     1008.1       1.8
        5 2004     0      744     1003.9     1013.5     1008.9       2.0
        6 2004     0      720     1005.3     1012.4     1008.9       1.3
        7 2004     1      743     1005.8     1012.9     1009.1       1.3
