


      Monthly sea levels for TUVALU
      -----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        3 1993  5520     1920      1.270      2.798      2.006     0.397
        4 1993  7004      196      1.513      2.425      1.956     0.300
        5 1993  2640     4800      1.041      2.712      1.874     0.408
        6 1993     0     7200      0.947      2.880      1.892     0.460
        7 1993     0     7440      0.924      2.958      1.912     0.460
        8 1993     0     7440      0.793      2.985      1.891     0.488
        9 1993  4320     2880      1.048      2.697      1.889     0.396
       10 1993  7440        0
       11 1993   840     6360      0.873      3.103      1.953     0.474
       12 1993  6498      942      1.220      2.752      1.949     0.425
        1 1994     0     7440      1.069      3.102      2.054     0.488
        2 1994     0     6720      1.078      3.253      2.106     0.489
        3 1994     0     7440      0.934      3.167      2.097     0.496
        4 1994     0     7200      0.888      3.160      2.037     0.480
        5 1994     0     7440      0.969      3.148      2.016     0.466
        6 1994   110     7090      0.971      3.041      1.991     0.452
        7 1994  1440     6000      1.054      3.042      1.945     0.478
        8 1994  4080     3360      1.005      2.896      1.934     0.446
        9 1994     0     7200      0.932      2.976      1.938     0.480
       10 1994     0     7440      0.878      3.048      1.934     0.492
       11 1994     0     7200      0.903      3.136      1.990     0.483
       12 1994     0     7440      0.898      3.173      2.006     0.495
        1 1995     0     7440      0.839      3.156      1.960     0.505
        2 1995     0     6720      0.923      3.013      1.971     0.485
        3 1995   960     6480      1.040      3.104      2.093     0.513
        4 1995   480     6720      1.067      3.202      2.137     0.474
        5 1995     0     7440      1.031      3.192      2.083     0.465
        6 1995     0     7200      0.970      3.192      2.039     0.453
        7 1995     0     7440      0.918      3.123      2.004     0.463
        8 1995     0     7440      0.873      3.021      1.954     0.479
        9 1995     0     7200      1.046      3.048      2.021     0.479
       10 1995     0     7440      0.988      3.050      1.991     0.479
       11 1995     0     7200      0.979      3.137      2.032     0.473
       12 1995   240     7200      0.844      3.126      1.955     0.462
        1 1996     0     7440      0.958      3.270      2.051     0.468
        2 1996     0     6960      1.060      3.333      2.148     0.484
        3 1996     0     7440      1.047      3.239      2.142     0.485
        4 1996     0     7200      1.140      3.073      2.082     0.477
        5 1996     0     7440      1.125      3.065      2.024     0.468
        6 1996     0     7200      0.932      3.100      1.987     0.462
        7 1996     0     7440      0.848      3.112      1.961     0.486
        8 1996     0     7440      0.841      3.123      1.986     0.498
        9 1996     0     7200      0.877      3.008      1.961     0.480
       10 1996     0     7440      0.982      2.998      1.940     0.471
       11 1996     0     7200      1.053      2.924      1.972     0.461
       12 1996     0     7440      0.945      2.997      1.954     0.456
        1 1997     0     7440      0.839      3.067      1.961     0.469
        2 1997     0     6720      0.869      3.274      2.061     0.505
        3 1997     0     7440      1.005      3.332      2.123     0.491
        4 1997     0     7200      1.046      3.169      2.056     0.483
        5 1997     0     7440      1.048      3.029      2.021     0.474
        6 1997     0     7200      0.948      2.863      1.920     0.453
        7 1997     0     7440      0.910      2.970      1.897     0.454
        8 1997     0     7440      0.820      3.099      1.916     0.480
        9 1997     0     7200      0.794      3.123      1.947     0.494
       10 1997     0     7440      0.862      3.061      1.952     0.487
       11 1997     0     7200      0.907      2.992      1.887     0.473
       12 1997     0     7440      0.825      2.845      1.840     0.482
        1 1998     0     7440      0.674      2.905      1.807     0.495
        2 1998     0     6720      0.527      2.843      1.683     0.492
        3 1998     0     7440      0.542      2.846      1.691     0.508
        4 1998     0     7200      0.616      2.809      1.673     0.491
        5 1998     0     7440      0.737      2.757      1.713     0.460
        6 1998     0     7200      0.835      2.804      1.773     0.451
        7 1998     0     7440      0.842      2.689      1.752     0.436
        8 1998  1139     6301      0.855      2.812      1.779     0.434
        9 1998   460     6740      0.670      2.850      1.720     0.486
       10 1998     0     7440      0.696      2.960      1.831     0.481
       11 1998     0     7200      0.861      3.063      1.956     0.491
       12 1998     0     7440      0.896      3.101      1.985     0.488
        1 1999     0     7440      1.000      3.179      2.066     0.487
        2 1999     0     6720      1.062      3.219      2.097     0.480
        3 1999     0     7440      1.034      3.196      2.082     0.498
        4 1999     0     7200      0.933      3.077      1.990     0.472
        5 1999     0     7440      0.919      3.079      1.975     0.461
        6 1999     0     7200      0.855      2.944      1.895     0.450
        7 1999     0     7440      1.002      3.043      1.958     0.457
        8 1999     0     7440      1.036      2.990      1.988     0.467
        9 1999     0     7200      0.975      2.999      1.965     0.486
       10 1999     0     7440      0.979      3.107      1.994     0.479
       11 1999     0     7200      0.944      3.143      2.033     0.473
       12 1999     0     7440      1.012      3.176      2.057     0.456
        1 2000     0     7440      1.057      3.240      2.081     0.455
        2 2000     0     6960      1.063      3.190      2.094     0.467
        3 2000     0     7440      1.215      3.199      2.148     0.464
        4 2000     0     7200      1.150      3.080      2.090     0.468
        5 2000     0     7440      1.093      3.059      1.973     0.468
        6 2000     0     7200      0.984      3.062      1.947     0.457
        7 2000     0     7440      0.830      3.020      1.920     0.475
        8 2000     0     7440      0.845      3.116      1.984     0.483
        9 2000     0     7200      0.989      3.036      1.976     0.480
       10 2000     0     7440      1.122      2.987      2.042     0.466
       11 2000     0     7200      1.129      3.057      2.045     0.452
       12 2000     0     7440      1.072      3.132      2.072     0.445
        1 2001     0     7440      1.032      3.183      2.072     0.451
        2 2001     0     6720      1.062      3.328      2.146     0.483
        3 2001     0     7440      1.101      3.348      2.156     0.477
        4 2001     0     7200      1.114      3.157      2.074     0.471
        5 2001     0     7440      1.073      2.971      1.973     0.462
        6 2001     0     7200      1.004      2.948      1.935     0.454
        7 2001     0     7440      0.868      2.969      1.901     0.451
        8 2001     0     7440      0.860      3.131      1.978     0.465
        9 2001     0     7200      0.863      3.095      1.975     0.475
       10 2001     0     7440      0.885      3.047      1.967     0.479
       11 2001     0     7200      1.063      3.019      2.016     0.457
       12 2001     0     7440      1.010      2.994      1.987     0.461
        1 2002     0     7440      1.025      3.236      2.038     0.478
        2 2002     0     6720      1.039      3.310      2.143     0.468
        3 2002     0     7440      1.079      3.307      2.162     0.494
        4 2002     0     7200      1.096      3.207      2.130     0.469
