


      Monthly water temperatures for TUVALU
      -------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        3 1993   553      191     28.500     29.500     29.086     0.192
        4 1993   700       20     29.200     29.800     29.485     0.180
        5 1993   264      480     28.500     30.100     29.006     0.199
        6 1993     2      718     28.400     29.400     28.837     0.140
        7 1993     0      744     27.600     28.900     28.368     0.274
        8 1993     2      742     28.000     29.600     28.519     0.319
        9 1993   432      288     28.700     29.500     28.915     0.109
       10 1993   744        0
       11 1993    84      636     29.100     31.600     29.799     0.444
       12 1993   697       47     29.800     30.500     30.091     0.182
        1 1994   619      125     29.200     29.500     29.342     0.084
        2 1994    97      575     29.200     30.800     29.723     0.251
        3 1994     0      744     29.400     31.600     30.221     0.405
        4 1994     0      720     28.900     31.400     29.974     0.442
        5 1994    19      725     29.200     30.900     29.759     0.261
        6 1994   179      541     28.400     29.900     29.311     0.231
        7 1994   148      596     28.600     30.500     29.160     0.355
        8 1994   408      336     28.400     29.100     28.864     0.112
        9 1994    64      656     28.600     30.300     29.213     0.375
       10 1994     0      744     29.100     31.800     29.773     0.412
       11 1994    12      708     29.000     30.900     29.721     0.292
       12 1994     0      744     28.700     31.000     29.825     0.428
        1 1995     1      743     28.000     31.500     29.145     0.595
        2 1995     7      665     28.700     30.200     29.149     0.276
        3 1995   269      475     28.800     31.000     30.100     0.451
        4 1995    72      648     29.400     31.300     30.197     0.274
        5 1995     8      736     29.400     31.000     29.991     0.248
        6 1995    20      700     29.000     30.700     29.473     0.226
        7 1995    24      720     29.000     30.100     29.385     0.173
        8 1995     6      738     28.800     29.500     29.067     0.098
        9 1995    12      708     28.800     30.100     29.105     0.189
       10 1995     9      735     28.800     31.400     29.523     0.435
       11 1995    13      707     29.100     32.000     29.798     0.562
       12 1995    47      697     28.800     31.200     29.869     0.388
        1 1996    18      726     29.300     30.800     29.904     0.198
        2 1996    56      640     29.100     30.800     29.705     0.330
        3 1996     8      736     28.500     30.100     29.189     0.228
        4 1996     2      718     28.600     30.500     29.363     0.178
        5 1996     0      744     28.900     30.200     29.484     0.146
        6 1996     0      720     29.000     30.700     29.252     0.157
        7 1996     7      737     28.200     29.300     28.693     0.163
        8 1996     1      743     28.400     29.600     28.690     0.155
        9 1996     6      714     28.500     29.900     28.860     0.248
       10 1996    14      730     28.700     30.000     29.188     0.220
       11 1996     0      720     29.200     30.800     29.650     0.247
       12 1996     1      743     28.900     31.700     29.987     0.472
        1 1997    23      721     28.900     31.100     29.823     0.351
        2 1997     1      671     28.500     31.000     29.784     0.335
        3 1997    21      723     27.700     30.400     28.696     0.562
        4 1997     3      717     28.900     30.300     29.531     0.296
        5 1997    10      734     28.800     30.300     29.540     0.294
        6 1997     1      719     27.900     29.700     28.864     0.328
        7 1997    15      729     28.300     29.000     28.584     0.134
        8 1997     7      737     28.600     30.200     29.116     0.293
        9 1997     2      718     28.600     30.000     29.222     0.203
       10 1997    13      731     28.500     31.000     29.338     0.416
       11 1997     3      717     29.200     31.500     29.891     0.283
       12 1997     0      744     29.300     31.200     29.990     0.241
        1 1998     0      744     27.600     30.500     28.997     0.610
        2 1998     3      669     28.000     30.300     29.040     0.434
        3 1998     1      743     28.200     31.500     29.492     0.573
        4 1998     4      716     28.900     31.300     29.543     0.299
        5 1998     1      743     28.800     29.700     29.171     0.179
        6 1998     4      716     28.600     29.400     28.863     0.136
        7 1998     8      736     27.700     29.300     28.352     0.303
        8 1998   119      625     27.700     28.600     28.106     0.176
        9 1998   275      445     28.000     28.800     28.288     0.126
       10 1998     1      743     28.300     29.900     28.732     0.178
       11 1998     1      719     28.500     30.600     29.127     0.309
       12 1998     1      743     28.600     31.200     29.502     0.461
        1 1999     0      744     27.900     29.400     28.732     0.217
        2 1999     0      672     28.200     29.600     28.787     0.238
        3 1999     4      740     28.300     29.700     28.894     0.303
        4 1999     7      713     28.600     30.200     29.397     0.295
        5 1999     5      739     28.800     30.000     29.576     0.211
        6 1999     5      715     28.700     29.700     29.194     0.178
        7 1999    11      733     28.500     29.200     28.750     0.133
        8 1999     5      739     28.200     28.900     28.490     0.127
        9 1999     2      718     28.100     30.600     28.858     0.337
       10 1999     0      744     28.900     29.700     29.228     0.106
       11 1999     0      720     29.100     30.800     29.492     0.237
       12 1999     0      744     28.600     30.200     29.465     0.204
        1 2000     0      744     28.700     30.100     29.269     0.181
        2 2000    21      675     28.500     30.000     29.182     0.168
        3 2000     5      739     28.200     29.900     29.230     0.170
        4 2000     7      713     28.800     29.800     29.465     0.183
        5 2000     1      743     29.200     29.900     29.577     0.173
        6 2000     1      719     28.700     29.500     29.094     0.165
        7 2000     1      743     28.700     29.700     28.981     0.103
        8 2000     0      744     28.300     29.000     28.796     0.106
        9 2000     0      720     28.700     29.300     28.999     0.125
       10 2000     0      744     28.900     29.900     29.269     0.215
       11 2000     0      720     29.300     30.000     29.596     0.113
       12 2000     0      744     28.900     31.300     29.797     0.372
        1 2001     0      744     29.000     30.500     29.960     0.186
        2 2001     0      672     28.400     30.300     29.595     0.198
        3 2001     0      744     28.800     29.900     29.523     0.191
        4 2001     0      720     29.400     31.000     29.825     0.189
        5 2001     0      744     29.600     31.200     29.988     0.241
        6 2001     0      720     28.800     31.000     29.603     0.238
        7 2001     0      744     28.700     30.300     29.317     0.222
        8 2001     5      739     28.400     30.200     29.121     0.253
        9 2001     1      719     28.900     30.900     29.360     0.240
       10 2001     0      744     29.200     31.000     29.843     0.328
       11 2001     0      720     29.300     32.700     30.071     0.407
       12 2001     3      741     28.500     31.100     29.914     0.498
        1 2002     0      744     29.400     31.300     30.112     0.313
        2 2002     0      672     28.600     31.100     30.056     0.453
        3 2002     0      744     29.200     32.000     30.257     0.404
        4 2002     0      720     29.800     31.600     30.382     0.309
        5 2002     0      744     29.300     31.000     30.367     0.203
        6 2002     0      720     29.000     30.400     29.560     0.323
        7 2002     1      743     28.800     30.300     29.312     0.188
        8 2002     1      743     28.600     30.100     29.098     0.304
        9 2002     0      720     29.000     31.100     29.596     0.327
       10 2002     0      744     28.400     30.400     29.468     0.250
       11 2002     0      720     29.300     31.800     29.864     0.363
       12 2002     0      744     29.000     32.100     30.159     0.522
        1 2003     0      744     28.500     31.400     29.790     0.459
        2 2003     0      672     28.500     32.100     29.915     0.537
        3 2003     0      744     29.100     31.900     30.235     0.381
        4 2003     0      720     28.900     30.800     30.033     0.285
        5 2003     0      744     29.600     31.400     29.989     0.229
        6 2003     0      720     28.600     30.600     29.523     0.416
        7 2003     0      744     28.300     29.700     28.787     0.146
        8 2003     0      744     28.500     30.000     29.114     0.184
        9 2003     0      720     28.700     29.800     29.065     0.137
       10 2003     0      744     28.800     31.100     29.403     0.418
       11 2003     0      720     29.200     32.500     29.922     0.345
       12 2003     0      744     29.500     31.600     30.374     0.303
        1 2004     0      744     28.600     30.800     29.655     0.369
        2 2004     0      696     29.700     30.700     30.035     0.157
        3 2004     3      741     28.600     30.900     29.802     0.307
        4 2004     1      719     28.900     30.400     29.503     0.282
        5 2004     1      743     29.100     30.200     29.582     0.189
        6 2004     1      719     29.100     30.600     29.514     0.204
        7 2004     1      743     28.700     29.600     28.964     0.141
        8 2004     0      744     28.800     29.700     29.162     0.158
        9 2004     0      720     28.800     29.600     29.180     0.128
       10 2004     0      744     29.100     31.200     29.612     0.384
       11 2004     0      720     29.700     31.100     30.218     0.193
       12 2004     0      744     29.100     31.100     29.974     0.326
        1 2005     4      740     29.400     31.200     30.301     0.328
        2 2005     1      671     27.900     31.400     29.653     0.640
        3 2005     7      737     28.500     31.000     29.680     0.453
        4 2005     1      719     29.500     30.700     29.941     0.192
        5 2005     9      735     28.700     30.000     29.608     0.179
        6 2005     2      718     28.800     30.500     29.397     0.160
        7 2005    15      729     28.600     29.500     28.965     0.149
        8 2005     9      735     28.400     29.200     28.898     0.126
        9 2005     1      719     28.700     30.700     29.165     0.334
       10 2005     2      742     29.300     30.700     29.667     0.305
       11 2005     0      720     29.000     32.400     29.933     0.453
       12 2005     0      744     29.400     31.700     30.299     0.357
        1 2006     0      744     28.600     30.500     29.465     0.408
        2 2006     0      672     27.900     30.600     28.970     0.516
        3 2006     0      744     28.600     30.100     29.459     0.171
        4 2006     0      720     29.300     31.000     29.870     0.314
        5 2006     0      744     29.200     30.900     29.928     0.324
        6 2006     1      719     28.300     29.500     29.165     0.142
        7 2006     0      744     28.700     29.500     29.141     0.128
        8 2006     3      741     28.100     29.900     28.868     0.250
        9 2006     2      718     28.900     30.300     29.264     0.148
       10 2006     1      743     29.300     31.600     30.053     0.344
       11 2006     0      720     29.300     30.400     29.802     0.183
       12 2006     1      743     29.500     31.300     30.284     0.294
        1 2007     0      744     28.600     32.100     30.085     0.603
        2 2007     2      670     29.400     31.800     30.187     0.280
        3 2007     4      740     29.400     30.800     30.269     0.184
        4 2007     5      715     29.500     30.900     30.119     0.202
        5 2007     0      744     29.200     31.200     30.119     0.252
        6 2007     0      720     29.000     30.000     29.566     0.163
        7 2007     1      743     29.000     30.400     29.572     0.220
        8 2007     0      744     28.200     30.300     29.081     0.281
        9 2007     0      720     28.600     29.600     29.077     0.196
       10 2007     0      744     28.500     30.200     29.541     0.213
       11 2007     0      720     28.500     30.100     29.418     0.255
       12 2007    10      734     29.000     30.600     29.486     0.273
        1 2008     0      744     27.300     29.600     28.806     0.468
        2 2008     0      696     28.000     29.300     28.707     0.290
        3 2008     0      744     28.700     30.100     29.081     0.193
        4 2008     1      719     29.200     29.800     29.437     0.127
        5 2008     0      744     29.000     30.800     29.546     0.235
        6 2008     1      719     28.600     29.500     29.041     0.187
        7 2008     0      744     28.400     29.000     28.713     0.117
        8 2008     1      743     28.100     28.800     28.478     0.116
        9 2008    88      632     28.200     30.800     28.707     0.500
       10 2008     9      735     28.700     29.800     28.999     0.117
       11 2008     0      720     28.800     30.300     29.312     0.235
       12 2008     0      744     29.100     30.600     29.624     0.208
        1 2009     0      744     28.800     29.900     29.255     0.156
        2 2009     0      672     28.700     29.400     29.135     0.144
        3 2009     2      742     29.000     30.500     29.711     0.247
        4 2009   677       43     28.300     29.800     29.207     0.329
        5 2009   744        0
        6 2009   720        0
        7 2009   579      165     28.600     29.100     28.757     0.086
        8 2009     0      744     28.700     29.900     29.154     0.222
        9 2009     3      717     28.900     29.500     29.218     0.142
       10 2009     0      744     29.000     31.400     29.438     0.267
       11 2009     0      720     29.200     30.400     29.668     0.194
       12 2009     0      744     28.900     30.900     29.801     0.279
        1 2010     0      744     28.500     32.000     30.362     0.694
        2 2010     0      672     27.600     31.800     28.884     0.740
        3 2010    27      717     28.000     30.300     28.951     0.416
        4 2010     1      719     29.600     30.800     30.084     0.263
        5 2010    16      728     29.400     31.100     30.331     0.185
        6 2010    86      634     29.400     30.200     29.782     0.207
        7 2010   143      601     28.900     30.400     29.319     0.222
        8 2010   182      562     28.700     29.300     28.962     0.135
        9 2010   219      501     28.500     29.000     28.773     0.106
       10 2010   219      525     28.700     30.200     29.113     0.270
       11 2010   164      556     28.900     30.100     29.301     0.199
       12 2010    70      674     28.400     29.600     28.915     0.276
        1 2011    49      695     26.900     29.900     28.415     0.548
        2 2011    48      624     28.000     29.300     28.494     0.253
        3 2011   414      330     27.200     29.100     28.538     0.279
        4 2011   720        0
        5 2011   744        0
        6 2011   720        0
        7 2011   744        0
        8 2011   744        0
        9 2011   720        0
       10 2011   744        0
       11 2011   720        0
       12 2011   744        0
        1 2012   744        0
        2 2012   696        0
        3 2012   744        0
        4 2012   720        0
        5 2012   744        0
        6 2012   720        0
        7 2012   744        0
        8 2012   744        0
        9 2012   720        0
       10 2012   744        0
       11 2012   720        0
       12 2012   744        0
        1 2013   744        0
        2 2013   672        0
        3 2013   744        0
        4 2013   720        0
        5 2013   744        0
        6 2013   720        0
        7 2013   744        0
        8 2013   744        0
        9 2013   720        0
       10 2013   744        0
       11 2013    29      691     29.600     31.900     30.024     0.219
       12 2013     0      744     29.300     31.500     30.141     0.353
        1 2014     1      743     28.200     31.200     29.675     0.456
        2 2014     0      672     28.600     31.800     29.943     0.404
        3 2014     0      744     28.600     31.300     29.527     0.420
        4 2014     1      719     29.300     30.400     29.708     0.233
        5 2014     0      744     29.200     31.300     29.850     0.315
        6 2014     0      720     29.200     29.700     29.487     0.093
        7 2014     0      744     28.400     29.400     29.082     0.223
        8 2014     0      744     28.300     29.500     28.788     0.148
        9 2014   194      526     28.500     29.800     28.859     0.255
       10 2014     0      744     28.500     30.600     29.737     0.315
       11 2014     0      720     28.800     31.400     30.233     0.344
       12 2014     0      744     29.300     31.700     30.346     0.410
        1 2015     2      742     28.000     32.800     30.481     0.810
        2 2015     0      672     28.100     31.200     30.238     0.549
        3 2015     0      744     29.100     31.800     30.143     0.423
        4 2015     0      720     29.600     31.900     30.225     0.306
        5 2015     0      744     29.400     31.100     30.097     0.236
        6 2015     0      720     29.200     30.300     29.651     0.158
        7 2015     2      742     28.400     29.900     29.226     0.273
        8 2015     0      744     28.600     30.100     29.120     0.235
        9 2015     0      720     28.300     30.200     29.005     0.385
       10 2015     0      744     28.200     30.200     29.392     0.249
       11 2015   104      616     28.600     31.600     29.726     0.396
       12 2015     0      744     28.200     31.300     29.778     0.445
        1 2016     0      744     28.400     32.100     30.158     0.593
        2 2016     0      696     28.400     32.600     30.422     0.661
        3 2016     0      744     29.100     31.700     30.520     0.468
        4 2016     0      720     29.300     31.400     30.273     0.353
