


      Monthly air temperatures for SOLOMON ISLANDS
      --------------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        7 1994   648       96     23.500     28.800     26.141     1.620
        8 1994     4      740     22.200     30.300     26.097     1.704
        9 1994    63      657     21.100     30.900     25.632     1.791
       10 1994    73      671     21.300     30.100     26.065     1.739
       11 1994     4      716     22.200     30.200     26.607     1.761
       12 1994    20      724     22.800     31.900     26.773     1.733
        1 1995     1      743     23.600     30.900     27.461     1.507
        2 1995     2      670     23.700     30.600     27.176     1.476
        3 1995     4      740     24.300     30.100     26.896     1.441
        4 1995     8      712     23.000     31.400     27.370     1.667
        5 1995    10      734     23.900     31.700     27.193     1.757
        6 1995     9      711     23.200     31.400     27.070     1.884
        7 1995     3      741     23.600     31.600     27.060     1.923
        8 1995     9      735     23.700     31.800     27.276     1.786
        9 1995    10      710     22.400     31.700     26.925     1.851
       10 1995     9      735     20.100     30.000     25.799     1.890
       11 1995   720        0
       12 1995   744        0
        1 1996   744        0
        2 1996   696        0
        3 1996     0      744     23.600     32.200     26.910     1.801
        4 1996     0      720     22.700     32.400     26.778     1.897
        5 1996     0      744     23.600     31.100     26.555     1.812
        6 1996     0      720     22.600     30.900     26.524     1.829
        7 1996     7      737     22.800     30.700     26.585     1.815
        8 1996     1      743     22.600     30.900     26.509     1.937
        9 1996     0      720     23.400     31.000     26.994     1.785
       10 1996     0      744     23.100     31.400     26.674     1.845
       11 1996     0      720     22.800     32.000     26.739     1.917
       12 1996     0      744     23.300     31.000     26.951     1.785
        1 1997     1      743     23.400     32.300     26.905     1.661
        2 1997     2      670     22.100     30.300     26.946     1.555
        3 1997    11      733     23.300     31.000     26.898     1.686
        4 1997     4      716     23.400     31.500     26.532     1.699
        5 1997     5      739     22.600     31.200     26.557     1.888
        6 1997     3      717     21.400     30.500     25.790     1.938
        7 1997   723       21     24.000     30.300     26.962     2.300
        8 1997   744        0
        9 1997   171      549     20.500     30.800     25.444     1.962
       10 1997    15      729     21.000     29.000     25.223     1.870
       11 1997     0      720     21.100     30.500     26.522     1.936
       12 1997     0      744     24.100     32.000     27.287     1.692
        1 1998     0      744     23.700     32.400     27.128     1.517
        2 1998     0      672     24.400     30.800     27.155     1.429
        3 1998     0      744     23.500     31.400     26.680     1.427
        4 1998     1      719     24.000     31.000     27.266     1.622
        5 1998     0      744     23.200     31.500     27.181     1.665
        6 1998     1      719     23.300     30.800     26.893     1.740
        7 1998     1      743     21.600     31.200     26.503     2.034
        8 1998     2      742     21.600     30.800     26.460     1.973
        9 1998     1      719     22.900     31.300     26.782     1.951
       10 1998     5      739     23.500     31.100     27.060     1.835
       11 1998     1      719     23.600     32.000     27.110     1.759
       12 1998    75      669     23.900     32.500     26.985     1.774
        1 1999     2      742     23.300     31.400     26.929     1.786
        2 1999     1      671     23.400     30.500     26.317     1.503
        3 1999     0      744     22.500     30.700     27.040     1.935
        4 1999     2      718     24.000     30.400     26.839     1.728
        5 1999     0      744     23.500     31.200     26.575     1.892
        6 1999    53      667     23.100     30.600     26.302     1.844
        7 1999     0      744     23.000     31.000     26.504     1.904
        8 1999     2      742     22.700     30.800     26.293     2.074
        9 1999     1      719     22.300     30.400     26.450     1.920
       10 1999     2      742     23.100     31.000     26.734     1.930
       11 1999     0      720     23.500     30.400     26.668     1.761
       12 1999     0      744     22.700     31.300     27.011     1.876
        1 2000     0      744     22.900     32.000     26.880     1.764
        2 2000     3      693     22.200     31.000     26.765     1.971
        3 2000     2      742     23.600     30.700     26.370     1.808
        4 2000     6      714     23.200     30.900     26.624     1.866
        5 2000     7      737     23.200     31.300     26.371     1.802
        6 2000     0      720     23.100     31.000     26.472     1.878
        7 2000     0      744     21.600     30.000     26.025     1.792
        8 2000     0      744     22.900     31.500     26.478     1.818
        9 2000     0      720     21.900     31.400     26.724     2.018
       10 2000     0      744     23.500     30.900     27.082     1.838
       11 2000     0      720     23.100     31.300     26.928     1.867
       12 2000     0      744     23.600     33.200     27.184     1.842
        1 2001     0      744     23.000     31.400     27.361     1.885
        2 2001     1      671     23.900     31.200     26.884     1.770
        3 2001     4      740     23.200     32.700     26.963     1.841
        4 2001     3      717     23.700     31.600     26.990     1.873
        5 2001     0      744     23.700     30.000     26.739     1.692
        6 2001     0      720     22.800     32.200     26.466     1.845
        7 2001     3      741     23.100     30.400     26.243     1.708
        8 2001     7      737     20.800     31.200     26.381     2.080
        9 2001     9      711     22.500     31.100     26.843     1.947
       10 2001     5      739     23.700     31.000     26.960     1.768
       11 2001     1      719     24.200     31.700     27.399     1.727
       12 2001     0      744     23.000     34.500     27.428     1.924
        1 2002    13      731     23.200     31.400     27.064     1.660
        2 2002     1      671     23.800     31.500     26.956     1.559
        3 2002     9      735     24.100     30.200     27.071     1.581
        4 2002    12      708     24.400     30.800     27.376     1.659
        5 2002     9      735     23.600     30.800     27.218     1.767
        6 2002    11      709     23.800     31.400     27.189     1.801
        7 2002     4      740     22.200     30.800     26.252     1.867
        8 2002     3      741     21.600     30.100     25.966     1.766
        9 2002    10      710     22.100     30.200     26.118     1.730
       10 2002     2      742     23.100     30.900     26.304     1.671
       11 2002     1      719     22.700     30.500     26.797     1.683
       12 2002     9      735     22.300     30.600     27.181     1.742
        1 2003     2      742     23.200     32.200     27.158     1.701
        2 2003     4      668     23.700     31.800     27.428     1.748
        3 2003     0      744     24.100     30.900     26.990     1.620
        4 2003     0      720     22.800     32.100     27.107     1.867
        5 2003     0      744     23.400     31.600     27.360     1.800
        6 2003     0      720     22.800     30.800     26.757     1.854
        7 2003     0      744     23.000     31.200     26.396     1.834
        8 2003     1      743     22.000     30.300     26.089     1.804
        9 2003     1      719     22.600     30.900     26.698     1.930
       10 2003     0      744     22.300     30.800     27.118     1.835
       11 2003     0      720     23.800     30.300     26.812     1.689
       12 2003     3      741     24.200     32.400     27.161     1.599
        1 2004     0      744     23.900     32.400     27.555     1.806
        2 2004     0      696     23.900     31.700     27.476     1.800
        3 2004     0      744     24.300     32.300     27.238     1.673
        4 2004     0      720     23.700     31.300     26.972     1.702
        5 2004     0      744     23.500     31.700     27.016     1.962
        6 2004     0      720     22.500     31.300     26.308     1.709
        7 2004     0      744     23.000     30.000     25.968     1.696
        8 2004     0      744     22.600     30.200     26.191     1.629
        9 2004     0      720     23.500     30.700     26.549     1.785
       10 2004     2      742     23.000     30.800     26.609     1.704
       11 2004     0      720     23.700     30.600     26.676     1.638
       12 2004     0      744     24.200     30.200     27.092     1.501
        1 2005     0      744     24.000     31.200     27.220     1.719
        2 2005     0      672     24.300     33.200     27.395     1.811
        3 2005     0      744     24.600     32.700     27.874     1.853
        4 2005     0      720     23.900     31.300     27.134     1.678
        5 2005     0      744     23.500     31.200     27.153     1.735
        6 2005     3      717     23.200     30.800     26.856     1.902
        7 2005     1      743     22.600     31.200     26.509     1.803
        8 2005     0      744     23.000     30.900     26.527     1.785
        9 2005     3      717     23.700     30.600     26.811     1.726
       10 2005     0      744     22.800     31.500     27.199     1.914
       11 2005     0      720     23.800     31.800     26.891     1.721
       12 2005     0      744     24.000     31.100     27.308     1.721
        1 2006     0      744     23.800     32.000     27.173     1.724
        2 2006     0      672     24.000     32.800     27.239     1.840
        3 2006     9      735     22.500     32.100     27.133     1.814
        4 2006    11      709     24.100     31.100     27.170     1.699
        5 2006     8      736     23.500     32.300     27.230     1.772
        6 2006     1      719     23.800     31.400     26.939     1.806
        7 2006     2      742     22.800     30.700     26.671     1.866
        8 2006     1      743     22.000     30.400     26.001     1.631
        9 2006     0      720     23.500     30.900     26.611     1.728
       10 2006     0      744     21.600     31.700     26.218     1.656
       11 2006   331      389     23.800     30.500     27.243     1.695
       12 2006   744        0
        1 2007   744        0
        2 2007   672        0
        3 2007   744        0
        4 2007   720        0
        5 2007   744        0
        6 2007   720        0
        7 2007   628      116     24.000     30.800     26.322     1.678
        8 2007     0      744     23.000     31.100     26.497     1.849
        9 2007     0      720     23.500     31.200     26.919     1.845
       10 2007     0      744     23.300     31.000     26.884     1.952
       11 2007     0      720     23.300     33.400     27.211     1.884
       12 2007     0      744     23.100     32.900     27.088     1.935
        1 2008     0      744     22.600     30.900     26.366     1.469
        2 2008     0      696     23.200     30.400     26.845     1.610
        3 2008     0      744     22.800     30.100     26.626     1.854
        4 2008     4      716     23.500     30.400     26.452     1.823
        5 2008     0      744     22.500     29.900     26.354     1.883
        6 2008     0      720     22.200     30.800     26.549     1.946
        7 2008     0      744     22.600     30.800     26.644     1.883
        8 2008     0      744     23.100     31.400     26.818     2.100
        9 2008     0      720     23.400     31.200     26.681     1.846
       10 2008     0      744     22.900     31.100     26.924     1.996
       11 2008     0      720     22.900     32.400     27.529     1.984
       12 2008     0      744     24.000     31.000     27.413     1.684
        1 2009     0      744     23.500     31.500     26.770     1.532
        2 2009     0      672     22.900     31.500     26.728     1.866
        3 2009     2      742     23.700     30.600     26.661     1.688
        4 2009     0      720     23.600     32.400     27.358     1.932
        5 2009     0      744     23.400     31.000     26.958     1.721
        6 2009     0      720     23.300     31.000     27.202     1.768
        7 2009     0      744     23.700     31.300     26.909     1.803
        8 2009     0      744     23.000     31.600     26.660     1.872
        9 2009     0      720     23.300     31.200     26.901     1.681
       10 2009     0      744     23.200     31.700     26.580     1.785
       11 2009     0      720     23.300     32.400     27.306     1.847
       12 2009     0      744     23.700     32.400     27.340     1.740
        1 2010     0      744     23.900     33.400     27.326     1.646
        2 2010     0      672     23.400     33.600     27.329     1.777
        3 2010     0      744     24.100     32.600     27.374     1.674
        4 2010     0      720     24.800     30.900     27.622     1.691
        5 2010     0      744     24.400     31.700     27.820     1.728
        6 2010     0      720     24.100     32.000     27.395     1.841
        7 2010     0      744     22.900     31.700     26.972     2.081
        8 2010    28      716     22.700     31.700     26.903     2.046
        9 2010     0      720     23.500     31.400     27.149     1.952
       10 2010     0      744     23.600     31.100     27.098     1.864
       11 2010     0      720     23.300     31.600     26.827     1.858
       12 2010     0      744     23.400     31.700     26.996     1.969
        1 2011     0      744     23.200     32.700     27.018     1.903
        2 2011     0      672     23.700     32.900     26.832     1.983
        3 2011     0      744     23.600     31.700     27.299     2.033
        4 2011     0      720     23.700     31.500     27.102     1.970
        5 2011     0      744     23.600     31.000     27.069     1.813
        6 2011     0      720     22.500     31.400     27.118     1.986
        7 2011     0      744     23.100     31.300     26.812     1.977
        8 2011     0      744     22.900     31.900     26.558     2.089
        9 2011     0      720     22.700     31.300     27.150     2.145
       10 2011     0      744     23.300     31.200     26.861     1.848
       11 2011    47      673     23.200     31.500     26.962     1.943
       12 2011   100      644     22.600     33.000     27.285     2.003
        1 2012     0      744     23.800     30.500     26.792     1.637
        2 2012     1      695     23.400     31.300     26.591     1.825
        3 2012     1      743     24.000     32.000     27.437     1.909
        4 2012     0      720     23.600     32.700     27.240     1.961
        5 2012     0      744     23.300     31.800     26.970     1.882
        6 2012     0      720     22.000     31.800     26.749     1.928
        7 2012     0      744     22.500     31.500     26.631     1.832
        8 2012     0      744     22.600     32.300     26.914     2.004
        9 2012     0      720     24.200     31.500     26.976     1.596
       10 2012     0      744     22.900     32.300     26.985     1.833
       11 2012     0      720     23.300     31.700     27.314     1.753
       12 2012     0      744     23.700     32.000     27.407     1.793
        1 2013     0      744     24.100     34.200     27.609     1.824
        2 2013     0      672     23.400     32.500     27.418     1.849
        3 2013     0      744     24.300     30.700     26.768     1.498
        4 2013     0      720     24.000     33.000     27.594     1.990
        5 2013     0      744     24.000     33.300     27.485     2.011
        6 2013     0      720     23.900     32.100     27.225     1.814
        7 2013     0      744     22.900     31.700     26.518     1.872
        8 2013     0      744     22.300     31.300     26.540     2.022
        9 2013     0      720     21.600     32.300     26.682     2.069
       10 2013     0      744     23.500     31.400     26.445     1.675
       11 2013    77      643     24.000     36.000     27.545     2.059
       12 2013     0      744     24.600     35.800     27.662     1.806
        1 2014     0      744     23.600     31.600     27.124     1.631
        2 2014     0      672     24.200     32.800     27.104     1.674
        3 2014     0      744     22.300     31.300     26.984     1.823
        4 2014     0      720     24.000     31.500     27.016     1.769
        5 2014     0      744     23.900     31.700     27.188     1.805
        6 2014     0      720     24.000     31.700     27.178     1.930
        7 2014     0      744     23.500     31.700     26.766     1.711
        8 2014     0      744     22.500     32.000     26.943     2.063
        9 2014     0      720     23.900     35.000     27.801     2.007
       10 2014     0      744     23.800     30.800     27.075     1.651
       11 2014     0      720     24.100     32.300     27.584     1.815
       12 2014    21      723     23.200     31.800     27.638     1.695
        1 2015     0      744     24.000     32.600     27.405     1.742
        2 2015     0      672     23.800     32.700     27.565     1.899
        3 2015     0      744     24.400     31.000     26.981     1.478
        4 2015     0      720     24.200     32.000     27.291     1.707
        5 2015     0      744     23.500     31.800     26.925     1.697
        6 2015     0      720     22.900     32.000     26.868     1.912
        7 2015     0      744     22.900     31.700     26.751     1.845
        8 2015     0      744     20.800     31.200     26.135     2.033
        9 2015     0      720     22.800     30.900     26.492     1.759
       10 2015     0      744     23.000     34.300     26.909     1.884
       11 2015     0      720     24.100     31.300     27.397     1.598
       12 2015     0      744     23.800     32.800     27.719     1.764
        1 2016     0      744     24.500     34.400     28.218     1.882
        2 2016     0      696     24.600     33.200     27.547     1.643
        3 2016     0      744     24.000     33.300     27.878     1.597
        4 2016     0      720     24.600     31.600     27.398     1.583
        5 2016     0      744     24.100     32.200     27.749     1.819
        6 2016     1      719     22.900     32.000     27.262     1.922
        7 2016     0      744     22.600     30.900     26.710     1.965
        8 2016     0      744     23.600     32.200     26.875     1.849
        9 2016     0      720     23.300     33.000     27.379     1.970
       10 2016     7      737     23.300     32.000     27.498     1.840
       11 2016     0      720     23.400     32.500     27.284     1.793
       12 2016     0      744     24.200     32.000     27.525     1.681
        1 2017     0      744     23.300     31.800     27.601     1.767
        2 2017     0      672     24.200     31.300     27.353     1.609
        3 2017     0      744     24.200     31.600     27.319     1.841
        4 2017     0      720     24.300     31.700     27.273     1.585
        5 2017     0      744     24.300     33.300     27.876     1.830
