


      Monthly sea levels for SOLOMON ISLANDS
      --------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        7 1994  6480      960      0.335      0.871      0.586     0.131
        8 1994     0     7440      0.181      0.875      0.568     0.172
        9 1994     0     7200      0.162      0.840      0.489     0.153
       10 1994   330     7110      0.193      0.919      0.537     0.159
       11 1994     0     7200      0.130      0.943      0.560     0.194
       12 1994     0     7440      0.065      0.991      0.556     0.225
        1 1995     0     7440      0.026      0.913      0.524     0.214
        2 1995     0     6720      0.150      0.819      0.507     0.167
        3 1995     0     7440      0.320      1.003      0.675     0.142
        4 1995     0     7200      0.358      1.162      0.721     0.159
        5 1995     0     7440      0.193      1.054      0.664     0.190
        6 1995     0     7200      0.133      1.029      0.628     0.202
        7 1995     0     7440      0.200      1.071      0.674     0.193
        8 1995     0     7440      0.185      0.999      0.648     0.163
        9 1995     0     7200      0.284      0.981      0.643     0.147
       10 1995     0     7440      0.321      1.096      0.681     0.163
       11 1995     0     7200      0.241      1.134      0.703     0.191
       12 1995     0     7440      0.148      1.117      0.701     0.209
        1 1996     0     7440      0.202      1.110      0.699     0.204
        2 1996     0     6960      0.321      1.064      0.774     0.177
        3 1996     0     7440      0.456      1.126      0.798     0.145
        4 1996     0     7200      0.508      1.224      0.827     0.152
        5 1996     0     7440      0.279      1.167      0.744     0.189
        6 1996     0     7200      0.190      1.102      0.655     0.205
        7 1996     0     7440      0.154      1.047      0.661     0.199
        8 1996     0     7440      0.244      0.959      0.662     0.162
        9 1996     0     7200      0.361      0.980      0.686     0.140
       10 1996     0     7440      0.322      1.093      0.672     0.161
       11 1996     0     7200      0.253      1.092      0.699     0.195
       12 1996     0     7440      0.201      1.241      0.721     0.214
        1 1997     0     7440      0.161      1.092      0.676     0.204
        2 1997     0     6720      0.233      1.082      0.731     0.177
        3 1997     0     7440      0.393      1.077      0.752     0.157
        4 1997     0     7200      0.180      0.995      0.603     0.164
        5 1997     0     7440      0.154      0.986      0.572     0.177
        6 1997     0     7200      0.119      0.951      0.564     0.193
        7 1997  7230      210      0.255      0.846      0.610     0.183
        8 1997  7440        0
        9 1997  1680     5520      0.025      0.719      0.387     0.147
       10 1997     0     7440      0.153      0.809      0.427     0.145
       11 1997     0     7200      0.030      0.871      0.424     0.190
       12 1997     0     7440      0.015      0.890      0.477     0.216
        1 1998     0     7440      0.028      0.863      0.490     0.208
        2 1998     0     6720      0.068      0.743      0.446     0.169
        3 1998     0     7440      0.097      0.730      0.444     0.136
        4 1998     0     7200      0.163      0.870      0.495     0.154
        5 1998     0     7440      0.079      0.920      0.499     0.182
        6 1998     0     7200      0.034      0.878      0.493     0.199
        7 1998   802     6638     -0.025      0.777      0.406     0.190
        8 1998   698     6742      0.072      0.776      0.478     0.171
        9 1998   554     6646      0.147      0.815      0.488     0.150
       10 1998  1690     5750      0.186      0.842      0.520     0.158
       11 1998     0     7200      0.129      0.971      0.567     0.186
       12 1998   249     7191      0.112      1.000      0.605     0.220
