


      Monthly water temperatures for SOLOMON ISLANDS
      ----------------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        7 1994   648       96     27.500     28.400     27.949     0.180
        8 1994     5      739     27.600     28.800     27.943     0.222
        9 1994    63      657     27.300     28.800     27.809     0.302
       10 1994    73      671     27.100     28.700     27.787     0.316
       11 1994     4      716     27.700     29.700     28.762     0.483
       12 1994    20      724     28.200     30.300     29.044     0.396
        1 1995     1      743     27.700     30.900     29.567     0.490
        2 1995     2      670     27.800     30.600     29.158     0.532
        3 1995     4      740     27.500     30.700     29.142     0.558
        4 1995     8      712     29.100     30.700     29.804     0.304
        5 1995    10      734     28.700     30.300     29.368     0.321
        6 1995     9      711     28.100     29.900     28.744     0.265
        7 1995     3      741     28.400     29.500     28.879     0.218
        8 1995     9      735     28.200     29.300     28.605     0.178
        9 1995    10      710     28.000     29.600     28.596     0.290
       10 1995     9      735     28.200     30.500     29.081     0.394
       11 1995    17      703     28.500     30.600     29.275     0.357
       12 1995    21      723     29.000     31.100     29.679     0.345
        1 1996     9      735     28.800     31.600     29.666     0.446
        2 1996     3      693     29.400     31.500     30.124     0.338
        3 1996     0      744     29.000     31.400     29.857     0.394
        4 1996     0      720     29.000     31.200     29.861     0.289
        5 1996     0      744     29.100     31.800     29.711     0.310
        6 1996     0      720     28.500     29.800     29.062     0.282
        7 1996     7      737     28.200     29.700     28.795     0.299
        8 1996     2      742     28.500     29.600     28.990     0.221
        9 1996     0      720     28.500     31.300     29.125     0.275
       10 1996     0      744     28.500     30.100     29.097     0.276
       11 1996     0      720     28.800     30.900     29.601     0.307
       12 1996     0      744     28.400     31.000     29.663     0.466
        1 1997     2      742     28.800     30.900     29.418     0.328
        2 1997     2      670     29.000     31.000     29.570     0.337
        3 1997    12      732     29.000     30.600     29.625     0.308
        4 1997     4      716     28.600     31.000     29.557     0.496
        5 1997     5      739     27.400     30.500     28.609     0.371
        6 1997     3      717     27.600     29.000     28.266     0.255
        7 1997   723       21     28.100     28.700     28.419     0.182
        8 1997   744        0
        9 1997   172      548     26.600     28.400     27.398     0.334
       10 1997    15      729     26.900     29.400     27.920     0.425
       11 1997     0      720     27.700     30.500     28.541     0.524
       12 1997     0      744     28.600     31.200     29.589     0.411
        1 1998     0      744     28.100     30.700     28.983     0.468
        2 1998     0      672     27.200     30.900     29.300     0.704
        3 1998     1      743     27.200     29.800     28.553     0.455
        4 1998     0      720     28.000     30.800     29.375     0.479
        5 1998     0      744     28.500     29.700     28.951     0.225
        6 1998     1      719     28.100     29.600     28.842     0.289
        7 1998     1      743     26.800     29.000     27.755     0.454
        8 1998     2      742     27.100     29.200     27.902     0.405
        9 1998     2      718     27.600     29.300     28.128     0.317
       10 1998     8      736     26.500     29.900     28.642     0.557
       11 1998     1      719     28.200     31.000     29.539     0.401
       12 1998    78      666     29.100     31.100     29.809     0.354
        1 1999     2      742     28.900     31.200     29.842     0.423
        2 1999     1      671     27.200     30.900     29.437     0.465
        3 1999     0      744     29.200     31.600     29.896     0.378
        4 1999     2      718     29.300     31.100     30.035     0.361
        5 1999     2      742     29.100     30.900     29.897     0.305
        6 1999    54      666     28.900     30.300     29.392     0.286
        7 1999     1      743     28.500     29.800     28.948     0.228
