


      Monthly barometric pressures for MARSHALL ISLANDS
      -------------------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        5 1993   336      408     1007.1     1013.3     1010.1       1.3
        6 1993    24      696     1005.3     1013.3     1009.5       1.5
        7 1993    73      671     1006.0     1012.0     1008.8       1.1
        8 1993   236      508     1005.7     1013.6     1010.0       1.5
        9 1993     0      720     1006.1     1014.4     1009.9       1.6
       10 1993     0      744     1004.8     1013.6     1008.8       1.6
       11 1993     0      720     1005.1     1011.9     1008.3       1.3
       12 1993     0      744     1003.3     1013.3     1007.6       1.5
        1 1994     0      744     1004.5     1012.2     1008.3       1.4
        2 1994     0      672     1004.7     1013.8     1008.3       1.8
        3 1994     0      744     1003.8     1013.8     1009.2       2.0
        4 1994     0      720     1005.1     1012.6     1009.3       1.4
        5 1994     5      739     1005.7     1013.4     1009.4       1.5
        6 1994     5      715     1006.3     1012.2     1009.0       1.2
        7 1994     4      740     1004.9     1012.1     1008.6       1.3
        8 1994     0      744     1005.1     1013.6     1009.2       1.8
        9 1994     1      719     1004.2     1014.5     1009.4       1.8
       10 1994     0      744     1005.7     1012.5     1009.3       1.3
       11 1994     5      715     1002.4     1011.4     1007.8       1.8
       12 1994    10      734     1001.6     1013.2     1007.6       2.4
        1 1995    11      733     1005.2     1013.4     1008.9       1.6
        2 1995     8      664     1005.1     1013.2     1009.7       1.6
        3 1995    96      648     1003.9     1013.6     1009.3       2.1
        4 1995    73      647     1005.3     1012.3     1008.5       1.4
        5 1995    11      733     1005.9     1012.5     1009.6       1.3
        6 1995     7      713     1006.6     1013.1     1009.8       1.3
        7 1995   113      631     1006.5     1013.4     1009.0       1.3
        8 1995    18      726     1005.3     1013.2     1009.1       1.6
        9 1995    13      707     1006.0     1013.5     1009.7       1.3
       10 1995     7      737     1004.7     1013.2     1008.9       1.5
       11 1995    12      708     1004.6     1012.5     1008.6       1.4
       12 1995    18      726     1004.0     1012.6     1009.1       1.6
        1 1996    15      729     1003.2     1011.3     1007.7       1.5
        2 1996     1      695     1003.7     1011.2     1007.8       1.5
        3 1996     7      737     1004.2     1015.5     1008.6       2.3
        4 1996     7      713     1005.1     1013.8     1009.3       1.6
        5 1996     1      743     1006.2     1015.1     1010.3       1.7
        6 1996     1      719     1005.4     1016.6     1009.9       2.1
        7 1996     5      739     1005.9     1012.6     1009.0       1.3
        8 1996     5      739     1005.9     1013.1     1010.0       1.3
        9 1996     1      719     1003.6     1013.8     1008.5       1.9
       10 1996     7      737     1004.5     1012.7     1008.5       1.6
       11 1996     0      720     1002.0     1012.5     1007.7       2.1
       12 1996     0      744     1001.9     1011.2     1006.5       1.9
        1 1997    42      702     1005.5     1011.9     1008.8       1.3
        2 1997     1      671     1003.5     1011.1     1007.2       1.4
        3 1997    27      717     1001.8     1013.9     1007.6       2.7
        4 1997     6      714     1004.3     1013.2     1009.1       1.9
        5 1997     6      738     1004.1     1013.4     1008.5       1.8
        6 1997     0      720     1005.6     1015.0     1009.6       2.0
        7 1997    13      731     1005.2     1011.8     1008.6       1.3
        8 1997     8      736     1005.5     1013.1     1009.3       1.5
        9 1997    18      702     1001.8     1014.8     1009.6       2.7
       10 1997     3      741     1004.2     1013.4     1009.6       1.7
       11 1997     0      720     1006.4     1016.5     1011.1       2.0
       12 1997     0      744      997.2     1013.7     1009.3       2.2
        1 1998     1      743     1007.4     1015.6     1011.1       1.7
        2 1998     0      672     1008.0     1015.6     1012.6       1.5
        3 1998     6      738     1006.5     1015.6     1011.8       1.6
        4 1998     1      719     1008.8     1015.4     1012.0       1.3
        5 1998     0      744     1006.4     1014.9     1010.8       1.6
        6 1998     3      717     1006.8     1013.2     1010.0       1.2
        7 1998     5      739     1006.8     1014.7     1010.4       1.6
        8 1998     3      741     1006.6     1013.8     1010.2       1.4
        9 1998     0      720     1006.3     1014.6     1010.0       1.6
       10 1998     0      744     1005.3     1014.3     1009.5       1.6
       11 1998     0      720     1004.1     1012.3     1008.7       1.5
       12 1998     0      744     1005.3     1012.0     1008.3       1.2
        1 1999     2      742     1004.2     1012.8     1008.0       1.8
        2 1999     0      672     1004.1     1014.3     1009.3       1.8
        3 1999     3      741     1004.9     1011.7     1008.4       1.3
        4 1999     2      718     1006.0     1012.6     1009.5       1.4
        5 1999     7      737     1006.1     1013.4     1009.7       1.4
        6 1999    13      707     1006.9     1013.1     1010.3       1.2
        7 1999    16      728     1005.9     1013.1     1009.3       1.3
        8 1999   642      102     1002.3     1012.3     1009.7       2.0
        9 1999   238      482     1007.1     1014.4     1010.3       1.5
       10 1999   744        0
       11 1999   720        0
       12 1999    26      718     1004.7     1011.7     1008.1       1.2
        1 2000   537      207     1004.0     1011.0     1007.8       1.5
        2 2000   696        0
        3 2000   360      384     1005.9     1013.0     1009.1       1.4
        4 2000     7      713     1006.0     1011.7     1009.0       1.2
        5 2000     2      742     1005.0     1013.0     1009.5       1.5
        6 2000     3      717     1005.5     1013.8     1009.2       1.6
        7 2000    12      732     1004.8     1013.1     1009.0       1.6
        8 2000     0      744     1004.7     1011.6     1008.3       1.3
        9 2000     0      720     1006.1     1014.9     1009.5       1.4
       10 2000     0      744     1004.4     1012.0     1007.9       1.4
       11 2000     1      719     1002.8     1011.9     1007.2       1.6
       12 2000     5      739     1004.8     1010.6     1007.8       1.2
        1 2001     0      744     1004.3     1012.0     1008.3       1.3
        2 2001     0      672     1001.2     1012.5     1007.0       2.3
        3 2001     0      744     1005.6     1012.1     1009.0       1.3
        4 2001     1      719     1005.7     1012.5     1008.9       1.3
        5 2001    27      717     1006.4     1013.5     1009.7       1.4
        6 2001     1      719     1005.1     1012.0     1008.3       1.3
        7 2001     0      744     1005.8     1012.1     1009.1       1.3
        8 2001     0      744     1004.1     1012.7     1008.6       1.6
        9 2001     0      720     1005.4     1012.4     1009.1       1.3
       10 2001    29      715     1004.3     1013.4     1008.2       1.6
       11 2001     6      714     1003.3     1010.9     1007.6       1.5
       12 2001    50      694     1002.6     1012.6     1007.4       2.0
        1 2002     0      744     1004.0     1013.1     1008.3       1.7
        2 2002     0      672     1005.2     1012.4     1009.0       1.4
        3 2002     0      744     1005.0     1012.5     1008.8       1.6
        4 2002     0      720     1004.1     1012.9     1008.7       1.6
        5 2002     1      743     1002.7     1013.8     1008.8       2.4
        6 2002     0      720     1004.2     1013.3     1008.4       1.8
        7 2002     0      744     1005.6     1012.7     1009.0       1.3
        8 2002     0      744     1003.7     1012.6     1008.1       1.7
        9 2002   333      387     1005.1     1011.7     1008.4       1.3
       10 2002   149      595     1002.9     1012.0     1008.3       1.6
       11 2002     6      714     1003.8     1011.7     1007.6       1.6
       12 2002     0      744     1006.0     1013.9     1009.5       1.6
        1 2003     0      744     1003.5     1013.2     1009.2       1.5
        2 2003     0      672     1005.2     1012.2     1009.0       1.4
        3 2003     0      744     1004.7     1015.4     1009.6       2.1
        4 2003     1      719     1004.7     1013.2     1009.3       1.6
        5 2003     1      743     1004.4     1014.0     1009.1       1.6
        6 2003     0      720     1006.6     1015.0     1009.9       1.4
        7 2003     0      744     1006.0     1012.5     1009.2       1.3
        8 2003     0      744     1006.2     1013.5     1009.6       1.3
        9 2003     0      720     1004.9     1013.9     1009.5       1.4
       10 2003     0      744     1005.0     1013.7     1008.9       1.6
       11 2003     0      720     1004.5     1011.5     1008.1       1.4
       12 2003     0      744     1003.2     1011.5     1007.6       1.7
        1 2004     0      744     1002.3     1011.8     1008.7       1.7
        2 2004     0      696     1004.0     1013.1     1008.5       1.8
        3 2004     0      744     1003.9     1013.1     1008.2       1.7
        4 2004     0      720     1004.7     1013.3     1009.3       1.7
        5 2004     0      744     1004.4     1013.8     1009.2       2.0
        6 2004     0      720     1006.2     1013.2     1009.2       1.3
        7 2004     0      744     1005.8     1013.3     1009.1       1.3
        8 2004     0      744     1004.6     1014.0     1009.1       1.7
        9 2004     0      720     1006.2     1012.4     1009.4       1.3
       10 2004     0      744     1005.1     1012.7     1008.8       1.5
       11 2004     0      720     1004.2     1011.9     1008.2       1.4
       12 2004     0      744     1003.0     1011.8     1008.0       1.5
        1 2005     3      741     1003.8     1013.7     1008.0       1.8
        2 2005    30      642     1004.2     1012.0     1008.5       1.5
        3 2005    67      677     1006.5     1013.7     1010.0       1.4
        4 2005    12      708     1005.2     1013.6     1009.3       1.8
        5 2005     8      736     1005.0     1012.8     1009.3       1.4
        6 2005     1      719     1005.9     1012.3     1009.6       1.3
        7 2005     1      743     1005.6     1012.9     1009.2       1.7
        8 2005     4      740     1005.5     1013.9     1009.7       1.6
        9 2005    13      707     1005.1     1014.1     1009.2       1.8
       10 2005     4      740     1003.9     1012.8     1009.2       1.5
       11 2005     5      715     1004.1     1011.2     1008.0       1.3
       12 2005     0      744     1003.9     1012.2     1008.1       1.8
        1 2006     1      743     1003.1     1011.6     1007.6       1.6
        2 2006     0      672     1003.7     1012.7     1008.7       1.8
        3 2006     3      741     1005.1     1013.2     1008.8       1.6
        4 2006    30      690     1005.5     1013.1     1008.8       1.4
        5 2006    15      729     1006.4     1013.0     1009.8       1.2
        6 2006     1      719     1004.5     1013.5     1008.7       1.7
        7 2006   118      626     1006.2     1013.7     1009.7       1.5
        8 2006     2      742     1005.2     1011.9     1008.7       1.2
        9 2006    98      622     1004.5     1013.0     1008.8       1.7
       10 2006     5      739     1004.2     1013.8     1009.0       2.0
       11 2006     1      719     1003.6     1012.1     1008.3       1.6
       12 2006     0      744     1004.1     1012.5     1008.7       1.6
        1 2007     0      744     1004.5     1012.3     1008.7       1.4
        2 2007     1      671     1003.8     1014.7     1009.2       2.3
        3 2007    58      686     1005.2     1012.1     1008.6       1.5
        4 2007    28      692     1006.6     1013.7     1010.0       1.4
        5 2007     7      737     1004.6     1013.7     1009.8       1.8
        6 2007     0      720     1003.4     1012.5     1008.2       1.8
        7 2007     0      744     1005.0     1014.1     1009.3       1.7
        8 2007     1      743     1005.8     1012.3     1009.4       1.3
        9 2007     0      720     1005.2     1011.7     1008.8       1.2
       10 2007     4      740     1004.8     1013.1     1009.2       1.6
       11 2007     0      720     1002.9     1012.5     1007.4       1.9
       12 2007     0      744     1003.8     1013.2     1008.1       1.8
        1 2008     0      744     1003.4     1011.5     1007.6       1.6
        2 2008     0      696     1005.2     1013.0     1008.9       1.7
        3 2008     2      742     1005.7     1012.7     1009.4       1.5
        4 2008     1      719     1004.6     1012.8     1008.7       1.5
        5 2008     4      740     1005.9     1014.2     1010.0       1.7
        6 2008    19      701     1006.2     1013.5     1009.7       1.3
        7 2008     0      744     1005.6     1013.7     1009.8       1.4
        8 2008    22      722     1005.3     1014.3     1009.9       1.4
        9 2008    89      631     1005.5     1014.0     1009.3       1.5
       10 2008   121      623     1005.8     1014.3     1009.8       1.6
       11 2008   147      573     1004.4     1013.7     1008.6       1.9
       12 2008   324      420     1004.8     1011.3     1007.9       1.4
        1 2009   282      462     1002.8     1014.2     1009.2       2.0
        2 2009   672        0
        3 2009   744        0
        4 2009   720        0
        5 2009   744        0
        6 2009   169      551     1006.4     1012.2     1009.6       1.2
        7 2009   744        0
        8 2009   314      430     1005.6     1012.2     1009.0       1.3
        9 2009   340      380     1004.3     1013.2     1008.8       1.7
       10 2009   306      438     1004.6     1012.3     1008.0       1.5
       11 2009   720        0
       12 2009    96      648     1003.5     1012.5     1008.3       1.8
        1 2010     0      744     1004.8     1012.2     1008.2       1.4
        2 2010     0      672     1006.0     1013.4     1010.2       1.4
        3 2010     0      744     1005.8     1013.8     1009.2       1.5
        4 2010     0      720     1007.2     1014.4     1010.3       1.5
        5 2010     0      744     1004.5     1014.0     1009.1       1.7
        6 2010     0      720     1006.7     1013.9     1010.3       1.2
        7 2010     0      744     1006.8     1013.5     1010.0       1.2
        8 2010     0      744     1006.6     1014.6     1010.0       1.5
        9 2010     0      720     1006.4     1014.7     1010.0       1.5
       10 2010     0      744     1005.2     1013.0     1009.3       1.4
       11 2010     0      720     1004.1     1013.3     1008.8       1.7
       12 2010     0      744     1003.4     1010.4     1007.2       1.4
        1 2011     0      744     1002.0     1011.0     1007.4       1.7
        2 2011     0      672     1005.0     1011.5     1008.3       1.3
        3 2011     0      744     1003.8     1012.7     1008.6       1.6
        4 2011     0      720     1004.8     1013.2     1009.1       1.6
        5 2011     0      744     1004.5     1013.7     1009.1       1.7
        6 2011     0      720     1003.8     1012.5     1008.9       1.5
        7 2011     1      743     1003.4     1013.0     1008.7       1.6
        8 2011     0      744     1005.4     1012.1     1009.0       1.3
        9 2011     0      720     1006.0     1013.2     1009.7       1.3
       10 2011     0      744     1004.4     1013.8     1009.5       2.0
       11 2011     0      720     1003.8     1011.2     1008.2       1.4
       12 2011     0      744     1003.3     1011.2     1007.6       1.6
        1 2012     0      744     1004.9     1011.8     1008.2       1.4
        2 2012     0      696     1004.3     1013.5     1008.8       1.9
        3 2012     0      744     1003.3     1012.4     1007.9       1.6
        4 2012     0      720     1005.9     1013.3     1009.4       1.3
        5 2012     0      744     1005.9     1011.6     1008.9       1.1
        6 2012     0      720     1005.3     1012.8     1009.3       1.4
        7 2012     0      744     1004.9     1011.3     1008.3       1.1
        8 2012     0      744     1006.7     1012.9     1009.6       1.2
        9 2012     0      720     1006.2     1012.5     1009.1       1.2
       10 2012     0      744     1004.8     1013.5     1009.2       1.6
       11 2012     0      720     1004.6     1011.3     1008.2       1.3
       12 2012    99      645     1003.1     1012.4     1007.4       1.8
        1 2013     0      744     1002.9     1012.7     1008.0       1.7
        2 2013     0      672     1003.9     1012.7     1008.5       1.8
        3 2013     0      744     1005.1     1014.0     1009.5       1.6
        4 2013     0      720     1005.5     1012.7     1009.5       1.4
        5 2013     0      744     1006.2     1013.4     1010.0       1.3
        6 2013     0      720     1003.8     1013.5     1008.9       1.8
        7 2013     0      744     1006.0     1012.3     1008.9       1.2
        8 2013     0      744     1006.4     1013.0     1009.6       1.3
        9 2013     0      720     1004.6     1013.7     1008.9       1.8
       10 2013     0      744     1005.1     1013.2     1009.3       1.6
       11 2013     1      719     1004.8     1011.7     1008.4       1.4
       12 2013     0      744     1004.5     1011.6     1007.8       1.3
        1 2014     0      744     1004.8     1011.7     1008.1       1.3
        2 2014     0      672     1004.5     1010.7     1007.5       1.3
        3 2014     0      744     1005.7     1012.8     1009.1       1.4
        4 2014     0      720     1004.8     1013.2     1009.3       1.4
        5 2014     0      744     1005.8     1014.4     1009.8       1.5
        6 2014     0      720     1004.7     1013.0     1008.8       1.7
        7 2014     0      744     1005.2     1013.2     1009.2       1.4
        8 2014     0      744     1006.0     1013.3     1009.6       1.5
        9 2014     0      720     1005.5     1012.6     1009.2       1.4
       10 2014     0      744     1005.9     1012.7     1009.4       1.3
       11 2014     0      720     1004.3     1013.6     1008.9       1.8
       12 2014     0      744     1004.2     1011.9     1008.3       1.6
        1 2015     0      744     1003.3     1015.2     1008.5       2.3
        2 2015     0      672     1004.2     1012.1     1008.7       1.5
        3 2015     1      743      998.1     1015.0     1008.0       3.7
        4 2015     0      720     1004.8     1014.1     1009.3       1.6
        5 2015     4      740     1005.2     1014.3     1009.9       1.8
        6 2015     0      720     1004.8     1012.3     1008.8       1.5
        7 2015     0      744     1002.8     1013.4     1009.1       2.2
