


      Monthly sea levels for MARSHALL ISLANDS
      ---------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        5 1993  3360     4080      0.162      1.819      0.966     0.394
        6 1993   240     6960      0.232      1.921      1.025     0.411
        7 1993   401     7039      0.099      2.012      1.016     0.429
        8 1993  2261     5179      0.157      1.872      0.976     0.382
        9 1993     0     7200     -0.069      2.019      0.986     0.446
       10 1993     0     7440      0.050      2.149      1.057     0.447
       11 1993     0     7200      0.100      2.066      1.015     0.437
       12 1993     0     7440      0.048      1.999      0.973     0.436
        1 1994     0     7440      0.118      2.150      1.036     0.452
        2 1994     0     6720     -0.004      2.123      1.056     0.463
        3 1994     0     7440     -0.013      2.175      1.069     0.471
        4 1994     0     7200      0.040      2.072      1.056     0.446
        5 1994     0     7440      0.078      1.985      0.988     0.418
        6 1994     0     7200      0.096      1.923      0.943     0.408
        7 1994     0     7440      0.077      1.946      0.946     0.425
        8 1994     0     7440      0.048      1.898      0.948     0.435
        9 1994     0     7200      0.003      2.018      0.970     0.452
       10 1994     0     7440     -0.065      2.103      1.012     0.473
       11 1994     0     7200     -0.040      2.094      0.939     0.448
       12 1994     0     7440     -0.020      2.058      0.897     0.435
        1 1995     0     7440     -0.124      2.056      0.958     0.472
        2 1995     0     6720      0.076      2.096      1.051     0.462
        3 1995   840     6600      0.073      2.063      1.066     0.477
        4 1995   480     6720      0.106      2.145      1.109     0.442
        5 1995     0     7440      0.136      2.052      1.038     0.422
        6 1995     0     7200      0.019      1.985      0.954     0.418
        7 1995   960     6480      0.028      2.025      0.967     0.471
        8 1995     0     7440      0.018      2.067      1.021     0.461
        9 1995     0     7200      0.040      2.081      1.055     0.471
       10 1995     0     7440      0.056      2.096      1.054     0.456
       11 1995     0     7200      0.153      2.191      1.096     0.445
       12 1995     0     7440     -0.043      2.054      0.966     0.433
        1 1996     0     7440      0.045      2.195      1.037     0.450
        2 1996     0     6960      0.099      2.173      1.094     0.460
        3 1996     0     7440      0.054      2.013      1.029     0.463
        4 1996     0     7200      0.077      2.019      1.052     0.451
        5 1996    10     7430      0.155      2.057      1.049     0.432
        6 1996    10     7190      0.063      2.005      1.003     0.420
        7 1996    50     7390      0.025      2.091      0.996     0.453
        8 1996    30     7410      0.057      2.155      1.035     0.468
        9 1996     0     7200      0.187      2.170      1.139     0.465
       10 1996     0     7440      0.202      2.168      1.136     0.449
       11 1996     0     7200      0.242      2.172      1.134     0.446
       12 1996     0     7440      0.155      2.103      1.073     0.439
        1 1997     0     7440      0.100      2.172      1.026     0.444
        2 1997     0     6720      0.024      2.194      1.098     0.474
        3 1997     0     7440      0.092      2.262      1.139     0.463
        4 1997     0     7200      0.092      2.139      1.049     0.459
        5 1997     0     7440      0.075      1.978      0.974     0.444
        6 1997     0     7200      0.037      1.840      0.900     0.425
        7 1997     0     7440     -0.040      1.948      0.873     0.432
        8 1997   763     6677     -0.170      1.958      0.856     0.454
        9 1997  3140     4060     -0.206      1.937      0.836     0.495
       10 1997     0     7440     -0.219      1.891      0.834     0.465
       11 1997     0     7200     -0.155      1.762      0.740     0.441
       12 1997     0     7440     -0.238      1.748      0.716     0.442
        1 1998     0     7440     -0.176      1.935      0.788     0.463
        2 1998     0     6720      0.015      2.182      0.994     0.455
        3 1998     0     7440      0.053      2.118      1.071     0.471
        4 1998     0     7200      0.080      2.109      1.071     0.451
