


      Monthly barometric pressures for NAURU
      --------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        7 1993   168      576     1004.1     1010.3     1007.6       1.2
        8 1993     0      744     1004.8     1013.9     1009.6       1.6
        9 1993     0      720     1005.3     1013.7     1009.1       1.7
       10 1993     0      744     1004.5     1012.1     1008.5       1.5
       11 1993     0      720     1003.6     1011.1     1007.3       1.3
       12 1993    24      720     1002.0     1009.8     1006.1       1.3
        1 1994     0      744     1002.7     1010.9     1006.4       1.5
        2 1994     0      672     1002.8     1012.6     1006.6       1.8
        3 1994     0      744     1002.8     1013.3     1007.8       1.9
        4 1994     0      720     1003.5     1011.7     1007.7       1.6
        5 1994   648       96     1005.2     1009.6     1007.6       1.1
        6 1994   720        0
        7 1994   144      600     1004.0     1011.2     1007.6       1.4
        8 1994    10      734     1004.0     1013.1     1008.4       1.8
        9 1994     1      719     1002.6     1013.8     1008.8       2.0
       10 1994     0      744     1004.6     1012.9     1009.0       1.4
       11 1994     1      719     1002.4     1012.3     1007.5       1.8
       12 1994   153      591     1001.6     1011.3     1006.0       2.2
        1 1995   336      408     1003.6     1010.5     1007.0       1.5
        2 1995   349      323     1002.9     1011.1     1007.7       1.8
        3 1995   254      490     1002.0     1011.6     1006.4       1.9
        4 1995    82      638     1003.3     1010.3     1006.7       1.5
        5 1995     8      736     1004.3     1011.7     1008.1       1.4
        6 1995    14      706     1004.1     1011.3     1008.2       1.4
        7 1995     2      742     1004.8     1011.2     1007.9       1.3
        8 1995     7      737     1003.1     1012.1     1007.9       1.7
        9 1995    15      705     1005.5     1011.9     1008.6       1.3
       10 1995    17      727     1004.0     1012.7     1007.8       1.6
       11 1995    12      708     1003.0     1011.3     1007.3       1.6
       12 1995    48      696     1002.7     1010.6     1007.4       1.7
        1 1996    17      727     1002.1     1010.3     1005.9       1.5
        2 1996    50      646     1002.1     1009.5     1006.3       1.5
        3 1996   263      481     1002.4     1008.9     1005.9       1.3
        4 1996     2      718     1002.9     1011.8     1007.6       1.6
        5 1996     0      744     1004.4     1012.4     1008.7       1.5
        6 1996   251      469     1004.6     1013.8     1009.4       1.9
        7 1996     0      744     1003.5     1011.4     1007.5       1.5
        8 1996     0      744     1004.1     1011.9     1008.7       1.5
        9 1996     0      720     1002.5     1011.5     1007.2       1.9
       10 1996     0      744     1003.6     1011.6     1007.4       1.6
       11 1996     0      720     1000.8     1013.3     1006.6       2.3
       12 1996    18      726     1001.1     1009.7     1004.8       1.8
        1 1997     1      743     1003.2     1011.0     1007.0       1.4
        2 1997     3      669     1001.8     1008.4     1005.2       1.4
        3 1997     1      743      999.6     1012.6     1006.2       2.8
        4 1997     3      717     1003.5     1012.2     1007.7       1.8
        5 1997     8      736     1003.0     1012.4     1007.2       1.8
        6 1997     8      712     1004.5     1013.3     1008.7       1.8
        7 1997    11      733     1003.9     1011.5     1007.4       1.4
        8 1997     4      740     1004.9     1012.2     1009.0       1.5
        9 1997     6      714     1003.9     1013.8     1009.1       2.1
       10 1997    13      731     1005.0     1012.7     1009.0       1.4
       11 1997     0      720     1004.9     1014.3     1009.6       1.9
       12 1997     0      744     1002.3     1010.6     1007.4       1.4
        1 1998     1      743     1004.3     1013.3     1008.4       1.8
        2 1998     4      668     1005.7     1013.0     1010.0       1.4
        3 1998     4      740     1005.0     1013.3     1009.4       1.5
        4 1998     7      713     1005.9     1013.8     1009.7       1.5
        5 1998     2      742     1003.7     1012.4     1008.7       1.7
        6 1998     5      715     1005.1     1011.3     1008.2       1.2
        7 1998    29      715     1005.1     1013.0     1008.8       1.6
        8 1998     5      739     1005.0     1012.6     1008.8       1.4
        9 1998    41      679     1003.9     1014.1     1008.7       1.8
       10 1998     2      742     1005.1     1011.6     1008.3       1.3
       11 1998     1      719     1003.0     1010.6     1007.4       1.5
       12 1998     0      744     1003.1     1009.8     1006.4       1.3
        1 1999    15      729     1002.2     1011.5     1006.4       1.9
        2 1999     5      667     1002.4     1012.9     1007.5       1.8
        3 1999    12      732     1003.0     1009.6     1006.4       1.4
        4 1999     6      714     1003.9     1011.5     1007.6       1.5
        5 1999     7      737     1004.4     1011.2     1008.1       1.5
        6 1999     5      715     1005.3     1012.0     1008.7       1.1
