


      Monthly sea levels for NAURU
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        7 1993  1680     5760      0.309      2.532      1.344     0.450
        8 1993     0     7440      0.267      2.569      1.373     0.493
        9 1993     0     7200      0.204      2.494      1.356     0.487
       10 1993   861     6579      0.305      2.628      1.407     0.473
       11 1993  2880     4320      0.381      2.579      1.394     0.518
       12 1993   232     7208      0.428      2.752      1.466     0.461
        1 1994     0     7440      0.330      2.601      1.441     0.481
        2 1994     0     6720      0.205      2.521      1.321     0.484
        3 1994     0     7440      0.236      2.570      1.351     0.499
        4 1994     0     7200      0.326      2.586      1.387     0.476
        5 1994  6480      960      0.862      1.830      1.357     0.243
        6 1994  7200        0
        7 1994  1440     6000      0.488      2.612      1.454     0.478
        8 1994     0     7440      0.404      2.468      1.443     0.464
        9 1994     0     7200      0.397      2.547      1.456     0.485
       10 1994     0     7440      0.327      2.572      1.413     0.485
       11 1994  1221     5979      0.357      2.663      1.430     0.478
       12 1994  1440     6000      0.399      2.917      1.558     0.496
        1 1995  7440        0
        2 1995  6720        0
        3 1995  7440        0
        4 1995  7200        0
        5 1995     0     7440      0.289      2.546      1.349     0.462
        6 1995     0     7200      0.201      2.517      1.303     0.463
        7 1995     0     7440      0.233      2.504      1.310     0.468
        8 1995     0     7440      0.228      2.451      1.309     0.477
        9 1995     0     7200      0.263      2.400      1.328     0.490
       10 1995     0     7440      0.335      2.535      1.354     0.483
       11 1995     0     7200      0.320      2.572      1.365     0.477
       12 1995   728     6712      0.319      2.653      1.413     0.472
        1 1996  2940     4500      0.289      2.769      1.437     0.511
        2 1996     0     6960      0.149      2.646      1.359     0.497
        3 1996  2608     4832      0.355      2.505      1.391     0.507
        4 1996   251     6949      0.375      2.426      1.348     0.475
        5 1996     0     7440      0.394      2.437      1.376     0.466
        6 1996  2485     4715      0.297      2.536      1.326     0.483
        7 1996     0     7440      0.293      2.565      1.341     0.488
        8 1996     0     7440      0.199      2.664      1.356     0.501
        9 1996   184     7016      0.310      2.485      1.387     0.486
       10 1996     0     7440      0.415      2.588      1.368     0.474
       11 1996   798     6402      0.448      2.474      1.406     0.479
       12 1996   254     7186      0.413      2.612      1.476     0.453
        1 1997     0     7440      0.464      2.694      1.517     0.471
        2 1997     0     6720      0.338      2.774      1.487     0.501
        3 1997     0     7440      0.485      2.805      1.643     0.499
        4 1997     0     7200      0.394      2.694      1.549     0.501
        5 1997     0     7440      0.461      2.540      1.429     0.470
        6 1997     0     7200      0.435      2.445      1.396     0.457
        7 1997     0     7440      0.421      2.621      1.417     0.461
        8 1997     0     7440      0.322      2.682      1.395     0.474
        9 1997     0     7200      0.163      2.498      1.357     0.497
       10 1997     0     7440      0.223      2.463      1.335     0.493
       11 1997     0     7200      0.214      2.401      1.226     0.475
       12 1997     0     7440      0.216      2.345      1.231     0.472
        1 1998     0     7440      0.051      2.402      1.191     0.493
        2 1998   514     6206     -0.081      2.359      1.097     0.488
        3 1998     0     7440      0.013      2.315      1.131     0.513
        4 1998     0     7200      0.090      2.290      1.131     0.482
        5 1998     0     7440      0.168      2.371      1.174     0.462
        6 1998     0     7200      0.282      2.290      1.232     0.447
        7 1998   180     7260      0.294      2.247      1.220     0.442
        8 1998     0     7440      0.230      2.393      1.229     0.462
        9 1998   270     6930      0.139      2.440      1.259     0.502
       10 1998     0     7440      0.123      2.384      1.251     0.487
       11 1998     0     7200      0.216      2.492      1.304     0.483
       12 1998     0     7440      0.331      2.555      1.365     0.480
        1 1999     0     7440      0.278      2.465      1.297     0.476
        2 1999     0     6720      0.247      2.412      1.286     0.476
        3 1999     0     7440      0.218      2.446      1.315     0.504
        4 1999     0     7200      0.243      2.523      1.335     0.492
        5 1999     0     7440      0.332      2.577      1.348     0.472
        6 1999     0     7200      0.370      2.524      1.351     0.456
        7 1999     0     7440      0.332      2.486      1.346     0.462
        8 1999     0     7440      0.325      2.471      1.369     0.476
        9 1999     0     7200      0.309      2.408      1.350     0.488
       10 1999     0     7440      0.324      2.526      1.361     0.485
       11 1999     0     7200      0.399      2.704      1.390     0.474
       12 1999     0     7440      0.364      2.612      1.417     0.460
        1 2000     0     7440      0.421      2.614      1.438     0.443
        2 2000     0     6960      0.396      2.570      1.414     0.454
        3 2000     0     7440      0.377      2.391      1.367     0.461
        4 2000     0     7200      0.366      2.439      1.365     0.481
        5 2000     0     7440      0.365      2.535      1.388     0.470
        6 2000     0     7200      0.396      2.517      1.370     0.452
        7 2000     0     7440      0.346      2.552      1.375     0.465
        8 2000     0     7440      0.343      2.595      1.385     0.489
        9 2000     0     7200      0.326      2.404      1.380     0.489
       10 2000     0     7440      0.458      2.406      1.377     0.475
       11 2000     0     7200      0.404      2.684      1.394     0.466
       12 2000     0     7440      0.500      2.588      1.429     0.438
        1 2001     0     7440      0.361      2.600      1.395     0.449
        2 2001     0     6720      0.295      2.631      1.386     0.480
        3 2001   430     7010      0.353      2.591      1.438     0.484
        4 2001     0     7200      0.424      2.456      1.418     0.468
        5 2001     0     7440      0.500      2.509      1.446     0.452
        6 2001     0     7200      0.529      2.489      1.442     0.437
        7 2001     0     7440      0.563      2.667      1.494     0.430
        8 2001     0     7440      0.520      2.703      1.465     0.435
        9 2001     0     7200      0.363      2.640      1.439     0.483
       10 2001     0     7440      0.318      2.626      1.434     0.495
       11 2001     0     7200      0.508      2.600      1.461     0.474
       12 2001     0     7440      0.518      3.069      1.647     0.481
        1 2002  6720      720      0.550      2.707      1.545     0.493
        2 2002  5972      748      0.558      2.773      1.521     0.543
        3 2002   987     6453      0.358      2.806      1.511     0.493
        4 2002   690     6510      0.396      2.573      1.439     0.483
        5 2002     0     7440      0.470      2.509      1.409     0.449
        6 2002     0     7200      0.501      2.488      1.421     0.443
        7 2002     0     7440      0.531      2.554      1.510     0.439
        8 2002     0     7440      0.449      2.727      1.484     0.458
        9 2002     0     7200      0.331      2.605      1.421     0.475
       10 2002     0     7440      0.500      2.803      1.548     0.489
       11 2002     0     7200      0.377      2.681      1.453     0.485
       12 2002     0     7440      0.481      2.667      1.413     0.475
        1 2003     0     7440      0.290      2.445      1.328     0.483
        2 2003     0     6720      0.186      2.591      1.312     0.503
        3 2003  4320     3120      0.364      2.499      1.380     0.480
        4 2003  7200        0
        5 2003  4361     3079      0.598      2.362      1.406     0.401
        6 2003     0     7200      0.440      2.619      1.430     0.440
        7 2003     0     7440      0.471      2.485      1.424     0.441
        8 2003     0     7440      0.424      2.585      1.469     0.474
        9 2003     0     7200      0.393      2.593      1.435     0.493
       10 2003     0     7440      0.364      2.746      1.432     0.485
       11 2003     0     7200      0.472      2.794      1.498     0.469
       12 2003     0     7440      0.416      2.710      1.472     0.448
        1 2004     0     7440      0.440      2.765      1.522     0.460
        2 2004     0     6960      0.327      2.777      1.445     0.482
        3 2004  1920     5520      0.382      2.536      1.404     0.534
        4 2004  7200        0
        5 2004  7440        0
        6 2004  7200        0
        7 2004  4721     2719      0.413      2.613      1.476     0.447
        8 2004     0     7440      0.410      2.690      1.490     0.495
        9 2004     0     7200      0.436      2.494      1.457     0.495
