


      Monthly sea levels for FEDERATED STATES OF MICRONESIA
      -----------------------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       12 2001  3875     3565      0.033      1.417      0.597     0.283
        1 2002     0     7440      0.025      1.541      0.717     0.291
        2 2002     0     6720      0.066      1.540      0.736     0.272
        3 2002     0     7440      0.099      1.463      0.724     0.304
        4 2002     0     7200      0.161      1.466      0.744     0.282
        5 2002     0     7440      0.107      1.378      0.680     0.274
        6 2002     0     7200      0.146      1.389      0.680     0.262
        7 2002     0     7440      0.111      1.337      0.654     0.259
        8 2002     0     7440      0.060      1.413      0.642     0.278
        9 2002     0     7200     -0.050      1.393      0.591     0.298
       10 2002     0     7440     -0.031      1.301      0.553     0.281
       11 2002     0     7200      0.029      1.320      0.605     0.275
       12 2002     0     7440      0.013      1.446      0.568     0.285
        1 2003     0     7440      0.044      1.364      0.626     0.288
        2 2003     0     6720      0.107      1.511      0.718     0.300
        3 2003     0     7440      0.203      1.502      0.809     0.296
        4 2003     0     7200      0.247      1.494      0.821     0.281
        5 2003     0     7440      0.259      1.536      0.783     0.269
        6 2003     0     7200      0.158      1.449      0.719     0.267
        7 2003     0     7440      0.141      1.448      0.712     0.276
        8 2003     0     7440      0.131      1.398      0.710     0.272
        9 2003     0     7200      0.127      1.372      0.705     0.285
       10 2003     0     7440      0.088      1.475      0.661     0.287
       11 2003     0     7200      0.041      1.473      0.643     0.298
       12 2003     0     7440      0.022      1.483      0.634     0.292
        1 2004     0     7440      0.056      1.399      0.634     0.290
        2 2004     0     6960      0.149      1.543      0.769     0.299
        3 2004     0     7440      0.211      1.462      0.803     0.284
        4 2004     0     7200      0.178      1.435      0.756     0.292
        5 2004     0     7440      0.249      1.602      0.775     0.279
        6 2004     0     7200      0.207      1.531      0.750     0.280
        7 2004     0     7440      0.134      1.465      0.712     0.261
        8 2004     0     7440      0.100      1.460      0.699     0.286
        9 2004     0     7200      0.107      1.337      0.704     0.287
       10 2004     0     7440      0.155      1.520      0.726     0.302
       11 2004     0     7200      0.128      1.638      0.734     0.300
       12 2004     0     7440      0.064      1.470      0.673     0.284
        1 2005     0     7440      0.072      1.560      0.710     0.300
        2 2005   150     6570      0.027      1.518      0.699     0.312
        3 2005     0     7440      0.088      1.420      0.716     0.301
        4 2005   353     6847      0.236      1.471      0.779     0.286
        5 2005     0     7440      0.237      1.503      0.771     0.270
        6 2005     0     7200      0.164      1.579      0.785     0.273
        7 2005     0     7440      0.155      1.575      0.755     0.279
        8 2005     0     7440      0.089      1.446      0.695     0.278
        9 2005     0     7200      0.118      1.408      0.704     0.290
       10 2005     0     7440      0.163      1.500      0.741     0.298
       11 2005     0     7200      0.224      1.553      0.734     0.283
       12 2005     0     7440      0.133      1.548      0.714     0.283
        1 2006     0     7440      0.101      1.604      0.780     0.300
        2 2006     0     6720      0.220      1.661      0.820     0.290
        3 2006     0     7440      0.225      1.650      0.831     0.307
        4 2006     0     7200      0.233      1.541      0.838     0.291
        5 2006     0     7440      0.213      1.509      0.761     0.278
        6 2006     0     7200      0.170      1.406      0.709     0.266
        7 2006     0     7440      0.093      1.395      0.664     0.265
        8 2006   270     7170      0.035      1.441      0.644     0.280
        9 2006     0     7200      0.060      1.366      0.674     0.291
       10 2006     0     7440      0.105      1.407      0.660     0.288
       11 2006     0     7200      0.113      1.444      0.677     0.294
       12 2006     0     7440      0.079      1.506      0.662     0.294
        1 2007     0     7440      0.108      1.486      0.705     0.296
        2 2007     0     6720      0.122      1.499      0.737     0.291
        3 2007     0     7440      0.215      1.575      0.843     0.297
        4 2007     0     7200      0.245      1.600      0.831     0.286
        5 2007     0     7440      0.339      1.630      0.885     0.276
        6 2007     0     7200      0.272      1.659      0.824     0.287
        7 2007     0     7440      0.198      1.537      0.809     0.287
        8 2007     0     7440      0.175      1.516      0.799     0.297
        9 2007     0     7200      0.216      1.566      0.795     0.292
       10 2007     0     7440      0.312      1.765      0.853     0.304
       11 2007     0     7200      0.311      1.730      0.922     0.294
       12 2007     0     7440      0.231      1.683      0.851     0.279
        1 2008     0     7440      0.231      1.574      0.842     0.289
        2 2008     0     6960      0.237      1.530      0.824     0.291
        3 2008     0     7440      0.268      1.470      0.826     0.286
        4 2008     0     7200      0.200      1.615      0.807     0.289
        5 2008     0     7440      0.201      1.688      0.827     0.286
        6 2008     0     7200      0.278      1.592      0.796     0.272
        7 2008     0     7440      0.187      1.525      0.786     0.269
        8 2008     0     7440      0.185      1.515      0.767     0.286
        9 2008     0     7200      0.194      1.374      0.752     0.287
       10 2008     0     7440      0.188      1.490      0.750     0.294
       11 2008     0     7200      0.211      1.571      0.790     0.283
       12 2008     0     7440      0.224      1.682      0.844     0.292
        1 2009     0     7440      0.240      1.651      0.830     0.296
        2 2009     0     6720      0.242      1.606      0.835     0.298
        3 2009     0     7440      0.270      1.524      0.830     0.291
        4 2009     0     7200      0.268      1.615      0.835     0.276
        5 2009     0     7440      0.179      1.522      0.780     0.275
        6 2009     0     7200      0.190      1.584      0.762     0.275
        7 2009     0     7440      0.184      1.537      0.772     0.275
        8 2009     0     7440      0.132      1.480      0.735     0.276
        9 2009     0     7200      0.169      1.388      0.742     0.283
       10 2009     0     7440      0.150      1.354      0.686     0.267
       11 2009     0     7200      0.080      1.460      0.700     0.297
       12 2009     0     7440      0.068      1.489      0.636     0.305
        1 2010     0     7440     -0.036      1.606      0.695     0.312
        2 2010     0     6720     -0.035      1.526      0.668     0.306
        3 2010   422     7018      0.182      1.523      0.790     0.304
        4 2010     0     7200      0.332      1.588      0.874     0.280
        5 2010     0     7440      0.305      1.586      0.859     0.275
        6 2010     0     7200      0.245      1.557      0.819     0.267
        7 2010   241     7199      0.180      1.486      0.777     0.270
        8 2010     0     7440      0.133      1.480      0.764     0.277
        9 2010   112     7088      0.288      1.563      0.886     0.292
       10 2010     0     7440      0.361      1.651      0.927     0.281
       11 2010     0     7200      0.290      1.679      0.863     0.280
       12 2010     0     7440      0.300      1.642      0.864     0.280
        1 2011     0     7440      0.272      1.723      0.878     0.288
        2 2011     0     6720      0.180      1.576      0.838     0.299
        3 2011     0     7440      0.266      1.598      0.859     0.285
        4 2011     0     7200      0.228      1.650      0.838     0.287
        5 2011     0     7440      0.283      1.599      0.851     0.278
        6 2011     0     7200      0.247      1.562      0.839     0.286
        7 2011     0     7440      0.223      1.592      0.835     0.290
        8 2011     0     7440      0.224      1.504      0.815     0.290
        9 2011     0     7200      0.269      1.518      0.821     0.289
       10 2011     0     7440      0.335      1.684      0.875     0.286
       11 2011     0     7200      0.293      1.678      0.861     0.282
       12 2011   240     7200      0.268      1.657      0.857     0.278
        1 2012     0     7440      0.264      1.626      0.861     0.292
        2 2012  3090     3870      0.264      1.533      0.867     0.281
        3 2012  4303     3137      0.377      1.508      0.919     0.279
        4 2012     0     7200      0.299      1.680      0.897     0.277
