


      Monthly water temperatures for FEDERATED STATES OF MICRONESIA
      -------------------------------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       12 2001   386      358     28.300     31.600     28.904     0.303
        1 2002     0      744     27.600     29.400     28.683     0.327
        2 2002     0      672     28.100     29.300     28.687     0.186
        3 2002     0      744     28.500     29.700     28.908     0.195
        4 2002     0      720     28.700     30.400     29.111     0.211
        5 2002     0      744     29.000     30.500     29.532     0.284
        6 2002     0      720     28.900     31.000     29.715     0.291
        7 2002     0      744     28.400     30.500     29.272     0.332
        8 2002     0      744     28.600     30.600     29.497     0.379
        9 2002     0      720     27.900     30.700     29.220     0.514
       10 2002     0      744     28.800     30.500     29.529     0.349
       11 2002     0      720     28.900     30.800     29.658     0.305
       12 2002     0      744     28.000     30.100     28.735     0.301
        1 2003     0      744     27.300     29.100     28.341     0.291
        2 2003     1      671     27.900     29.300     28.418     0.287
        3 2003     2      742     28.700     29.600     29.037     0.148
        4 2003     0      720     27.300     30.200     28.956     0.405
        5 2003     0      744     28.800     30.300     29.293     0.263
        6 2003     1      719     29.000     30.300     29.438     0.231
        7 2003     0      744     29.300     30.700     29.784     0.217
        8 2003     1      743     29.600     30.900     30.034     0.254
        9 2003     0      720     29.400     30.800     30.106     0.213
       10 2003     0      744     29.000     31.300     30.266     0.283
       11 2003     0      720     29.700     31.000     30.084     0.223
       12 2003     0      744     29.200     30.600     29.692     0.334
        1 2004     0      744     28.500     29.800     29.083     0.241
        2 2004     0      696     28.100     29.800     28.871     0.333
        3 2004     0      744     28.500     29.800     29.076     0.186
        4 2004     0      720     28.900     30.200     29.328     0.226
        5 2004     0      744     29.000     30.400     29.581     0.231
        6 2004     0      720     28.200     30.600     29.605     0.378
        7 2004     0      744     29.500     30.800     29.945     0.199
        8 2004     0      744     28.700     31.000     29.735     0.408
        9 2004     0      720     29.400     31.800     30.055     0.265
       10 2004     0      744     29.500     31.100     30.017     0.291
       11 2004     0      720     29.600     31.700     30.254     0.246
       12 2004     0      744     28.900     30.300     29.574     0.231
        1 2005     0      744     28.200     29.600     28.748     0.237
        2 2005    15      657     28.000     29.100     28.651     0.155
        3 2005     0      744     27.800     29.500     28.574     0.244
        4 2005     0      720     27.900     29.900     28.992     0.245
        5 2005     4      740     28.500     30.300     29.176     0.251
        6 2005     1      719     28.900     29.900     29.463     0.158
        7 2005     0      744     29.400     30.800     29.890     0.239
        8 2005     0      744     29.800     30.900     30.182     0.189
        9 2005     1      719     29.400     31.100     29.921     0.208
       10 2005     0      744     29.800     31.200     30.265     0.207
       11 2005     0      720     29.700     31.200     30.201     0.225
       12 2005     0      744     28.800     30.300     29.456     0.291
        1 2006     0      744     28.000     29.300     28.834     0.200
        2 2006     0      672     28.200     29.100     28.595     0.144
        3 2006     1      743     28.400     29.300     28.752     0.155
        4 2006    18      702     28.500     29.800     29.017     0.206
        5 2006     8      736     28.700     30.300     29.396     0.270
        6 2006     3      717     29.300     30.600     29.706     0.208
        7 2006     1      743     28.900     30.400     29.494     0.183
        8 2006    31      713     29.500     31.500     30.090     0.254
        9 2006     9      711     28.700     31.700     30.296     0.251
       10 2006     4      740     28.900     31.000     29.746     0.355
       11 2006     7      713     28.700     30.800     29.749     0.307
       12 2006     0      744     28.200     29.800     29.125     0.191
        1 2007     0      744     27.900     29.000     28.508     0.167
        2 2007     0      672     27.900     29.400     28.577     0.260
        3 2007     0      744     28.300     30.200     29.171     0.385
        4 2007     0      720     28.700     29.900     29.266     0.197
        5 2007     0      744     29.000     30.700     29.591     0.198
        6 2007     0      720     29.200     30.300     29.601     0.190
        7 2007     0      744     29.300     30.300     29.726     0.201
        8 2007     0      744     29.500     30.600     29.846     0.183
        9 2007     0      720     29.700     30.500     29.990     0.140
       10 2007     2      742     29.700     30.900     30.128     0.182
       11 2007     0      720     29.000     30.500     29.519     0.244
       12 2007     1      743     28.200     29.700     29.104     0.265
        1 2008     0      744     27.900     29.400     28.778     0.170
        2 2008     0      696     27.800     29.500     28.512     0.191
        3 2008     2      742     28.300     29.400     28.875     0.170
        4 2008     1      719     28.600     29.600     29.042     0.167
        5 2008     4      740     28.300     29.600     28.944     0.164
        6 2008     0      720     28.400     29.700     29.003     0.162
        7 2008     0      744     28.900     29.600     29.181     0.135
        8 2008     0      744     28.800     30.400     29.443     0.335
        9 2008     0      720     29.200     30.300     29.565     0.179
       10 2008     1      743     29.100     30.300     29.679     0.220
       11 2008     0      720     28.800     29.700     29.309     0.161
       12 2008     2      742     28.600     29.800     29.255     0.177
        1 2009     0      744     28.000     29.600     28.908     0.326
        2 2009     0      672     28.100     29.200     28.675     0.191
        3 2009     0      744     28.200     30.100     28.688     0.311
        4 2009     0      720     28.500     29.800     29.110     0.167
        5 2009     0      744     29.000     30.000     29.357     0.172
