


      Monthly air temperatures for COOK ISLANDS
      -----------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        2 1993   456      216     21.100     28.400     25.541     1.794
        3 1993     0      744     20.200     29.700     25.858     1.618
        4 1993     0      720     19.500     28.700     25.120     1.715
        5 1993     0      744     18.000     27.300     23.223     1.648
        6 1993     0      720     16.700     26.400     22.433     1.504
        7 1993     0      744     14.100     26.000     21.133     2.025
        8 1993     0      744     18.100     26.000     22.290     1.636
        9 1993     0      720     17.300     26.800     22.529     1.838
       10 1993     0      744     17.100     26.100     22.557     1.710
       11 1993     0      720     19.200     28.500     24.597     1.363
       12 1993     0      744     21.500     29.000     25.657     1.511
        1 1994     0      744     21.600     29.100     25.653     1.506
        2 1994     0      672     22.800     30.400     27.062     1.579
        3 1994     1      743     23.500     30.300     26.858     1.495
        4 1994     0      720     21.300     29.300     25.415     1.392
        5 1994     0      744     18.100     27.900     23.866     1.882
        6 1994     9      711     17.500     26.400     22.611     1.839
        7 1994    13      731     17.900     26.300     22.365     1.867
        8 1994     3      741     16.300     25.800     21.287     1.563
        9 1994    64      656     14.700     25.700     20.885     2.062
       10 1994    38      706     16.100     25.900     22.249     1.929
       11 1994    14      706     17.800     26.600     23.263     1.369
       12 1994    61      683     21.200     28.700     24.670     1.509
        1 1995     7      737     21.600     28.900     25.346     1.525
        2 1995     5      667     23.500     30.100     26.667     1.090
        3 1995    19      725     22.200     30.100     26.303     1.501
        4 1995    70      650     19.200     29.200     24.621     1.499
        5 1995     7      737     20.900     28.400     24.928     1.518
        6 1995    19      701     17.200     30.900     24.480     2.471
        7 1995     2      742     17.400     26.200     22.626     1.800
        8 1995    13      731     17.900     26.800     22.687     1.531
        9 1995    11      709     16.200     26.100     21.895     1.410
       10 1995     9      735     16.400     26.200     22.180     1.828
       11 1995    10      710     18.200     27.200     23.452     1.519
       12 1995    10      734     17.800     26.300     22.897     1.771
        1 1996    22      722     19.100     32.000     24.578     1.804
        2 1996     2      694     20.900     29.500     25.585     1.757
        3 1996     0      744     20.100     29.500     25.434     1.926
        4 1996     0      720     18.500     26.500     22.891     1.339
        5 1996   744        0
        6 1996   720        0
        7 1996   744        0
        8 1996   744        0
        9 1996   720        0
       10 1996   576      168     18.700     26.400     22.909     1.911
       11 1996     1      719     18.700     28.400     24.200     1.925
       12 1996     0      744     20.800     28.200     25.426     1.240
        1 1997     0      744     20.300     28.400     25.530     1.407
        2 1997     2      670     22.800     29.400     26.759     1.255
        3 1997    15      729     21.200     29.700     25.791     1.854
        4 1997     1      719     18.900     29.600     25.063     2.154
        5 1997     3      741     17.500     27.100     22.843     2.037
        6 1997     0      720     15.800     25.100     21.406     1.789
        7 1997    12      732     14.900     25.300     21.517     2.027
        8 1997     0      744     14.600     25.700     20.755     2.095
        9 1997     3      717     15.500     27.100     21.172     2.065
       10 1997     0      744     17.000     26.100     22.458     1.610
       11 1997     0      720     19.100     27.700     23.690     1.303
       12 1997     0      744     21.700     27.000     24.376     0.925
        1 1998     0      744     22.000     29.400     25.266     1.220
        2 1998     0      672     22.000     27.400     24.810     0.914
        3 1998     0      744     21.500     27.600     24.847     0.937
        4 1998     1      719     20.800     27.100     24.493     0.968
        5 1998     0      744     17.200     27.000     22.969     1.872
        6 1998     3      717     18.700     26.800     22.405     1.122
        7 1998     0      744     16.700     25.200     21.345     1.750
