


      Monthly sea levels for COOK ISLANDS
      -----------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        2 1993  4560     2160      0.300      0.993      0.642     0.203
        3 1993     0     7440      0.102      1.080      0.546     0.224
        4 1993     0     7200      0.011      0.974      0.508     0.211
        5 1993     0     7440      0.161      1.075      0.575     0.207
        6 1993     0     7200      0.068      0.885      0.470     0.207
        7 1993     0     7440      0.051      0.917      0.476     0.208
        8 1993     0     7440      0.013      0.964      0.506     0.214
        9 1993     0     7200     -0.071      0.918      0.420     0.211
       10 1993     0     7440      0.072      1.021      0.538     0.212
       11 1993     0     7200      0.165      1.079      0.596     0.205
       12 1993     0     7440      0.239      1.080      0.681     0.205
        1 1994     0     7440      0.267      1.152      0.701     0.215
        2 1994     0     6720      0.230      1.101      0.640     0.206
        3 1994     0     7440      0.074      1.091      0.595     0.222
        4 1994     0     7200      0.104      1.081      0.589     0.214
        5 1994     0     7440      0.079      1.029      0.584     0.212
        6 1994     0     7200      0.053      0.898      0.509     0.212
        7 1994     0     7440      0.189      0.986      0.551     0.212
        8 1994     0     7440      0.126      0.937      0.537     0.205
        9 1994     0     7200      0.114      1.008      0.515     0.212
       10 1994     0     7440      0.014      0.979      0.485     0.206
       11 1994     0     7200     -0.105      0.868      0.425     0.218
       12 1994   480     6960      0.089      1.029      0.563     0.214
        1 1995     0     7440      0.094      1.176      0.538     0.211
        2 1995     0     6720      0.010      0.952      0.459     0.212
        3 1995    90     7350      0.024      0.928      0.468     0.210
        4 1995   480     6720      0.033      0.963      0.490     0.219
        5 1995     0     7440      0.156      1.046      0.575     0.203
        6 1995    61     7139      0.092      1.012      0.552     0.206
        7 1995  1440     6000      0.103      0.944      0.525     0.206
        8 1995     0     7440      0.113      0.912      0.519     0.210
        9 1995     0     7200      0.037      0.936      0.508     0.215
       10 1995     0     7440      0.037      0.923      0.460     0.212
       11 1995     0     7200      0.011      0.964      0.482     0.217
       12 1995     0     7440      0.183      1.101      0.635     0.218
        1 1996   228     7212      0.219      1.122      0.660     0.212
        2 1996   719     6241      0.129      1.082      0.642     0.220
        3 1996     0     7440      0.098      0.965      0.545     0.205
        4 1996   360     6840      0.084      0.935      0.529     0.206
        5 1996     0     7440      0.178      1.012      0.583     0.197
        6 1996     0     7200      0.200      1.055      0.564     0.209
        7 1996     0     7440      0.089      0.944      0.537     0.212
        8 1996     0     7440      0.046      1.070      0.556     0.221
        9 1996     0     7200      0.153      1.083      0.636     0.219
       10 1996   251     7189      0.143      1.079      0.574     0.216
       11 1996     0     7200      0.118      0.963      0.544     0.211
       12 1996     0     7440      0.123      1.023      0.614     0.212
        1 1997     0     7440      0.250      1.127      0.638     0.211
        2 1997     0     6720      0.160      1.073      0.656     0.209
        3 1997     0     7440      0.246      1.202      0.691     0.214
        4 1997     0     7200      0.209      1.109      0.642     0.211
        5 1997     0     7440      0.122      0.983      0.575     0.208
        6 1997     0     7200      0.184      1.033      0.598     0.216
        7 1997     0     7440      0.153      1.046      0.591     0.211
        8 1997     0     7440      0.149      1.143      0.616     0.213
        9 1997     0     7200      0.117      1.140      0.592     0.221
       10 1997     0     7440      0.036      1.030      0.492     0.212
       11 1997     0     7200      0.146      1.061      0.573     0.209
       12 1997     0     7440     -0.004      1.623      0.516     0.240
        1 1998     0     7440      0.154      1.006      0.563     0.218
        2 1998     0     6720      0.118      1.002      0.521     0.203
        3 1998     0     7440      0.004      0.999      0.481     0.221
        4 1998     0     7200     -0.022      1.026      0.459     0.217
        5 1998     0     7440      0.029      0.956      0.497     0.216
        6 1998  2663     4537      0.057      0.945      0.479     0.235
        7 1998     0     7440      0.059      0.892      0.488     0.213
        8 1998     0     7440     -0.016      0.853      0.474     0.208
        9 1998     0     7200     -0.034      0.921      0.454     0.211
       10 1998  1971     5469     -0.021      1.013      0.469     0.223
       11 1998  2871     4329      0.153      0.879      0.530     0.186
       12 1998     0     7440      0.034      1.005      0.487     0.221
        1 1999     0     7440      0.093      1.023      0.594     0.218
        2 1999     0     6720      0.265      1.140      0.677     0.213
        3 1999     0     7440      0.139      1.086      0.634     0.214
        4 1999     0     7200      0.064      1.028      0.544     0.211
        5 1999     0     7440      0.097      1.106      0.580     0.211
        6 1999     0     7200      0.112      1.075      0.622     0.209
        7 1999     0     7440      0.222      1.166      0.661     0.218
        8 1999     0     7440      0.299      1.125      0.689     0.212
        9 1999     0     7200      0.201      1.140      0.644     0.217
       10 1999     0     7440      0.122      1.132      0.622     0.218
       11 1999     0     7200      0.058      1.041      0.552     0.210
       12 1999     0     7440      0.223      1.188      0.654     0.204
        1 2000     0     7440      0.167      1.071      0.634     0.202
        2 2000     0     6960      0.156      1.019      0.576     0.208
        3 2000     0     7440      0.117      1.078      0.603     0.210
        4 2000     0     7200      0.225      1.135      0.664     0.211
        5 2000     0     7440      0.195      1.076      0.608     0.200
        6 2000     0     7200      0.110      1.023      0.541     0.206
        7 2000     0     7440      0.065      1.044      0.526     0.214
        8 2000     0     7440      0.059      0.948      0.508     0.218
        9 2000     0     7200      0.101      0.988      0.552     0.214
       10 2000     0     7440      0.069      0.935      0.529     0.209
       11 2000     0     7200     -0.027      0.884      0.429     0.198
       12 2000     0     7440      0.120      1.074      0.537     0.212
        1 2001     0     7440      0.132      1.076      0.612     0.206
        2 2001     0     6720      0.173      1.089      0.633     0.210
