


      Monthly sea levels for KIRIBATI
      -------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       12 1992  3360     4080      0.681      2.734      1.679     0.477
        1 1993  7440        0
        2 1993  6720        0
        3 1993  6480      960      0.856      2.424      1.649     0.392
        4 1993     0     7200      0.515      2.849      1.627     0.501
        5 1993  4800     2640      0.524      2.717      1.607     0.568
        6 1993  7200        0
        7 1993   240     7200      0.594      2.687      1.628     0.472
        8 1993     0     7440      0.589      2.876      1.670     0.501
        9 1993     0     7200      0.477      2.805      1.644     0.516
       10 1993     0     7440      0.517      2.891      1.675     0.508
       11 1993     0     7200      0.575      2.923      1.648     0.495
       12 1993     0     7440      0.615      2.760      1.666     0.482
        1 1994  3120     4320      0.702      2.788      1.688     0.498
        2 1994  6720        0
        3 1994  7440        0
        4 1994  6366      834      0.650      2.744      1.669     0.551
        5 1994     0     7440      0.587      2.816      1.612     0.476
        6 1994   260     6940      0.603      2.726      1.600     0.468
        7 1994     0     7440      0.726      2.803      1.676     0.474
        8 1994     0     7440      0.673      2.735      1.698     0.478
        9 1994     0     7200      0.645      2.846      1.739     0.508
       10 1994     0     7440      0.570      2.916      1.698     0.517
       11 1994     0     7200      0.587      2.927      1.715     0.501
       12 1994   480     6960      0.586      2.959      1.735     0.500
        1 1995     0     7440      0.618      2.871      1.675     0.528
        2 1995     0     6720      0.538      2.812      1.608     0.507
        3 1995   720     6720      0.439      2.731      1.564     0.510
        4 1995     0     7200      0.480      2.713      1.586     0.505
        5 1995     0     7440      0.521      2.752      1.590     0.481
        6 1995     0     7200      0.508      2.767      1.565     0.468
        7 1995     0     7440      0.514      2.787      1.582     0.487
        8 1995     0     7440      0.470      2.691      1.576     0.500
        9 1995     0     7200      0.489      2.664      1.584     0.516
       10 1995     0     7440      0.532      2.785      1.623     0.521
       11 1995     0     7200      0.530      2.827      1.616     0.509
       12 1995   240     7200      0.550      2.889      1.656     0.479
        1 1996     0     7440      0.538      2.947      1.659     0.494
        2 1996     0     6960      0.429      2.861      1.614     0.522
        3 1996     0     7440      0.493      2.739      1.616     0.516
        4 1996     0     7200      0.536      2.652      1.596     0.508
        5 1996     0     7440      0.630      2.691      1.621     0.496
        6 1996     0     7200      0.525      2.785      1.590     0.485
        7 1996     0     7440      0.446      2.812      1.599     0.507
        8 1996     0     7440      0.420      2.820      1.616     0.519
        9 1996     0     7200      0.569      2.826      1.642     0.516
       10 1996     0     7440      0.573      2.711      1.622     0.507
       11 1996     0     7200      0.641      2.729      1.662     0.491
       12 1996   328     7112      0.716      2.856      1.714     0.467
        1 1997     0     7440      0.694      2.968      1.759     0.496
        2 1997     0     6720      0.586      2.961      1.712     0.527
        3 1997     0     7440      0.580      2.986      1.821     0.519
        4 1997     0     7200      0.593      2.891      1.744     0.518
        5 1997     0     7440      0.687      2.818      1.675     0.497
        6 1997     0     7200      0.615      2.746      1.662     0.488
        7 1997     0     7440      0.628      2.814      1.665     0.483
        8 1997     0     7440      0.534      2.906      1.685     0.508
        9 1997     0     7200      0.463      2.847      1.651     0.522
       10 1997     0     7440      0.485      2.869      1.641     0.521
       11 1997     0     7200      0.491      2.671      1.537     0.503
       12 1997     0     7440      0.450      2.573      1.503     0.500
        1 1998     0     7440      0.302      2.604      1.435     0.517
        2 1998     0     6720      0.167      2.648      1.370     0.518
        3 1998     0     7440      0.193      2.596      1.407     0.540
        4 1998     0     7200      0.236      2.587      1.400     0.518
        5 1998     0     7440      0.418      2.589      1.440     0.474
        6 1998     0     7200      0.563      2.522      1.480     0.463
        7 1998     0     7440      0.552      2.547      1.479     0.469
        8 1998     0     7440      0.457      2.603      1.496     0.475
        9 1998   260     6940      0.365      2.732      1.520     0.519
       10 1998     0     7440      0.285      2.663      1.491     0.513
       11 1998     0     7200      0.326      2.756      1.552     0.509
       12 1998     0     7440      0.542      2.834      1.605     0.509
        1 1999     0     7440      0.511      2.683      1.541     0.500
        2 1999     0     6720      0.417      2.710      1.535     0.508
        3 1999     0     7440      0.459      2.732      1.578     0.528
        4 1999     0     7200      0.430      2.757      1.575     0.508
        5 1999     0     7440      0.551      2.824      1.598     0.494
        6 1999   745     6455      0.561      2.772      1.586     0.497
        7 1999     0     7440      0.480      2.656      1.587     0.476
        8 1999     0     7440      0.586      2.740      1.621     0.498
        9 1999     0     7200      0.513      2.760      1.602     0.524
       10 1999     0     7440      0.471      2.681      1.591     0.503
       11 1999   286     6914      0.515      2.896      1.628     0.513
       12 1999     0     7440      0.569      2.814      1.643     0.477
        1 2000     0     7440      0.527      2.850      1.654     0.479
        2 2000     0     6960      0.505      2.852      1.601     0.506
        3 2000     0     7440      0.542      2.698      1.612     0.509
        4 2000     0     7200      0.604      2.706      1.608     0.506
        5 2000     0     7440      0.588      2.741      1.625     0.495
        6 2000     0     7200      0.576      2.775      1.614     0.472
        7 2000     0     7440      0.542      2.834      1.631     0.498
        8 2000     0     7440      0.565      2.867      1.643     0.512
