


      Monthly air temperatures for TONGA
      ----------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 1993   480      264     22.500     27.300     24.931     0.991
        2 1993     0      672     23.100     29.200     26.154     1.233
        3 1993     0      744     22.400     29.700     26.234     1.306
        4 1993     0      720     20.600     28.600     24.716     1.499
        5 1993     0      744     19.000     26.900     23.194     1.634
        6 1993     0      720     18.400     25.800     22.514     1.407
        7 1993     0      744     17.300     24.200     20.684     1.269
        8 1993     0      744     17.100     23.800     20.670     1.410
        9 1993     0      720     16.600     23.800     20.721     1.494
       10 1993     1      743     17.600     24.800     21.575     1.642
       11 1993    96      624     20.300     28.100     24.574     1.614
       12 1993     2      742     21.600     29.900     25.909     1.478
        1 1994     0      744     21.900     29.400     25.917     1.327
        2 1994     0      672     24.000     30.300     27.153     1.212
        3 1994     0      744     22.300     30.200     26.305     1.591
        4 1994     0      720     19.600     29.800     25.059     1.737
        5 1994     0      744     18.400     28.900     22.856     1.977
        6 1994     0      720     17.500     26.000     21.450     1.473
        7 1994     3      741     17.200     26.000     21.759     1.712
        8 1994     1      743     16.100     26.100     21.572     1.785
        9 1994     0      720     16.000     26.200     20.831     1.831
       10 1994     0      744     17.500     26.400     22.231     1.587
       11 1994     1      719     19.900     27.800     24.214     1.462
       12 1994     5      739     22.100     28.600     25.543     1.423
        1 1995     0      744     21.400     30.100     25.235     1.389
        2 1995     2      670     23.300     30.300     27.016     1.458
        3 1995     3      741     23.000     30.100     27.021     1.197
        4 1995     6      714     21.000     29.700     25.700     1.535
        5 1995     2      742     19.600     26.500     23.370     1.326
        6 1995     6      714     18.500     26.600     22.750     1.538
        7 1995     4      740     18.500     25.400     22.255     1.655
        8 1995     7      737     17.200     25.900     21.433     1.798
        9 1995     7      713     18.500     24.900     22.041     1.327
       10 1995     5      739     19.100     26.600     23.277     1.487
       11 1995    13      707     21.300     28.000     24.598     1.215
       12 1995    12      732     21.800     30.500     25.886     1.769
        1 1996    12      732     22.600     29.000     25.954     1.136
        2 1996     0      696     23.000     29.600     26.567     1.355
        3 1996     0      744     23.400     29.700     26.822     1.077
        4 1996     2      718     20.000     30.300     25.975     1.611
        5 1996     0      744     18.300     26.900     23.685     1.477
        6 1996     0      720     17.900     25.900     22.738     1.633
        7 1996     0      744     16.900     26.900     22.635     1.885
        8 1996     0      744     18.000     26.200     21.883     1.786
        9 1996     0      720     19.100     25.700     22.946     1.473
       10 1996     0      744     19.700     26.600     22.794     1.272
       11 1996     3      717     19.900     27.800     24.385     1.735
       12 1996     2      742     22.900     29.300     26.391     1.225
        1 1997    23      721     22.500     29.800     26.695     1.275
        2 1997     1      671     23.000     30.100     27.145     1.187
        3 1997    30      714     23.400     29.200     26.816     1.217
        4 1997     3      717     20.400     28.500     24.685     1.574
        5 1997    11      733     19.200     27.200     23.222     1.451
        6 1997     6      714     18.400     24.900     21.939     1.419
        7 1997    14      730     16.500     25.000     21.117     1.642
        8 1997     4      740     16.000     24.200     20.520     1.468
        9 1997     2      718     16.800     24.500     20.724     1.521
       10 1997    11      733     18.300     26.500     22.476     1.511
       11 1997     0      720     20.300     27.400     23.974     1.349
       12 1997     1      743     21.600     27.900     25.377     0.951
        1 1998     1      743     22.600     28.400     25.904     0.997
        2 1998     4      668     22.900     28.400     25.749     0.933
        3 1998     3      741     21.600     28.500     25.637     1.108
        4 1998     1      719     21.900     27.600     25.406     1.069
        5 1998     1      743     19.300     26.700     23.836     1.317
        6 1998    19      701     18.800     25.600     23.378     1.223
        7 1998     1      743     18.100     24.500     21.658     1.413
        8 1998     0      744     18.300     25.300     22.293     1.427
        9 1998     0      720     18.500     24.600     22.088     1.163
       10 1998     1      743     18.300     26.100     23.264     1.418
       11 1998     1      719     21.500     28.400     25.676     1.200
       12 1998     0      744     23.800     29.700     26.590     1.248
        1 1999     0      744     23.100     29.600     26.270     1.182
        2 1999     1      671     22.500     29.600     26.052     1.502
        3 1999     0      744     22.800     29.600     26.430     1.135
        4 1999     0      720     21.900     28.700     26.136     1.252
        5 1999     0      744     19.900     27.800     23.389     1.481
        6 1999     0      720     17.700     26.700     22.535     1.769
        7 1999     2      742     17.900     26.500     22.538     1.609
        8 1999     0      744     17.800     24.700     21.517     1.401
        9 1999     0      720     18.700     25.700     22.176     1.262
       10 1999     0      744     18.600     26.900     23.100     1.402
       11 1999     0      720     20.400     27.600     24.742     1.315
       12 1999     0      744     22.100     29.200     25.629     1.433
        1 2000     1      743     23.500     29.600     26.838     1.203
        2 2000     0      696     23.300     30.300     27.396     1.388
        3 2000     0      744     22.500     30.300     27.520     1.242
        4 2000     1      719     21.500     30.700     26.376     1.374
        5 2000     0      744     21.000     27.700     24.793     1.542
        6 2000     0      720     19.300     25.800     23.216     1.326
        7 2000     0      744     17.800     24.500     21.799     1.433
        8 2000     0      744     17.500     24.800     21.726     1.461
        9 2000     0      720     17.500     25.900     21.914     1.556
       10 2000     0      744     19.000     25.500     22.755     1.254
       11 2000     0      720     19.100     28.400     24.716     1.558
       12 2000     0      744     22.000     28.200     25.506     1.227
        1 2001   419      325     23.300     29.700     27.081     1.035
        2 2001     0      672     23.900     30.100     27.261     1.318
        3 2001     0      744     22.700     29.400     25.979     1.229
        4 2001     0      720     21.800     29.100     25.735     1.280
        5 2001     0      744     19.800     26.700     24.356     1.483
        6 2001     0      720     17.800     26.200     22.564     1.417
        7 2001     0      744     17.600     26.300     21.542     1.717
        8 2001     1      743     17.600     25.500     21.989     1.692
        9 2001    14      706     18.300     25.500     22.422     1.385
       10 2001     0      744     19.100     25.800     22.999     1.292
       11 2001     1      719     20.200     27.500     24.698     1.167
       12 2001     1      743     22.800     29.000     25.567     1.242
        1 2002     0      744     23.300     29.300     26.740     1.244
        2 2002     1      671     23.300     31.400     27.499     1.523
        3 2002     0      744     23.700     30.300     27.439     1.200
        4 2002     0      720     22.700     30.000     26.409     1.450
        5 2002     0      744     19.800     27.300     24.612     1.382
        6 2002     0      720     19.700     27.500     23.542     1.412
        7 2002     0      744     18.400     25.800     22.024     1.529
        8 2002     0      744     17.800     24.600     21.252     1.612
        9 2002     0      720     17.800     26.300     22.047     1.734
       10 2002     0      744     17.200     26.700     22.625     1.814
       11 2002     0      720     20.000     27.300     23.300     1.210
       12 2002   148      596     22.100     27.500     25.000     1.022
        1 2003     3      741     22.900     30.000     26.690     1.302
        2 2003     0      672     22.000     29.400     26.338     1.342
        3 2003     0      744     22.800     29.100     26.434     1.106
        4 2003     0      720     21.700     28.900     25.679     1.354
        5 2003     0      744     19.800     27.900     24.817     1.456
        6 2003     1      719     17.800     25.900     22.406     1.506
        7 2003     6      738     18.100     24.700     21.586     1.493
        8 2003     0      744     16.300     25.100     20.710     1.748
        9 2003     3      717     18.000     26.600     22.224     1.637
       10 2003     0      744     18.400     26.000     22.405     1.455
       11 2003     0      720     20.100     27.600     23.732     1.442
       12 2003    68      676     22.500     28.000     25.307     1.048
        1 2004   191      553     22.100     28.300     25.327     1.412
        2 2004     0      696     23.800     30.600     27.552     1.159
        3 2004     0      744     21.800     29.500     27.053     1.362
        4 2004     0      720     21.700     28.000     25.505     1.398
        5 2004     0      744     18.000     27.500     24.129     1.492
        6 2004     0      720     19.100     26.600     23.219     1.410
        7 2004     0      744     18.800     25.200     22.167     1.450
        8 2004     0      744     16.800     24.300     21.283     1.623
        9 2004     0      720     17.100     24.700     21.224     1.377
       10 2004     0      744     18.500     26.900     22.879     1.488
       11 2004     0      720     20.000     27.100     23.667     1.378
       12 2004     0      744     21.400     29.600     25.807     1.355
        1 2005     0      744     23.700     30.200     26.970     1.079
        2 2005    16      656     24.100     29.800     26.994     1.193
        3 2005     4      740     22.300     30.100     26.270     1.256
        4 2005     0      720     20.000     29.300     25.242     1.835
        5 2005     0      744     20.300     27.700     24.147     1.497
        6 2005     0      720     18.100     25.500     22.073     1.516
        7 2005     0      744     17.700     25.100     21.294     1.592
        8 2005     1      743     16.000     24.900     21.066     1.714
        9 2005     0      720     16.800     26.400     22.383     1.544
       10 2005     0      744     18.800     28.100     24.041     1.916
       11 2005     2      718     20.500     28.100     24.628     1.441
       12 2005     0      744     22.500     29.800     25.961     1.301
        1 2006     0      744     22.500     29.200     26.455     1.181
        2 2006     1      671     22.900     30.700     26.873     1.461
        3 2006     0      744     22.700     30.300     27.482     1.410
        4 2006     0      720     22.900     30.100     26.852     1.423
        5 2006     0      744     19.200     28.100     24.333     1.613
        6 2006     0      720     18.500     26.100     22.743     1.595
        7 2006     0      744     16.100     24.500     21.096     1.455
        8 2006     0      744     18.000     25.400     22.031     1.481
        9 2006     0      720     18.800     26.000     22.419     1.393
       10 2006     0      744     18.100     25.700     22.305     1.640
       11 2006     0      720     19.700     27.800     24.422     1.466
       12 2006     0      744     20.700     28.400     24.512     1.357
        1 2007     0      744     22.000     28.800     25.799     1.193
        2 2007     0      672     22.300     29.500     26.407     1.164
        3 2007     0      744     23.900     29.100     26.267     1.034
        4 2007     0      720     22.300     28.800     25.476     1.242
        5 2007     0      744     20.800     27.600     24.259     1.429
        6 2007     0      720     19.900     26.500     23.433     1.454
        7 2007     0      744     18.800     26.600     22.894     1.466
        8 2007     0      744     18.400     26.100     22.396     1.470
        9 2007     0      720     19.800     26.900     23.552     1.561
       10 2007     2      742     19.700     27.900     24.372     1.410
       11 2007     0      720     20.500     28.000     24.723     1.338
       12 2007     0      744     21.600     28.200     25.520     1.158
        1 2008     0      744     22.700     28.400     25.771     0.997
        2 2008     0      696     23.100     29.500     26.862     1.132
        3 2008     0      744     22.100     29.400     26.523     1.389
        4 2008     0      720     22.000     28.600     26.061     1.150
        5 2008     0      744     19.600     27.200     23.715     1.590
        6 2008     1      719     19.600     25.700     23.288     1.130
        7 2008     0      744     17.700     25.300     21.872     1.669
        8 2008     0      744     19.100     25.800     22.908     1.396
        9 2008    11      709     19.000     25.700     22.913     1.452
       10 2008     0      744     19.400     27.400     23.593     1.437
       11 2008     0      720     20.400     28.100     25.113     1.367
       12 2008     0      744     22.400     29.800     26.209     1.467
        1 2009     0      744     23.000     30.400     26.609     1.180
        2 2009     0      672     23.800     30.500     27.211     1.225
        3 2009     1      743     23.900     29.400     26.888     1.191
        4 2009     0      720     19.800     28.900     25.247     1.613
        5 2009     0      744     19.400     26.300     23.503     1.411
        6 2009     0      720     15.300     25.500     21.579     1.762
        7 2009     1      743     16.000     26.600     21.844     1.780
        8 2009     0      744     17.800     24.400     21.509     1.324
        9 2009     0      720     17.300     25.200     21.528     1.527
       10 2009     0      744     17.800     25.300     21.654     1.381
       11 2009     1      719     18.300     26.500     22.873     1.640
       12 2009     0      744     20.900     27.000     23.921     1.195
        1 2010     0      744     22.500     29.900     25.765     1.431
        2 2010     0      672     22.700     28.800     26.167     1.126
        3 2010     0      744     23.000     30.000     26.540     1.279
        4 2010     0      720     22.000     28.600     25.597     1.231
        5 2010     0      744     20.500     27.300     24.445     1.303
        6 2010     0      720     20.800     26.900     24.150     1.188
        7 2010     0      744     18.500     26.200     22.819     1.457
        8 2010     0      744     19.600     26.500     23.340     1.493
        9 2010     2      718     19.200     27.000     23.819     1.616
       10 2010     0      744     20.200     27.700     23.680     1.352
       11 2010     0      720     19.900     27.500     23.798     1.548
       12 2010     0      744     21.900     28.400     25.795     1.206
        1 2011     0      744     22.700     29.200     26.274     1.143
        2 2011     0      672     22.400     29.400     26.824     1.095
        3 2011   104      640     21.800     30.500     27.210     1.377
        4 2011     0      720     22.300     30.100     26.532     1.562
        5 2011    51      693     21.700     29.200     25.361     1.593
        6 2011    29      691     17.800     28.200     24.095     2.162
        7 2011     1      743     17.700     27.000     23.044     1.910
