


      Monthly sea levels for TONGA
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 1993  4800     2640      0.282      1.463      0.897     0.332
        2 1993     0     6720      0.134      1.791      0.945     0.395
        3 1993     0     7440      0.152      1.794      0.959     0.391
        4 1993     0     7200      0.136      1.784      0.951     0.393
        5 1993     0     7440      0.129      1.681      0.839     0.396
        6 1993     0     7200      0.093      1.601      0.862     0.393
        7 1993     0     7440      0.016      1.575      0.848     0.395
        8 1993     0     7440      0.074      1.660      0.884     0.392
        9 1993     0     7200      0.036      1.695      0.848     0.392
       10 1993     0     7440     -0.012      1.667      0.844     0.385
       11 1993   960     6240      0.006      1.717      0.888     0.394
       12 1993     0     7440      0.179      1.727      0.933     0.390
        1 1994     0     7440      0.147      1.656      0.932     0.404
        2 1994     0     6720      0.152      1.699      0.926     0.395
        3 1994     0     7440      0.089      1.756      0.931     0.403
        4 1994   720     6480     -0.030      1.695      0.889     0.403
        5 1994     0     7440      0.061      1.708      0.897     0.392
        6 1994     0     7200     -0.031      1.579      0.834     0.390
        7 1994     0     7440     -0.003      1.499      0.772     0.386
        8 1994     0     7440      0.097      1.544      0.834     0.382
        9 1994     0     7200      0.081      1.573      0.786     0.388
       10 1994     0     7440      0.040      1.697      0.843     0.390
       11 1994     0     7200      0.004      1.733      0.930     0.401
       12 1994     0     7440      0.191      1.884      1.023     0.401
        1 1995     0     7440      0.187      1.813      0.970     0.400
        2 1995     0     6720      0.184      1.716      0.920     0.400
        3 1995     0     7440      0.119      1.601      0.873     0.398
        4 1995     0     7200      0.055      1.674      0.875     0.395
        5 1995     0     7440     -0.071      1.630      0.825     0.394
        6 1995     0     7200     -0.050      1.663      0.803     0.395
        7 1995     0     7440      0.042      1.727      0.874     0.394
        8 1995     0     7440      0.077      1.681      0.888     0.399
        9 1995  1056     6144      0.166      1.632      0.883     0.415
       10 1995     0     7440      0.205      1.746      0.952     0.397
       11 1995  2164     5036      0.231      1.582      0.938     0.363
       12 1995  1710     5730     -0.026      1.684      0.830     0.412
        1 1996     0     7440      0.130      1.863      0.952     0.395
        2 1996     0     6960      0.204      1.795      0.980     0.386
        3 1996     0     7440      0.254      1.727      0.959     0.377
        4 1996     0     7200      0.201      1.605      0.924     0.382
        5 1996     0     7440      0.127      1.594      0.841     0.388
        6 1996     0     7200      0.002      1.658      0.868     0.397
        7 1996     0     7440      0.021      1.747      0.886     0.408
        8 1996     0     7440      0.060      1.733      0.886     0.414
        9 1996     0     7200      0.173      1.778      0.970     0.409
       10 1996     0     7440      0.246      1.769      0.962     0.392
       11 1996     0     7200      0.224      1.687      0.977     0.388
       12 1996     0     7440      0.137      1.707      0.991     0.387
        1 1997     0     7440      0.169      1.805      1.017     0.387
        2 1997     0     6720      0.188      1.849      1.071     0.400
        3 1997   110     7330      0.375      1.989      1.118     0.396
        4 1997     0     7200      0.330      1.860      1.084     0.386
        5 1997     0     7440      0.314      1.836      1.050     0.393
        6 1997     0     7200      0.256      1.727      1.007     0.393
        7 1997     0     7440      0.116      1.672      0.964     0.394
        8 1997     0     7440      0.141      1.747      0.929     0.392
        9 1997     0     7200      0.083      1.746      0.917     0.394
