


      Monthly water temperatures for TONGA
      ------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        1 1993   480      264     25.400     25.800     25.555     0.086
        2 1993     0      672     25.700     29.100     27.009     0.719
        3 1993     0      744     26.400     30.300     27.395     0.712
        4 1993     0      720     24.900     29.000     26.210     0.956
        5 1993     0      744     23.400     26.700     24.646     0.821
        6 1993     0      720     23.200     24.900     23.749     0.356
        7 1993     0      744     21.300     23.500     22.312     0.530
        8 1993     0      744     21.500     23.400     22.414     0.317
        9 1993     0      720     21.800     24.500     22.517     0.550
       10 1993     1      743     22.200     25.200     23.110     0.690
       11 1993    96      624     24.200     27.500     25.710     0.910
       12 1993     2      742     25.500     29.500     26.997     0.747
        1 1994     0      744     26.000     29.500     26.899     0.707
        2 1994     0      672     27.400     29.600     28.129     0.423
        3 1994     0      744     25.800     29.900     27.190     0.811
        4 1994     0      720     24.100     26.600     25.783     0.452
        5 1994     0      744     23.600     26.100     24.249     0.376
        6 1994     0      720     22.100     23.700     22.700     0.375
        7 1994     3      741     21.600     24.300     22.173     0.431
        8 1994     1      743     21.800     24.400     22.581     0.448
        9 1994     0      720     21.800     24.400     22.409     0.364
       10 1994     0      744     22.800     25.700     23.876     0.422
       11 1994     1      719     23.900     26.500     24.670     0.613
       12 1994     5      739     25.300     27.500     25.879     0.287
        1 1995     0      744     25.700     27.500     26.054     0.209
        2 1995     2      670     26.200     29.200     27.337     0.459
        3 1995     3      741     26.200     29.300     27.280     0.478
        4 1995     6      714     25.200     28.500     26.667     0.967
        5 1995     2      742     24.100     26.000     24.866     0.462
        6 1995     5      715     23.400     25.400     24.284     0.371
        7 1995     4      740     23.500     25.600     23.953     0.286
        8 1995     7      737     22.300     25.900     23.441     0.738
        9 1995     7      713     22.200     23.700     22.921     0.353
       10 1995     5      739     23.500     25.800     24.569     0.490
       11 1995    13      707     24.900     26.800     25.527     0.368
       12 1995    12      732     25.500     29.800     26.676     1.041
        1 1996    12      732     25.900     28.300     26.967     0.452
        2 1996     0      696     27.000     29.400     27.744     0.604
        3 1996     0      744     26.800     29.200     27.823     0.573
        4 1996   720        0
        5 1996   744        0
        6 1996   720        0
        7 1996   744        0
        8 1996   744        0
        9 1996   264      456     20.900     23.700     22.129     0.490
       10 1996   744        0
       11 1996   120      600     24.200     28.500     25.590     1.022
       12 1996     2      742     26.200     29.100     27.065     0.596
        1 1997    23      721     26.700     29.600     27.812     0.599
        2 1997     1      671     26.600     29.700     27.917     0.584
        3 1997    30      714     27.200     28.800     27.834     0.427
        4 1997     3      717     25.300     28.200     26.544     0.654
        5 1997    11      733     24.100     26.000     24.903     0.500
        6 1997     6      714     22.600     24.700     23.521     0.465
        7 1997    14      730     21.700     24.600     22.940     0.595
        8 1997     4      740     21.500     24.300     22.001     0.223
        9 1997     2      718     21.700     23.300     22.270     0.289
       10 1997    11      733     22.700     25.000     23.563     0.550
       11 1997     0      720     23.800     26.900     24.695     0.609
       12 1997     1      743     25.100     27.300     25.749     0.454
        1 1998     1      743     25.600     28.900     26.390     0.443
        2 1998     4      668     25.500     26.700     26.025     0.306
        3 1998     3      741     25.300     27.600     26.398     0.595
        4 1998     2      718     26.200     26.900     26.458     0.138
        5 1998     1      743     24.800     26.600     25.585     0.461
        6 1998    21      699     23.900     25.000     24.515     0.200
        7 1998     1      743     22.600     24.400     23.340     0.398
        8 1998     1      743     22.400     24.900     23.555     0.514
        9 1998     0      720     22.500     23.500     22.902     0.209
       10 1998     1      743     23.200     26.900     24.301     0.598
       11 1998     1      719     25.200     28.100     26.378     0.618
       12 1998     1      743     26.000     29.100     27.278     0.552
        1 1999     0      744     25.500     29.100     27.231     0.834
        2 1999     1      671     26.500     29.200     27.501     0.718
        3 1999     1      743     26.500     29.000     27.297     0.533
        4 1999     0      720     26.100     29.200     27.055     0.445
        5 1999     0      744     22.900     27.400     25.079     1.281
        6 1999     0      720     23.400     25.200     24.249     0.354
        7 1999     1      743     23.200     25.100     23.998     0.424
        8 1999     1      743     22.600     24.200     23.407     0.410
        9 1999     0      720     22.000     24.400     23.104     0.489
       10 1999     1      743     22.600     25.600     23.892     0.554
       11 1999     0      720     23.700     28.800     25.624     0.914
       12 1999     3      741     25.500     28.900     26.848     0.864
        1 2000     1      743     27.000     29.100     28.011     0.451
        2 2000     0      696     26.800     30.500     28.415     0.766
        3 2000     0      744     27.200     29.900     28.721     0.598
        4 2000     3      717     26.100     29.700     27.709     0.568
        5 2000     0      744     25.200     27.000     26.190     0.350
        6 2000     1      719     23.500     25.700     24.579     0.554
        7 2000     0      744     22.500     24.300     23.475     0.494
        8 2000     0      744     22.200     24.900     22.916     0.426
        9 2000     0      720     22.600     25.700     23.769     0.511
       10 2000     0      744     22.600     26.500     23.598     0.571
       11 2000     0      720     23.800     29.300     25.618     1.119
       12 2000     0      744     25.600     29.000     26.635     0.587
        1 2001   419      325     26.700     29.800     28.052     0.590
        2 2001     1      671     27.100     30.100     28.496     0.378
        3 2001     0      744     26.600     29.200     27.227     0.471
        4 2001     0      720     25.400     28.700     26.746     0.772
        5 2001     0      744     24.900     25.900     25.349     0.219
        6 2001     0      720     23.200     25.900     24.189     0.429
        7 2001     0      744     22.300     24.800     23.476     0.487
        8 2001     1      743     22.600     25.200     23.337     0.454
        9 2001    14      706     23.000     25.200     23.877     0.288
       10 2001     0      744     22.700     25.600     24.064     0.590
       11 2001     1      719     24.800     27.300     25.774     0.400
       12 2001     1      743     25.200     28.500     26.362     0.901
        1 2002     0      744     26.500     29.200     27.847     0.641
        2 2002     1      671     27.100     30.200     28.301     0.778
        3 2002     0      744     27.300     30.300     28.041     0.481
        4 2002     0      720     25.600     29.700     27.249     1.061
        5 2002     1      743     25.300     26.600     25.861     0.253
        6 2002     0      720     23.900     26.200     24.842     0.483
        7 2002     0      744     22.700     25.500     23.775     0.546
        8 2002     0      744     22.300     24.200     22.790     0.288
        9 2002     0      720     22.400     25.200     23.227     0.582
       10 2002     0      744     22.800     26.100     23.783     0.698
       11 2002     0      720     24.100     25.100     24.495     0.187
       12 2002   150      594     24.400     27.300     25.495     0.457
        1 2003   482      262     26.000     27.700     26.764     0.474
        2 2003     0      672     25.400     28.300     26.658     0.643
        3 2003     0      744     26.200     29.300     27.275     0.699
        4 2003     0      720     25.600     28.000     26.846     0.418
        5 2003     0      744     24.600     27.200     25.699     0.643
        6 2003     1      719     23.000     24.800     23.963     0.398
        7 2003     6      738     22.200     24.600     22.993     0.589
        8 2003     0      744     22.100     23.800     22.678     0.209
        9 2003     3      717     22.300     25.200     23.433     0.607
       10 2003     0      744     22.900     25.700     23.579     0.453
       11 2003     0      720     23.800     26.900     24.785     0.554
       12 2003    69      675     25.200     27.000     25.901     0.436
        1 2004   191      553     25.800     27.700     26.447     0.326
        2 2004     0      696     26.600     30.000     28.232     0.641
        3 2004     1      743     27.400     29.600     28.332     0.403
        4 2004     0      720     26.000     28.000     26.526     0.372
        5 2004     0      744     25.300     26.300     25.703     0.207
        6 2004     0      720     23.500     25.400     24.342     0.435
        7 2004     0      744     22.900     24.100     23.422     0.271
        8 2004     0      744     22.100     23.500     22.885     0.252
        9 2004     0      720     21.800     23.800     22.444     0.329
       10 2004     0      744     22.900     24.600     23.729     0.348
       11 2004     0      720     23.800     25.800     24.641     0.444
       12 2004     0      744     25.000     28.400     26.343     0.805
        1 2005     1      743     26.500     29.500     27.492     0.647
        2 2005    19      653     26.700     30.000     27.557     0.509
        3 2005    10      734     26.200     28.200     26.846     0.368
        4 2005     0      720     24.600     28.200     26.789     1.124
        5 2005     0      744     24.600     26.300     25.357     0.359
        6 2005     0      720     23.200     25.600     24.172     0.622
        7 2005     0      744     22.100     24.800     23.201     0.637
        8 2005     1      743     22.400     24.100     22.987     0.279
        9 2005     0      720     22.400     25.000     23.403     0.587
       10 2005    25      719     23.300     27.600     25.219     0.964
       11 2005     2      718     25.200     27.600     25.836     0.495
       12 2005     1      743     26.000     29.200     26.944     0.702
        1 2006     0      744     26.500     28.900     27.368     0.676
        2 2006     1      671     26.800     29.900     27.802     0.667
        3 2006     0      744     27.300     30.000     28.521     0.605
        4 2006     3      717     26.400     29.600     28.199     0.796
        5 2006     2      742     24.600     28.000     26.218     0.940
        6 2006     0      720     23.100     25.800     24.799     0.571
