


      Monthly barometric pressures for SAMOA
      --------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        2 1993   624       48     1008.5     1011.7     1010.1       0.9
        3 1993     0      744     1006.0     1013.5     1009.7       1.7
        4 1993     0      720     1005.1     1012.2     1009.0       1.4
        5 1993     0      744     1007.3     1015.1     1011.1       1.7
        6 1993     0      720     1006.5     1015.2     1011.2       1.5
        7 1993     0      744     1006.8     1015.2     1011.0       1.5
        8 1993     0      744     1007.0     1015.4     1011.7       1.7
        9 1993     0      720     1007.2     1016.5     1011.8       1.9
       10 1993     0      744     1006.7     1015.5     1010.8       1.6
       11 1993     0      720     1006.1     1013.8     1009.6       1.6
       12 1993     0      744     1002.9     1011.4     1007.8       1.6
        1 1994     1      743     1000.8     1012.4     1007.8       1.9
        2 1994     0      672     1004.8     1012.4     1008.5       1.5
        3 1994     0      744     1001.1     1013.8     1008.7       2.4
        4 1994     0      720     1003.7     1012.4     1008.3       1.9
        5 1994     0      744     1005.3     1014.1     1010.0       1.6
        6 1994     0      720     1006.6     1014.5     1010.5       1.4
        7 1994     3      741     1006.8     1013.6     1010.0       1.2
        8 1994     0      744     1006.5     1017.0     1011.7       2.2
        9 1994     0      720     1007.2     1016.5     1011.5       1.6
       10 1994     0      744     1006.6     1014.3     1010.7       1.3
       11 1994     3      717     1003.1     1013.0     1009.3       1.8
       12 1994     4      740     1000.1     1012.9     1006.6       2.5
        1 1995     5      739     1001.4     1013.4     1007.6       2.8
        2 1995     3      669     1002.9     1013.1     1008.7       2.2
        3 1995     5      739     1004.3     1013.7     1009.5       2.0
        4 1995     8      712     1005.7     1011.8     1008.8       1.3
        5 1995     4      740     1005.7     1013.5     1010.0       1.5
        6 1995    10      710     1007.9     1016.3     1011.7       1.5
        7 1995     5      739     1007.7     1015.2     1011.3       1.5
        8 1995     9      735     1008.3     1016.2     1011.8       1.5
        9 1995    14      706     1009.1     1016.4     1012.5       1.5
       10 1995     9      735     1006.2     1015.6     1010.5       1.7
       11 1995    12      708     1003.1     1013.6     1009.0       1.9
       12 1995    43      701     1004.0     1013.8     1008.3       2.2
        1 1996    13      731     1004.9     1013.9     1008.4       1.6
        2 1996     7      689     1003.0     1012.2     1007.9       1.9
        3 1996     8      736     1002.1     1016.8     1009.0       2.5
        4 1996     0      720     1006.6     1014.0     1010.4       1.4
        5 1996     0      744     1005.6     1015.5     1011.2       1.7
        6 1996     1      719     1007.5     1017.3     1011.8       2.2
        7 1996     5      739     1007.4     1015.7     1011.7       1.5
        8 1996     0      744     1009.2     1016.5     1012.9       1.3
        9 1996     0      720     1006.7     1014.8     1011.0       1.6
       10 1996    14      730     1005.1     1014.9     1010.5       1.9
       11 1996     0      720     1004.3     1014.2     1009.4       2.0
       12 1996     0      744     1002.8     1011.3     1007.6       1.8
        1 1997     1      743      999.6     1012.8     1008.5       2.4
        2 1997     1      671     1004.6     1012.7     1008.5       1.6
        3 1997    23      721      998.0     1014.8     1007.7       3.2
        4 1997     5      715     1005.3     1014.8     1010.3       1.9
        5 1997     4      740     1005.5     1013.7     1010.1       1.6
        6 1997    10      710     1002.2     1014.9     1011.0       2.1
        7 1997    12      732     1006.7     1014.9     1011.3       1.4
        8 1997     1      743     1007.3     1016.0     1011.6       1.6
        9 1997     4      716     1006.4     1017.6     1012.5       2.1
       10 1997     1      743     1006.2     1014.9     1010.8       1.8
       11 1997     0      720     1006.3     1016.7     1011.3       2.2
       12 1997     0      744     1001.3     1013.3     1008.1       2.5
        1 1998     1      743      996.4     1011.5     1006.8       2.2
        2 1998     0      672     1003.2     1015.5     1008.9       2.5
        3 1998     0      744     1004.4     1013.2     1008.7       1.9
        4 1998     0      720     1007.4     1014.7     1011.7       1.4
        5 1998     1      743     1008.3     1016.1     1012.4       1.5
        6 1998     4      716     1007.8     1015.8     1012.3       1.5
        7 1998     2      742     1008.9     1018.0     1013.6       1.9
        8 1998     1      743     1008.6     1016.3     1013.1       1.4
        9 1998     0      720     1009.6     1017.8     1013.2       1.5
       10 1998     0      744     1008.0     1016.5     1011.5       1.7
       11 1998     0      720     1005.9     1013.1     1009.7       1.4
       12 1998     1      743     1003.3     1013.5     1008.5       1.9
        1 1999    12      732     1006.1     1013.2     1009.4       1.3
