


      Monthly sea levels for SAMOA
      ----------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        2 1993  6240      480      0.337      0.961      0.643     0.187
        3 1993     0     7440     -0.042      1.438      0.708     0.314
        4 1993     0     7200      0.108      1.428      0.724     0.294
        5 1993     0     7440      0.083      1.355      0.706     0.299
        6 1993     0     7200      0.108      1.381      0.713     0.306
        7 1993     0     7440      0.049      1.363      0.704     0.312
        8 1993     0     7440      0.066      1.387      0.708     0.307
        9 1993     0     7200     -0.032      1.381      0.686     0.306
       10 1993     0     7440     -0.005      1.456      0.734     0.305
       11 1993     0     7200      0.105      1.466      0.747     0.290
       12 1993     0     7440      0.104      1.407      0.736     0.299
        1 1994     0     7440      0.127      1.419      0.745     0.314
        2 1994     0     6720      0.097      1.417      0.729     0.309
        3 1994     0     7440      0.116      1.413      0.758     0.310
        4 1994     0     7200      0.040      1.389      0.709     0.303
        5 1994     0     7440      0.027      1.402      0.687     0.303
        6 1994     0     7200      0.087      1.415      0.736     0.293
        7 1994     0     7440      0.165      1.399      0.762     0.288
        8 1994     0     7440      0.170      1.317      0.726     0.284
        9 1994     0     7200      0.105      1.339      0.711     0.298
       10 1994     0     7440      0.101      1.470      0.712     0.300
       11 1994     0     7200     -0.002      1.449      0.658     0.314
       12 1994     0     7440      0.002      1.431      0.715     0.320
        1 1995     0     7440     -0.012      1.445      0.678     0.326
        2 1995     0     6720      0.077      1.332      0.695     0.318
        3 1995     0     7440      0.115      1.351      0.718     0.320
        4 1995     0     7200      0.036      1.363      0.724     0.309
        5 1995     0     7440      0.132      1.434      0.725     0.294
        6 1995     0     7200      0.030      1.418      0.726     0.299
        7 1995     0     7440      0.170      1.547      0.821     0.289
        8 1995     0     7440      0.180      1.514      0.818     0.298
        9 1995     0     7200      0.187      1.459      0.807     0.299
       10 1995     0     7440      0.166      1.398      0.780     0.308
       11 1995     0     7200      0.151      1.474      0.787     0.306
       12 1995   240     7200      0.028      1.499      0.762     0.303
        1 1996     0     7440      0.026      1.521      0.745     0.314
        2 1996     0     6960      0.098      1.532      0.758     0.302
        3 1996     0     7440      0.090      1.469      0.780     0.305
        4 1996     0     7200      0.233      1.433      0.826     0.306
        5 1996     0     7440      0.246      1.455      0.866     0.295
        6 1996     0     7200      0.229      1.565      0.851     0.306
        7 1996     0     7440      0.183      1.600      0.870     0.315
        8 1996     0     7440      0.142      1.575      0.845     0.328
        9 1996     0     7200      0.177      1.501      0.843     0.305
       10 1996   480     6960      0.196      1.413      0.794     0.304
       11 1996     0     7200      0.191      1.389      0.768     0.300
       12 1996     0     7440      0.086      1.416      0.765     0.302
        1 1997     0     7440      0.077      1.482      0.741     0.301
        2 1997     0     6720      0.015      1.459      0.743     0.322
        3 1997     0     7440      0.107      1.513      0.807     0.306
        4 1997     0     7200      0.091      1.464      0.753     0.315
        5 1997     0     7440      0.076      1.326      0.712     0.312
        6 1997     0     7200      0.130      1.338      0.724     0.304
        7 1997     0     7440      0.146      1.466      0.772     0.306
        8 1997     0     7440      0.126      1.510      0.778     0.306
        9 1997     0     7200      0.080      1.496      0.764     0.313
       10 1997     0     7440      0.090      1.506      0.785     0.311
       11 1997     0     7200      0.124      1.457      0.761     0.310
       12 1997     0     7440      0.083      1.316      0.718     0.303
        1 1998     0     7440     -0.053      1.378      0.669     0.315
        2 1998     0     6720     -0.229      1.241      0.493     0.327
        3 1998     0     7440     -0.274      1.185      0.448     0.328
        4 1998     0     7200     -0.208      1.186      0.456     0.320
        5 1998     0     7440     -0.185      1.147      0.466     0.306
        6 1998     0     7200     -0.057      1.215      0.520     0.309
        7 1998     0     7440     -0.029      1.159      0.540     0.301
        8 1998     0     7440     -0.076      1.216      0.561     0.304
        9 1998     0     7200     -0.084      1.252      0.570     0.313
       10 1998     0     7440     -0.125      1.331      0.573     0.324
       11 1998     0     7200     -0.092      1.347      0.633     0.322
       12 1998     0     7440     -0.060      1.435      0.647     0.333
        1 1999     0     7440      0.001      1.415      0.729     0.320
        2 1999     0     6720      0.199      1.427      0.802     0.300
        3 1999     0     7440      0.206      1.498      0.835     0.313
        4 1999     0     7200      0.216      1.508      0.845     0.305
        5 1999     0     7440      0.089      1.482      0.800     0.300
        6 1999     0     7200      0.141      1.565      0.824     0.297
        7 1999     0     7440      0.161      1.505      0.804     0.300
        8 1999     0     7440      0.141      1.419      0.769     0.313
        9 1999     0     7200      0.166      1.406      0.774     0.314
       10 1999     0     7440      0.109      1.379      0.751     0.310
       11 1999     0     7200      0.082      1.443      0.725     0.312
       12 1999     0     7440      0.103      1.470      0.756     0.299
        1 2000     0     7440      0.084      1.483      0.758     0.294
        2 2000     0     6960      0.089      1.435      0.765     0.295
        3 2000     0     7440      0.196      1.413      0.798     0.294
        4 2000     0     7200      0.280      1.423      0.831     0.293
        5 2000     0     7440      0.268      1.448      0.802     0.308
        6 2000     0     7200      0.135      1.456      0.752     0.300
        7 2000     0     7440      0.025      1.482      0.771     0.312
        8 2000     0     7440      0.049      1.434      0.731     0.311
        9 2000     0     7200      0.092      1.380      0.725     0.304
       10 2000     0     7440      0.170      1.288      0.744     0.292
       11 2000     0     7200      0.155      1.360      0.743     0.291
       12 2000     0     7440      0.138      1.460      0.783     0.293
        1 2001     0     7440      0.086      1.494      0.775     0.294
        2 2001     0     6720      0.126      1.592      0.822     0.308
        3 2001     0     7440      0.172      1.500      0.834     0.295
        4 2001     0     7200      0.242      1.477      0.845     0.298
        5 2001     0     7440      0.257      1.421      0.817     0.304
        6 2001     0     7200      0.204      1.398      0.791     0.298
        7 2001     0     7440      0.087      1.410      0.748     0.298
        8 2001     0     7440      0.095      1.507      0.776     0.297
        9 2001     0     7200      0.078      1.514      0.782     0.296
       10 2001     0     7440      0.079      1.394      0.742     0.298
       11 2001     0     7200      0.151      1.400      0.763     0.291
       12 2001     0     7440      0.140      1.378      0.755     0.299
        1 2002     0     7440      0.065      1.436      0.705     0.314
        2 2002     0     6720      0.118      1.497      0.767     0.303
        3 2002     0     7440      0.106      1.504      0.797     0.309
        4 2002     0     7200      0.102      1.417      0.764     0.296
        5 2002     0     7440      0.093      1.346      0.737     0.288
        6 2002     0     7200      0.201      1.330      0.744     0.278
        7 2002     0     7440      0.244      1.372      0.813     0.278
        8 2002     0     7440      0.206      1.476      0.805     0.295
        9 2002     0     7200      0.091      1.490      0.766     0.297
       10 2002  5552     1888      0.121      1.545      0.805     0.406
       11 2002  7200        0
       12 2002  2401     5039      0.263      1.394      0.770     0.274
        1 2003     0     7440      0.195      1.476      0.794     0.296
        2 2003     0     6720      0.143      1.433      0.773     0.300
        3 2003     0     7440      0.113      1.424      0.747     0.301
        4 2003     0     7200      0.062      1.479      0.757     0.300
        5 2003     0     7440      0.223      1.557      0.822     0.290
        6 2003     0     7200      0.127      1.407      0.758     0.286
        7 2003     0     7440      0.168      1.410      0.768     0.290
        8 2003     0     7440      0.181      1.387      0.786     0.294
        9 2003     0     7200      0.153      1.428      0.762     0.297
       10 2003     0     7440      0.156      1.486      0.782     0.297
       11 2003     0     7200      0.139      1.492      0.778     0.301
       12 2003     0     7440      0.173      1.440      0.784     0.282
        1 2004     0     7440      0.116      1.489      0.762     0.289
        2 2004     0     6960      0.156      1.457      0.778     0.293
        3 2004     0     7440      0.255      1.481      0.817     0.277
        4 2004     0     7200      0.228      1.423      0.770     0.288
        5 2004     0     7440      0.121      1.380      0.764     0.287
