


      Monthly water temperatures for SAMOA
      ------------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
        2 1993   624       48     29.500     30.000     29.813     0.113
        3 1993     0      744     28.400     31.000     29.403     0.385
        4 1993     0      720     29.100     30.900     29.896     0.355
        5 1993     0      744     28.000     30.500     29.038     0.484
        6 1993     0      720     27.800     28.800     28.265     0.166
        7 1993     0      744     26.900     28.400     27.676     0.270
        8 1993     0      744     26.900     28.800     28.022     0.381
        9 1993     0      720     27.300     29.700     28.034     0.446
       10 1993     0      744     27.800     29.800     28.601     0.297
       11 1993     0      720     27.800     30.200     28.918     0.414
       12 1993     0      744     28.800     30.900     29.636     0.366
        1 1994     1      743     28.700     31.200     29.719     0.414
        2 1994     0      672     29.500     31.400     30.304     0.365
        3 1994     1      743     29.600     31.600     30.493     0.291
        4 1994     0      720     28.700     31.100     30.005     0.451
        5 1994     0      744     28.800     30.500     29.687     0.362
        6 1994     0      720     28.000     30.500     28.781     0.362
        7 1994     3      741     27.900     29.200     28.537     0.249
        8 1994     0      744     26.800     29.200     27.808     0.416
        9 1994     0      720     27.700     29.400     28.275     0.269
       10 1994     0      744     28.100     30.400     29.110     0.442
       11 1994     3      717     27.800     30.400     28.979     0.534
       12 1994     4      740     28.900     30.700     29.701     0.350
        1 1995     5      739     27.600     30.600     29.420     0.499
        2 1995     3      669     28.000     31.300     29.739     0.586
        3 1995     5      739     28.500     31.700     30.127     0.407
        4 1995     8      712     28.600     31.100     29.952     0.511
        5 1995   744        0
        6 1995    10      710     28.300     30.800     29.278     0.585
        7 1995     5      739     27.500     29.300     28.288     0.342
        8 1995     9      735     27.300     29.100     27.999     0.289
        9 1995    14      706     27.200     29.100     28.023     0.239
       10 1995     9      735     26.700     29.700     27.824     0.479
       11 1995    12      708     27.200     29.400     28.341     0.286
       12 1995    43      701     28.100     30.400     28.964     0.353
        1 1996    22      722     27.200     30.700     29.025     0.604
        2 1996    15      681     27.800     30.700     29.389     0.662
        3 1996    15      729     27.200     30.200     28.976     0.529
        4 1996     1      719     28.400     30.000     29.136     0.295
        5 1996     1      743     27.400     30.100     28.942     0.348
        6 1996     2      718     28.000     29.500     28.722     0.230
        7 1996    10      734     27.700     29.000     28.284     0.206
        8 1996     1      743     27.300     29.000     27.984     0.305
        9 1996     1      719     26.700     28.700     27.488     0.336
       10 1996    25      719     26.800     29.400     27.898     0.431
       11 1996     0      720     26.500     30.300     29.061     0.408
       12 1996     0      744     27.000     30.000     29.073     0.489
        1 1997     2      742     25.500     30.400     28.871     0.884
        2 1997     1      671     27.200     30.400     29.173     0.569
        3 1997    23      721     27.100     29.900     28.493     0.468
        4 1997     6      714     28.600     30.100     29.338     0.277
        5 1997     4      740     28.000     30.000     29.007     0.365
        6 1997    10      710     25.500     28.500     27.690     0.415
        7 1997    12      732     27.100     28.600     27.639     0.222
        8 1997     1      743     27.200     28.800     27.785     0.239
        9 1997     4      716     27.300     29.800     28.250     0.560
       10 1997     1      743     27.200     29.700     28.350     0.444
       11 1997     0      720     27.900     30.500     29.010     0.435
       12 1997     0      744     27.700     30.000     28.671     0.409
        1 1998     1      743     27.100     30.800     28.920     0.779
        2 1998     0      672     27.500     30.300     28.879     0.486
        3 1998     0      744     28.100     30.900     29.424     0.423
        4 1998     0      720     28.300     30.100     28.975     0.289
        5 1998     1      743     27.300     29.300     27.966     0.326
        6 1998     4      716     26.700     28.700     27.861     0.252
        7 1998     2      742     26.400     28.200     27.133     0.319
        8 1998     1      743     26.200     28.600     27.047     0.382
        9 1998     0      720     27.100     28.400     27.700     0.236
       10 1998     1      743     27.700     29.900     28.480     0.453
       11 1998     0      720     28.300     31.400     29.627     0.571
       12 1998     0      744     27.200     31.300     29.458     0.942
        1 1999    12      732     27.200     30.400     29.014     0.584
        2 1999     4      668     27.600     30.300     28.939     0.576
        3 1999     8      736     28.600     30.600     29.580     0.363
        4 1999     6      714     29.000     30.900     29.782     0.308
        5 1999     4      740     28.100     30.600     29.392     0.549
        6 1999     9      711     28.400     29.800     28.946     0.205
        7 1999    10      734     28.000     29.300     28.587     0.196
        8 1999    16      728     28.100     29.400     28.595     0.235
        9 1999    10      710     27.700     29.700     28.498     0.302
       10 1999     5      739     27.800     29.900     28.611     0.389
       11 1999    15      705     28.100     30.000     28.958     0.390
       12 1999     1      743     28.900     30.900     29.738     0.468
        1 2000     4      740     26.900     30.600     29.560     0.603
        2 2000     0      696     26.800     30.500     29.536     0.420
        3 2000     8      736     26.700     30.400     29.392     0.576
        4 2000     5      715     29.200     30.900     29.914     0.249
        5 2000     2      742     28.800     30.600     29.477     0.356
        6 2000     2      718     27.600     29.500     28.607     0.362
        7 2000     1      743     27.000     29.000     28.186     0.366
        8 2000     1      743     27.400     28.900     28.005     0.263
        9 2000     0      720     27.800     30.000     28.552     0.460
       10 2000     0      744     27.800     29.800     28.665     0.396
       11 2000     0      720     28.600     30.500     29.368     0.369
       12 2000     0      744     28.800     30.900     29.782     0.368
        1 2001     1      743     29.500     31.200     30.248     0.297
        2 2001     0      672     29.300     31.500     30.196     0.353
        3 2001     1      743     28.400     30.500     29.739     0.394
        4 2001     0      720     28.800     30.600     29.801     0.266
        5 2001     0      744     28.800     30.300     29.492     0.314
        6 2001     0      720     28.600     29.800     29.046     0.205
        7 2001     0      744     27.500     29.800     28.875     0.416
        8 2001     3      741     27.700     29.100     28.342     0.267
        9 2001     0      720     27.500     29.400     28.215     0.320
       10 2001     0      744     27.500     30.100     28.453     0.615
       11 2001     0      720     28.000     29.900     28.981     0.392
       12 2001     0      744     27.400     30.300     28.878     0.655
        1 2002     3      741     27.500     31.500     29.290     0.716
        2 2002     0      672     28.500     31.000     30.018     0.513
        3 2002     0      744     28.400     31.100     30.184     0.418
        4 2002     0      720     29.400     31.000     30.086     0.276
        5 2002     0      744     29.000     30.800     29.747     0.377
        6 2002     0      720     27.900     29.700     28.822     0.386
        7 2002     0      744     27.900     29.600     28.671     0.297
        8 2002     0      744     27.400     29.400     28.260     0.385
        9 2002     0      720     27.500     29.100     28.113     0.243
       10 2002     3      741     27.300     29.700     28.111     0.503
       11 2002     3      717     28.300     30.500     29.408     0.448
       12 2002    32      712     28.400     30.500     29.298     0.389
        1 2003     2      742     28.800     31.600     29.994     0.515
        2 2003     2      670     29.500     31.600     30.389     0.353
        3 2003     4      740     28.800     31.400     30.458     0.415
        4 2003     0      720     28.500     31.100     30.000     0.438
        5 2003     0      744     28.300     30.600     29.621     0.340
        6 2003   720        0
        7 2003   744        0
        8 2003   744        0
        9 2003   155      565     27.900     29.400     28.657     0.315
       10 2003     1      743     28.300     30.200     28.870     0.325
       11 2003     0      720     28.500     30.300     29.333     0.361
       12 2003     4      740     28.300     30.700     29.537     0.588
        1 2004     1      743     27.100     30.600     28.952     0.667
        2 2004     1      695     28.900     30.500     29.750     0.309
        3 2004     4      740     28.900     30.700     29.716     0.356
        4 2004     2      718     28.300     30.700     29.751     0.342
        5 2004     0      744     28.800     30.300     29.549     0.284
        6 2004     1      719     27.900     30.000     28.928     0.448
