


      Monthly air temperatures for FIJI
      ---------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       10 1992   552      192     20.900     29.200     25.104     1.926
       11 1992     0      720     20.000     30.400     25.657     1.877
       12 1992     0      744     22.200     31.700     26.832     1.630
        1 1993     0      744     21.000     31.100     26.448     1.733
        2 1993     0      672     23.500     31.000     26.642     1.556
        3 1993     0      744     23.200     32.200     27.136     1.628
        4 1993     0      720     21.100     31.500     26.206     1.878
        5 1993     0      744     20.200     29.900     25.273     1.859
        6 1993     0      720     20.100     28.100     24.420     1.687
        7 1993     0      744     17.800     28.100     22.830     2.109
        8 1993     0      744     18.400     27.800     22.567     1.700
        9 1993     0      720     17.100     26.600     22.992     1.907
       10 1993    70      674     18.200     29.000     23.908     1.945
       11 1993    95      625     22.000     31.000     26.230     1.427
       12 1993    83      661     22.800     32.600     27.104     1.584
        1 1994     0      744     23.100     32.400     27.123     1.683
        2 1994     0      672     23.600     30.900     27.440     1.577
        3 1994     0      744     24.200     31.900     27.732     1.609
        4 1994     0      720     20.900     31.600     26.431     2.035
        5 1994     0      744     20.300     29.500     24.890     1.807
        6 1994     4      716     17.800     28.500     23.258     1.946
        7 1994     0      744     18.700     27.500     23.102     1.854
        8 1994     0      744     18.200     29.300     23.616     1.993
        9 1994     0      720     16.900     28.300     23.063     1.871
       10 1994     0      744     19.600     28.900     24.421     1.681
       11 1994     2      718     21.300     31.400     26.337     1.573
       12 1994     4      740     22.800     31.600     26.800     1.448
        1 1995     1      743     23.000     31.700     26.787     1.574
        2 1995     5      667     22.200     31.200     27.104     1.749
        3 1995     5      739     23.000     31.700     27.497     1.618
        4 1995     5      715     22.800     30.800     26.857     1.765
        5 1995    12      732     20.600     28.700     24.910     1.710
        6 1995     7      713     18.800     29.600     24.471     1.994
        7 1995    30      714     17.800     29.000     24.760     1.784
        8 1995    21      723     19.500     30.200     24.306     2.063
        9 1995   101      619     20.300     28.900     24.774     1.759
       10 1995   744        0
       11 1995   267      453     22.500     30.700     26.791     1.639
       12 1995     6      738     23.300     32.500     27.289     1.634
        1 1996    35      709     23.200     32.500     27.189     1.787
        2 1996     0      696     23.300     32.400     27.494     1.723
        3 1996     9      735     23.500     31.900     27.414     1.687
        4 1996     3      717     23.700     31.900     27.351     1.784
        5 1996   220      524     20.500     31.000     25.447     1.969
