


      Monthly sea levels for FIJI
      ---------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       10 1992  5520     1920      0.181      2.248      1.225     0.556
       11 1992     0     7200      0.206      2.194      1.218     0.473
       12 1992     0     7440      0.277      2.609      1.283     0.474
        1 1993     0     7440      0.042      2.160      1.169     0.480
        2 1993     0     6720      0.050      2.270      1.197     0.502
        3 1993     0     7440      0.130      2.289      1.183     0.483
        4 1993     0     7200      0.138      2.278      1.164     0.484
        5 1993     0     7440      0.128      2.196      1.176     0.489
        6 1993     0     7200      0.202      2.174      1.177     0.485
        7 1993     0     7440      0.191      2.139      1.200     0.486
        8 1993     0     7440      0.112      2.145      1.171     0.490
        9 1993     0     7200      0.132      2.255      1.169     0.486
       10 1993     0     7440      0.148      2.302      1.232     0.478
       11 1993     0     7200      0.133      2.363      1.250     0.480
       12 1993   720     6720      0.204      2.325      1.269     0.488
        1 1994     0     7440      0.189      2.186      1.239     0.498
        2 1994     0     6720      0.229      2.231      1.270     0.486
        3 1994     0     7440      0.118      2.297      1.249     0.498
        4 1994     0     7200      0.095      2.297      1.239     0.489
        5 1994     0     7440      0.023      2.231      1.174     0.486
        6 1994     0     7200      0.065      2.198      1.154     0.478
        7 1994     0     7440      0.175      2.147      1.185     0.467
        8 1994     0     7440      0.244      2.093      1.199     0.470
        9 1994     0     7200      0.210      2.108      1.144     0.482
       10 1994     0     7440      0.171      2.242      1.180     0.490
       11 1994     0     7200      0.093      2.313      1.243     0.502
       12 1994     0     7440      0.089      2.330      1.238     0.506
        1 1995     0     7440      0.114      2.324      1.260     0.497
        2 1995     0     6720      0.290      2.272      1.257     0.477
        3 1995     0     7440      0.320      2.210      1.265     0.488
        4 1995     0     7200      0.181      2.186      1.208     0.481
        5 1995     0     7440      0.023      2.187      1.125     0.476
        6 1995     0     7200     -0.036      2.178      1.083     0.480
        7 1995     0     7440      0.024      2.230      1.136     0.488
        8 1995     0     7440      0.092      2.254      1.200     0.493
        9 1995   960     6240      0.212      2.174      1.227     0.485
       10 1995  7440        0
       11 1995  2580     4620      0.201      2.330      1.294     0.489
       12 1995     0     7440      0.149      2.404      1.291     0.495
        1 1996   290     7150      0.122      2.404      1.268     0.496
        2 1996     0     6960      0.178      2.364      1.271     0.490
        3 1996     0     7440      0.276      2.249      1.268     0.480
        4 1996     0     7200      0.320      2.152      1.243     0.486
        5 1996     0     7440      0.186      2.132      1.173     0.487
        6 1996     0     7200      0.105      2.248      1.177     0.482
        7 1996     0     7440      0.090      2.350      1.226     0.504
        8 1996     0     7440      0.104      2.314      1.218     0.509
        9 1996     0     7200      0.243      2.264      1.288     0.497
       10 1996     0     7440      0.360      2.310      1.305     0.485
       11 1996   231     6969      0.326      2.238      1.306     0.491
       12 1996     0     7440      0.276      2.351      1.362     0.490
        1 1997     0     7440      0.165      2.381      1.349     0.489
        2 1997     0     6720      0.213      2.445      1.369     0.506
        3 1997     0     7440      0.233      2.777      1.368     0.503
        4 1997     0     7200      0.298      2.389      1.333     0.496
        5 1997     0     7440      0.226      2.407      1.242     0.500
        6 1997     0     7200      0.216      2.162      1.229     0.498
        7 1997     0     7440      0.112      2.206      1.229     0.495
        8 1997     0     7440      0.088      2.285      1.200     0.496
        9 1997     0     7200      0.113      2.290      1.211     0.495
       10 1997     0     7440      0.130      2.268      1.237     0.496
       11 1997     0     7200      0.162      2.287      1.223     0.493
       12 1997     0     7440      0.172      2.220      1.254     0.497
        1 1998   120     7320      0.191      2.315      1.263     0.506
        2 1998   277     6443      0.164      2.323      1.252     0.498
        3 1998     0     7440      0.100      2.247      1.200     0.515
        4 1998     0     7200      0.065      2.197      1.148     0.491
        5 1998     0     7440      0.047      2.166      1.131     0.483
        6 1998     0     7200      0.111      2.136      1.158     0.476
        7 1998     0     7440      0.171      2.047      1.136     0.470
        8 1998     0     7440      0.157      2.092      1.131     0.477
        9 1998     0     7200      0.062      2.098      1.124     0.488
       10 1998     0     7440      0.100      2.224      1.142     0.499
       11 1998     0     7200      0.073      2.281      1.187     0.504
       12 1998     0     7440      0.028      2.310      1.165     0.512
        1 1999     0     7440     -0.054      2.113      1.110     0.497
        2 1999     0     6720      0.108      2.121      1.158     0.484
        3 1999     0     7440      0.177      2.132      1.191     0.501
        4 1999     0     7200      0.136      2.219      1.179     0.491
        5 1999     0     7440      0.168      2.316      1.233     0.486
        6 1999     0     7200      0.084      2.271      1.219     0.488
        7 1999     0     7440      0.136      2.272      1.233     0.493
        8 1999     0     7440      0.163      2.239      1.209     0.494
        9 1999     0     7200      0.240      2.158      1.231     0.491
       10 1999     0     7440      0.188      2.267      1.242     0.492
       11 1999     0     7200      0.179      2.343      1.255     0.492
       12 1999     0     7440      0.120      2.350      1.246     0.489
        1 2000     0     7440      0.215      2.476      1.326     0.485
        2 2000     0     6960      0.216      2.338      1.322     0.489
        3 2000     0     7440      0.305      2.254      1.309     0.478
        4 2000     0     7200      0.324      2.227      1.258     0.481
        5 2000     0     7440      0.261      2.195      1.248     0.481
        6 2000     0     7200      0.163      2.316      1.281     0.486
        7 2000     0     7440      0.179      2.368      1.296     0.497
        8 2000     0     7440      0.174      2.401      1.324     0.503
        9 2000     0     7200      0.264      2.242      1.301     0.489
       10 2000     0     7440      0.351      2.220      1.304     0.477
       11 2000     0     7200      0.305      2.248      1.277     0.474
       12 2000     0     7440      0.149      2.412      1.277     0.479
        1 2001     0     7440      0.128      2.371      1.290     0.477
        2 2001     0     6720      0.185      2.452      1.329     0.498
        3 2001     0     7440      0.160      2.332      1.276     0.486
        4 2001     0     7200      0.280      2.289      1.286     0.484
        5 2001     0     7440      0.287      2.222      1.254     0.484
        6 2001     0     7200      0.184      2.149      1.201     0.485
        7 2001     0     7440      0.087      2.210      1.184     0.480
        8 2001     0     7440      0.082      2.281      1.248     0.480
        9 2001     0     7200      0.182      2.346      1.289     0.484
       10 2001     0     7440      0.295      2.354      1.306     0.482
       11 2001     0     7200      0.280      2.328      1.308     0.477
       12 2001     0     7440      0.275      2.270      1.301     0.476
        1 2002     0     7440      0.189      2.325      1.295     0.492
        2 2002     0     6720      0.150      2.305      1.303     0.479
        3 2002     0     7440      0.231      2.365      1.293     0.501
        4 2002     0     7200      0.251      2.361      1.302     0.485
        5 2002     0     7440      0.156      2.188      1.225     0.470
        6 2002     0     7200      0.282      2.187      1.234     0.466
        7 2002     0     7440      0.255      2.181      1.239     0.461
        8 2002     0     7440      0.217      2.199      1.253     0.464
        9 2002     0     7200      0.199      2.281      1.252     0.476
       10 2002     0     7440      0.287      2.405      1.288     0.479
       11 2002     0     7200      0.229      2.403      1.307     0.485
       12 2002     0     7440      0.206      2.340      1.257     0.481
        1 2003     0     7440      0.207      2.272      1.253     0.487
        2 2003     0     6720      0.219      2.205      1.260     0.475
        3 2003     0     7440      0.180      2.245      1.253     0.487
        4 2003     0     7200      0.133      2.259      1.231     0.481
        5 2003     0     7440      0.120      2.258      1.170     0.471
        6 2003     0     7200      0.069      2.145      1.143     0.462
        7 2003     0     7440      0.127      2.160      1.168     0.472
        8 2003     0     7440      0.139      2.056      1.146     0.481
        9 2003     0     7200      0.234      2.274      1.179     0.482
       10 2003     0     7440      0.184      2.299      1.230     0.475
       11 2003     0     7200      0.157      2.295      1.225     0.469
       12 2003     0     7440      0.110      2.294      1.257     0.468
