


      Monthly water temperatures for FIJI
      -----------------------------------

      Mth Year  Gaps     Good     Minimum    Maximum     Mean     St Devn
       10 1992   552      192     26.500     28.600     27.322     0.418
       11 1992     0      720     26.500     29.800     27.869     0.722
       12 1992     0      744     26.100     29.900     28.794     0.622
        1 1993     0      744     26.900     30.100     28.635     0.709
        2 1993     0      672     27.500     30.500     29.000     0.492
        3 1993     0      744     28.200     30.900     29.646     0.436
        4 1993     0      720     28.100     30.100     28.936     0.445
        5 1993     0      744     27.000     29.500     27.953     0.442
        6 1993     0      720     26.400     28.700     27.124     0.308
        7 1993     0      744     24.600     27.000     25.734     0.563
        8 1993     0      744     24.200     25.600     24.896     0.275
        9 1993     0      720     24.600     26.500     25.492     0.410
       10 1993     0      744     25.100     28.500     26.360     0.787
       11 1993     0      720     27.500     29.800     28.621     0.474
       12 1993    72      672     28.400     31.100     29.536     0.457
        1 1994     0      744     28.800     31.600     29.873     0.437
        2 1994     0      672     28.600     31.300     30.182     0.537
        3 1994     0      744     28.700     32.100     30.318     0.707
        4 1994     0      720     27.900     30.600     29.318     0.648
        5 1994     0      744     26.800     29.000     27.834     0.515
        6 1994     4      716     25.300     27.200     25.837     0.354
        7 1994     0      744     24.900     26.200     25.419     0.268
        8 1994     0      744     25.100     27.100     25.786     0.353
        9 1994     0      720     24.700     26.900     25.451     0.396
       10 1994     0      744     25.500     28.000     26.583     0.541
       11 1994     2      718     27.100     29.400     28.009     0.491
       12 1994     4      740     27.500     29.800     28.645     0.465
        1 1995     1      743     28.300     30.600     29.341     0.449
        2 1995     5      667     28.500     30.600     29.557     0.478
        3 1995     5      739     28.900     31.600     30.433     0.582
        4 1995     5      715     28.900     31.500     30.083     0.647
        5 1995    24      720     27.200     29.500     28.168     0.467
        6 1995    70      650     26.000     29.200     27.099     0.484
        7 1995   744        0
        8 1995   744        0
        9 1995   720        0
       10 1995   744        0
       11 1995   720        0
       12 1995   744        0
        1 1996   744        0
        2 1996   696        0
        3 1996   744        0
        4 1996     7      713     28.200     30.400     29.542     0.290
        5 1996    16      728     27.100     29.400     28.185     0.485
        6 1996     1      719     26.200     27.900     27.156     0.273
