"INDICATOR,""CTY_CODE"",""MGN_CODE"",""EVENT_NR"",""EVENT_NR_CR"",""START_DATE"",""PEAK_DATE"",""END_DATE"",""MAX_EXT_ON"",""DURATION"",""SEVERITY"",""INTENSITY"",""AVERAGE_AREA"",""WIDEST_AREA_PERC"",""SCORE"",""GRP_ID"""
"Spi-12,""AFG"","""",1,1,""1955-02-01"",""1955-02-01"",""1956-01-01"",""1955-02-01"",12,13.67,1.14,25.34,77.73,8,4"
"Spi-12,""AFG"","""",2,2,""1963-02-01"",""1963-02-01"",""1963-04-01"",""1963-02-01"",3,2.95,0.98,21.06,28.64,2,11"
"Spi-12,""AFG"","""",3,3,""1970-05-01"",""1971-10-01"",""1972-02-01"",""1971-01-01"",22,46.55,2.12,62.81,94.09,20,14"
"Spi-12,""AFG"","""",4,4,""1977-04-01"",""1977-10-01"",""1979-04-01"",""1977-09-01"",25,18.82,0.75,17.51,39.09,4,17"
"Spi-12,""AFG"","""",5,5,""1984-04-01"",""1986-01-01"",""1988-03-01"",""1986-01-01"",48,51.57,1.07,32.54,69.55,13,22"
"Spi-12,""AFG"","""",6,6,""1999-05-01"",""2000-11-01"",""2003-02-01"",""2001-12-01"",46,77.82,1.69,54.46,94.09,18,28"
"Spi-12,""AFG"","""",7,7,""2004-03-01"",""2004-11-01"",""2005-01-01"",""2004-11-01"",11,14.75,1.34,40.99,53.18,9,30"
"Spi-12,""AFG"","""",8,8,""2006-05-01"",""2006-05-01"",""2006-11-01"",""2006-05-01"",7,9.37,1.34,43.96,61.36,8,32"
"Spi-12,""AFG"","""",9,9,""2008-03-01"",""2008-07-01"",""2009-02-01"",""2009-01-01"",12,14.65,1.22,40.34,49.09,8,36"
"Spi-12,""AGO"","""",10,1,""1958-11-01"",""1958-12-01"",""1959-03-01"",""1958-12-01"",5,5.38,1.07,30.72,50.72,7,42"
"Spi-12,""AGO"","""",11,2,""1964-04-01"",""1964-11-01"",""1966-02-01"",""1964-11-01"",23,17.6,0.77,25.12,51.21,8,43"
"Spi-12,""AGO"","""",12,3,""1972-02-01"",""1972-02-01"",""1972-12-01"",""1972-02-01"",11,13.65,1.24,31.75,43,10,47"
"Spi-12,""AGO"","""",13,4,""1980-06-01"",""1981-09-01"",""1986-01-01"",""1981-09-01"",68,63.21,0.93,26.97,47.83,12,54"
"Spi-12,""AGO"","""",14,5,""1987-10-01"",""1987-11-01"",""1988-10-01"",""1987-11-01"",13,6.06,0.47,19.1,38.41,3,55"
"Spi-12,""AGO"","""",15,6,""1990-02-01"",""1990-04-01"",""1991-02-01"",""1990-10-01"",13,24.42,1.88,37.26,48.07,18,56"
"Spi-12,""AGO"","""",16,7,""1992-12-01"",""1992-12-01"",""1993-03-01"",""1992-12-01"",4,5.31,1.33,32.25,43.48,8,57"
"Spi-12,""AGO"","""",17,8,""1995-01-01"",""1995-01-01"",""1997-03-01"",""1995-02-01"",27,15.67,0.58,21.18,46.62,6,58"
"Spi-12,""AGO"","""",18,9,""2003-03-01"",""2003-10-01"",""2005-02-01"",""2003-10-01"",24,22.12,0.92,29.91,40.82,8,62"
"Spi-12,""AGO"","""",19,10,""2015-04-01"",""2015-11-01"",""2016-12-01"",""2015-11-01"",21,35.48,1.69,31.32,41.79,14,70"
"Spi-12,""ALB"","""",20,1,""1953-12-01"",""1953-12-01"",""1954-10-01"",""1954-01-01"",11,9.81,0.89,43.18,58.33,5,72"
"Spi-12,""ALB"","""",21,2,""1961-12-01"",""1962-01-01"",""1962-02-01"",""1962-01-01"",3,3.06,1.02,27.78,50,3,78"
"Spi-12,""ALB"","""",22,3,""1975-05-01"",""1975-10-01"",""1976-11-01"",""1975-11-01"",19,24.42,1.29,53.51,100,12,86"
"Spi-12,""ALB"","""",23,4,""1982-12-01"",""1983-12-01"",""1984-02-01"",""1983-12-01"",15,9.22,0.61,14.44,58.33,2,90"
"Spi-12,""ALB"","""",24,5,""1985-09-01"",""1985-10-01"",""1985-10-01"",""1985-09-01"",2,2.73,1.37,66.66,75,6,92"
"Spi-12,""ALB"","""",25,6,""1987-02-01"",""1990-10-01"",""1991-06-01"",""1990-11-01"",53,68.59,1.29,51.89,100,16,98"
"Spi-12,""ALB"","""",26,7,""1992-02-01"",""1992-11-01"",""1995-08-01"",""1993-10-01"",43,59.75,1.39,51.55,100,13,99"
"Spi-12,""ALB"","""",27,8,""1997-09-01"",""1997-12-01"",""1998-08-01"",""1997-09-01"",12,15.51,1.29,55.56,100,10,100"
"Spi-12,""ALB"","""",28,9,""2000-07-01"",""2002-03-01"",""2002-09-01"",""2002-07-01"",27,36.42,1.35,53.7,100,12,103"
"Spi-12,""ALB"","""",29,10,""2003-09-01"",""2003-09-01"",""2004-04-01"",""2003-09-01"",8,8.78,1.1,39.58,66.67,7,105"
"Spi-12,""ALB"","""",30,11,""2007-03-01"",""2007-08-01"",""2008-12-01"",""2007-09-01"",22,31.35,1.43,57.2,100,14,106"
"Spi-12,""ALB"","""",31,12,""2011-11-01"",""2012-01-01"",""2012-11-01"",""2012-03-01"",13,24.48,1.88,72.44,91.67,18,108"
"Spi-12,""ARE"","""",32,1,""1962-03-01"",""1962-12-01"",""1963-04-01"",""1963-02-01"",14,21.07,1.51,85.71,100,13,115"
